3#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
3#kai#kai2#yslee6/a  0.116 1.253  -0.059 1.253  -0.221 1.208  -0.367 1.111  -0.483 0.984  -0.580 0.838  -0.677 0.692  -0.774 0.546  -0.854 0.391  -0.933 0.234  -0.997 0.071  -1.053 -0.095  -1.053 -0.270  -1.053 -0.445  -1.053 -0.621  -0.965 -0.769  -0.865 -0.912  -0.719 -1.009  -0.567 -1.086  -0.392 -1.086  -0.225 -1.067  -0.101 -0.943  0.023 -0.819  0.121 -0.674  0.211 -0.525  0.254 -0.355  0.296 -0.185  0.339 -0.015  0.381 0.155  0.386 0.330  0.386 0.505  0.350 0.676  0.308 0.846  0.256 1.013  0.210 1.146  0.253 0.976  0.295 0.806  0.351 0.639  0.414 0.476  0.493 0.320  0.570 0.162  0.625 -0.004  0.680 -0.170  0.736 -0.336  0.781 -0.506  0.823 -0.676  0.904 -0.829  1.001 -0.975  1.140 -1.079  1.286 -1.176
3#kai#kai2#yslee6/s  0.337 1.608  0.245 1.547  0.152 1.485  0.060 1.424  -0.032 1.362  -0.125 1.301  -0.217 1.239  -0.309 1.178  -0.402 1.116  -0.494 1.055  -0.541 0.959  -0.576 0.853  -0.606 0.748  -0.579 0.640  -0.552 0.533  -0.525 0.425  -0.462 0.341  -0.373 0.275  -0.285 0.208  -0.196 0.142  -0.101 0.088  0.007 0.061  0.114 0.034  0.222 0.007  0.329 -0.020  0.437 -0.047  0.545 -0.074  0.639 -0.120  0.700 -0.212  0.762 -0.305  0.810 -0.401  0.810 -0.512  0.810 -0.623  0.757 -0.712  0.679 -0.791  0.600 -0.869  0.520 -0.943  0.409 -0.943  0.298 -0.943  0.190 -0.961  0.085 -0.996  -0.021 -1.031  -0.130 -1.038  -0.241 -1.038  -0.352 -1.038  -0.463 -1.038  -0.574 -1.038  -0.681 -1.013  -0.786 -0.978  -0.892 -0.943
3#kai#kai2#yslee6/t  -1.104 0.244  -0.953 0.244  -0.802 0.244  -0.651 0.244  -0.507 0.201  -0.362 0.165  -0.211 0.165  -0.060 0.165  0.091 0.165  0.241 0.159  0.384 0.112  0.527 0.064  0.670 0.016  0.626 0.121  0.551 0.252  0.475 0.383  0.399 0.513  0.324 0.644  0.248 0.774  0.172 0.905  0.097 1.036  0.021 1.166  -0.055 1.297  -0.130 1.428  -0.168 1.416  -0.168 1.265  -0.168 1.114  -0.168 0.963  -0.168 0.812  -0.168 0.661  -0.168 0.510  -0.168 0.360  -0.168 0.209  -0.168 0.058  -0.168 -0.093  -0.168 -0.244  -0.168 -0.395  -0.168 -0.546  -0.168 -0.697  -0.149 -0.846  -0.112 -0.992  -0.060 -1.132  0.017 -1.262  0.095 -1.391  0.175 -1.519  0.259 -1.645  0.372 -1.732  0.515 -1.780  0.643 -1.858  0.769 -1.942
3#kai#kai2#yslee6/F  -0.563 1.074  -0.397 1.074  -0.231 1.074  -0.065 1.074  0.102 1.074  0.268 1.074  0.434 1.074  0.600 1.074  0.766 1.074  0.788 1.098  0.625 1.116  0.459 1.112  0.295 1.085  0.131 1.058  -0.033 1.030  -0.197 1.003  -0.271 0.900  -0.271 0.733  -0.271 0.567  -0.271 0.401  -0.271 0.235  -0.271 0.068  -0.271 -0.098  -0.250 -0.262  -0.229 -0.425  -0.229 -0.591  -0.229 -0.758  -0.211 -0.922  -0.187 -1.085  -0.187 -1.251  -0.187 -1.417  -0.187 -1.583  -0.187 -1.750  -0.196 -1.623  -0.211 -1.458  -0.225 -1.292  -0.240 -1.127  -0.255 -0.961  -0.269 -0.796  -0.284 -0.630  -0.298 -0.464  -0.307 -0.302  -0.165 -0.217  -0.004 -0.178  0.161 -0.154  0.326 -0.138  0.492 -0.138  0.658 -0.138  0.825 -0.138  0.984 -0.180
3#kai#kai2#yslee6/l  -0.008 1.700  -0.008 1.631  -0.008 1.561  -0.008 1.492  -0.008 1.422  -0.008 1.353  -0.008 1.283  -0.008 1.214  -0.008 1.144  -0.008 1.075  -0.008 1.005  -0.008 0.936  -0.008 0.866  -0.008 0.797  -0.008 0.728  -0.008 0.658  -0.008 0.589  -0.008 0.519  -0.008 0.450  -0.008 0.380  -0.008 0.311  -0.008 0.241  -0.008 0.172  -0.008 0.102  -0.008 0.033  -0.008 -0.037  -0.008 -0.106  -0.008 -0.176  -0.008 -0.245  -0.008 -0.315  -0.008 -0.384  -0.008 -0.453  -0.008 -0.523  -0.008 -0.592  -0.008 -0.662  -0.008 -0.731  -0.008 -0.801  -0.008 -0.870  -0.008 -0.940  0.013 -1.006  0.035 -1.072  0.042 -1.140  0.042 -1.210  0.042 -1.279  0.042 -1.349  0.042 -1.418  0.042 -1.487  0.025 -1.555  0.009 -1.622  -0.008 -1.690
3#kai#kai2#yslee6/y  -0.381 0.781  -0.313 0.678  -0.265 0.565  -0.226 0.447  -0.180 0.333  -0.124 0.223  -0.016 0.174  0.051 0.246  0.100 0.360  0.149 0.473  0.197 0.587  0.246 0.700  0.295 0.814  0.343 0.927  0.392 1.041  0.441 1.155  0.489 1.268  0.538 1.382  0.545 1.292  0.514 1.173  0.501 1.052  0.478 0.932  0.444 0.813  0.417 0.693  0.391 0.572  0.363 0.452  0.333 0.332  0.307 0.211  0.283 0.090  0.259 -0.031  0.234 -0.152  0.204 -0.272  0.174 -0.392  0.145 -0.512  0.115 -0.632  0.079 -0.750  0.031 -0.864  -0.024 -0.974  -0.079 -1.085  -0.148 -1.184  -0.247 -1.258  -0.352 -1.322  -0.463 -1.377  -0.582 -1.408  -0.704 -1.424  -0.819 -1.397  -0.920 -1.327  -1.007 -1.239  -1.076 -1.138  -1.131 -1.027
3#kai#kai2#yslee6/G  0.220 1.875  0.024 1.852  -0.161 1.775  -0.322 1.655  -0.483 1.538  -0.574 1.359  -0.681 1.189  -0.769 1.009  -0.843 0.822  -0.894 0.628  -0.897 0.428  -0.897 0.227  -0.897 0.026  -0.851 -0.169  -0.788 -0.360  -0.700 -0.538  -0.589 -0.705  -0.413 -0.790  -0.241 -0.891  -0.054 -0.964  0.147 -0.964  0.345 -0.944  0.533 -0.877  0.685 -0.756  0.714 -0.579  0.547 -0.468  0.379 -0.357  0.212 -0.245  0.045 -0.134  -0.122 -0.022  -0.289 0.089  -0.314 0.106  -0.127 0.060  0.074 0.060  0.275 0.060  0.471 0.099  0.671 0.106  0.700 0.267  0.525 0.362  0.334 0.425  0.366 0.262  0.405 0.065  0.454 -0.130  0.504 -0.325  0.546 -0.519  0.546 -0.719  0.546 -0.920  0.546 -1.121  0.546 -1.322  0.546 -1.523
3#kai#kai2#yslee6/o  -1.435 -1.517  -1.342 -1.365  -1.249 -1.213  -1.156 -1.060  -1.063 -0.908  -0.970 -0.756  -0.877 -0.604  -0.784 -0.452  -0.691 -0.300  -0.598 -0.148  -0.505 0.005  -0.412 0.157  -0.319 0.309  -0.226 0.461  -0.133 0.613  -0.040 0.765  0.048 0.909  -0.051 0.761  -0.137 0.605  -0.217 0.446  -0.220 0.268  -0.220 0.090  -0.220 -0.089  -0.220 -0.267  -0.186 -0.437  -0.106 -0.597  0.032 -0.698  0.192 -0.777  0.361 -0.833  0.538 -0.842  0.716 -0.842  0.854 -0.760  0.961 -0.618  0.995 -0.451  0.995 -0.273  0.995 -0.094  0.995 0.084  0.995 0.262  0.979 0.439  0.936 0.612  0.840 0.760  0.733 0.902  0.634 1.050  0.491 1.116  0.312 1.116  0.134 1.116  0.003 1.001  -0.094 0.860  -0.123 0.684  -0.152 0.508
3#kai#kai2#yslee6/\@  -1.435 -1.517  -1.342 -1.365  -1.249 -1.213  -1.156 -1.060  -1.063 -0.908  -0.970 -0.756  -0.877 -0.604  -0.784 -0.452  -0.691 -0.300  -0.598 -0.148  -0.505 0.005  -0.412 0.157  -0.319 0.309  -0.226 0.461  -0.133 0.613  -0.040 0.765  0.048 0.909  -0.051 0.761  -0.137 0.605  -0.217 0.446  -0.220 0.268  -0.220 0.090  -0.220 -0.089  -0.220 -0.267  -0.186 -0.437  -0.106 -0.597  0.032 -0.698  0.192 -0.777  0.361 -0.833  0.538 -0.842  0.716 -0.842  0.854 -0.760  0.961 -0.618  0.995 -0.451  0.995 -0.273  0.995 -0.094  0.995 0.084  0.995 0.262  0.979 0.439  0.936 0.612  0.840 0.760  0.733 0.902  0.634 1.050  0.491 1.116  0.312 1.116  0.134 1.116  0.003 1.001  -0.094 0.860  -0.123 0.684  -0.152 0.508
3#kai#kai2#yslee6/o  -0.390 0.651  -0.506 0.574  -0.622 0.497  -0.701 0.383  -0.778 0.267  -0.785 0.130  -0.785 -0.009  -0.785 -0.149  -0.785 -0.288  -0.785 -0.427  -0.785 -0.566  -0.785 -0.706  -0.734 -0.824  -0.635 -0.922  -0.534 -1.017  -0.409 -1.079  -0.285 -1.141  -0.152 -1.168  -0.013 -1.168  0.127 -1.168  0.266 -1.168  0.391 -1.122  0.507 -1.044  0.602 -0.946  0.679 -0.830  0.735 -0.705  0.768 -0.569  0.797 -0.434  0.797 -0.294  0.797 -0.155  0.797 -0.016  0.797 0.123  0.797 0.263  0.797 0.402  0.775 0.536  0.713 0.661  0.651 0.785  0.559 0.889  0.461 0.987  0.362 1.086  0.242 1.146  0.107 1.180  -0.029 1.205  -0.169 1.205  -0.274 1.142  -0.351 1.026  -0.390 0.898  -0.390 0.759  -0.355 0.625  -0.311 0.493
3#kai#kai2#yslee6/d  -0.119 0.167  -0.301 0.167  -0.446 0.057  -0.558 -0.084  -0.655 -0.237  -0.751 -0.391  -0.828 -0.555  -0.844 -0.734  -0.826 -0.911  -0.745 -1.074  -0.663 -1.237  -0.490 -1.283  -0.314 -1.262  -0.176 -1.148  -0.068 -1.002  0.026 -0.846  0.124 -0.693  0.194 -0.526  0.249 -0.353  0.293 -0.177  0.334 -0.000  0.336 0.181  0.356 0.362  0.376 0.543  0.379 0.724  0.379 0.906  0.379 1.088  0.365 1.268  0.334 1.446  0.302 1.623  0.255 1.798  0.169 1.731  0.128 1.556  0.107 1.376  0.107 1.194  0.107 1.013  0.107 0.831  0.107 0.649  0.107 0.467  0.107 0.286  0.118 0.104  0.136 -0.077  0.153 -0.258  0.153 -0.439  0.153 -0.621  0.159 -0.802  0.212 -0.976  0.260 -1.151  0.289 -1.328  0.425 -1.374
3#kai#kai2#yslee6/H  -0.369 1.672  -0.369 1.465  -0.369 1.258  -0.369 1.051  -0.369 0.845  -0.369 0.638  -0.369 0.431  -0.369 0.224  -0.369 0.017  -0.369 -0.189  -0.369 -0.396  -0.369 -0.603  -0.369 -0.810  -0.369 -1.017  -0.369 -1.223  -0.380 -1.429  -0.415 -1.631  -0.412 -1.580  -0.396 -1.374  -0.380 -1.168  -0.364 -0.962  -0.349 -0.755  -0.333 -0.549  -0.317 -0.343  -0.301 -0.137  -0.285 0.069  -0.190 0.190  0.017 0.190  0.220 0.221  0.376 0.324  0.391 0.530  0.406 0.736  0.421 0.942  0.437 1.149  0.452 1.355  0.465 1.505  0.465 1.298  0.465 1.091  0.465 0.884  0.465 0.677  0.465 0.471  0.465 0.264  0.465 0.057  0.465 -0.150  0.465 -0.357  0.465 -0.563  0.465 -0.770  0.465 -0.977  0.465 -1.184  0.419 -1.385
3#kai#kai2#yslee6/a  0.554 0.924  0.495 1.102  0.369 1.214  0.190 1.266  0.003 1.266  -0.178 1.221  -0.341 1.140  -0.474 1.007  -0.607 0.874  -0.686 0.709  -0.748 0.532  -0.818 0.358  -0.887 0.184  -0.899 -0.002  -0.899 -0.189  -0.897 -0.377  -0.870 -0.562  -0.844 -0.748  -0.817 -0.933  -0.723 -1.093  -0.604 -1.233  -0.436 -1.317  -0.265 -1.384  -0.077 -1.384  0.065 -1.275  0.198 -1.143  0.212 -0.961  0.215 -0.774  0.251 -0.590  0.288 -0.406  0.298 -0.219  0.298 -0.032  0.298 0.156  0.298 0.343  0.298 0.531  0.298 0.718  0.298 0.906  0.298 1.093  0.298 0.909  0.326 0.725  0.372 0.543  0.427 0.364  0.490 0.187  0.560 0.013  0.629 -0.161  0.640 -0.347  0.668 -0.529  0.728 -0.707  0.812 -0.875  0.896 -1.042
3#kai#kai2#yslee6/\@  0.554 0.924  0.495 1.102  0.369 1.214  0.190 1.266  0.003 1.266  -0.178 1.221  -0.341 1.140  -0.474 1.007  -0.607 0.874  -0.686 0.709  -0.748 0.532  -0.818 0.358  -0.887 0.184  -0.899 -0.002  -0.899 -0.189  -0.897 -0.377  -0.870 -0.562  -0.844 -0.748  -0.817 -0.933  -0.723 -1.093  -0.604 -1.233  -0.436 -1.317  -0.265 -1.384  -0.077 -1.384  0.065 -1.275  0.198 -1.143  0.212 -0.961  0.215 -0.774  0.251 -0.590  0.288 -0.406  0.298 -0.219  0.298 -0.032  0.298 0.156  0.298 0.343  0.298 0.531  0.298 0.718  0.298 0.906  0.298 1.093  0.298 0.909  0.326 0.725  0.372 0.543  0.427 0.364  0.490 0.187  0.560 0.013  0.629 -0.161  0.640 -0.347  0.668 -0.529  0.728 -0.707  0.812 -0.875  0.896 -1.042
3#kai#kai2#yslee6/s  0.491 1.584  0.412 1.537  0.333 1.489  0.253 1.441  0.174 1.394  0.094 1.346  0.016 1.297  -0.061 1.245  -0.138 1.194  -0.215 1.142  -0.256 1.059  -0.298 0.976  -0.339 0.893  -0.381 0.811  -0.408 0.722  -0.430 0.633  -0.453 0.543  -0.475 0.453  -0.479 0.361  -0.479 0.268  -0.479 0.175  -0.451 0.087  -0.421 -0.000  -0.392 -0.088  -0.342 -0.166  -0.290 -0.243  -0.239 -0.320  -0.169 -0.372  -0.081 -0.402  0.007 -0.431  0.093 -0.466  0.175 -0.508  0.258 -0.549  0.341 -0.591  0.422 -0.635  0.500 -0.686  0.577 -0.737  0.654 -0.789  0.615 -0.852  0.549 -0.917  0.484 -0.983  0.418 -1.048  0.335 -1.086  0.247 -1.115  0.159 -1.144  0.082 -1.193  0.008 -1.249  -0.066 -1.305  -0.140 -1.360  -0.214 -1.416
3#kai#kai2#yslee6/H  -0.610 1.651  -0.485 1.484  -0.469 1.280  -0.469 1.071  -0.469 0.862  -0.469 0.653  -0.469 0.444  -0.469 0.235  -0.469 0.026  -0.469 -0.183  -0.469 -0.392  -0.469 -0.601  -0.469 -0.810  -0.469 -1.019  -0.469 -1.228  -0.469 -1.437  -0.467 -1.516  -0.445 -1.308  -0.422 -1.100  -0.400 -0.892  -0.378 -0.685  -0.355 -0.477  -0.333 -0.269  -0.310 -0.061  -0.288 0.147  -0.126 0.199  0.083 0.199  0.292 0.199  0.500 0.210  0.597 0.340  0.573 0.548  0.549 0.755  0.525 0.963  0.501 1.171  0.477 1.378  0.467 1.340  0.467 1.131  0.467 0.922  0.467 0.713  0.467 0.504  0.467 0.295  0.467 0.086  0.467 -0.123  0.467 -0.332  0.467 -0.541  0.467 -0.750  0.467 -0.959  0.467 -1.168  0.501 -1.373  0.514 -1.581
3#kai#kai2#yslee6/e  -0.837 0.102  -0.787 -0.049  -0.717 -0.180  -0.566 -0.230  -0.411 -0.261  -0.252 -0.261  -0.093 -0.261  0.067 -0.261  0.223 -0.241  0.374 -0.190  0.525 -0.140  0.676 -0.090  0.777 0.026  0.866 0.159  0.889 0.311  0.889 0.470  0.889 0.629  0.889 0.789  0.823 0.928  0.735 1.061  0.603 1.137  0.452 1.187  0.301 1.237  0.150 1.279  -0.001 1.229  -0.146 1.166  -0.273 1.070  -0.401 0.975  -0.504 0.859  -0.575 0.717  -0.647 0.574  -0.689 0.421  -0.728 0.267  -0.746 0.110  -0.746 -0.050  -0.739 -0.208  -0.707 -0.364  -0.676 -0.521  -0.618 -0.662  -0.505 -0.775  -0.392 -0.887  -0.266 -0.984  -0.139 -1.080  -0.010 -1.174  0.132 -1.245  0.275 -1.317  0.426 -1.351  0.585 -1.351  0.738 -1.311  0.889 -1.260
3#kai#kai2#yslee6/\@  -0.837 0.102  -0.787 -0.049  -0.717 -0.180  -0.566 -0.230  -0.411 -0.261  -0.252 -0.261  -0.093 -0.261  0.067 -0.261  0.223 -0.241  0.374 -0.190  0.525 -0.140  0.676 -0.090  0.777 0.026  0.866 0.159  0.889 0.311  0.889 0.470  0.889 0.629  0.889 0.789  0.823 0.928  0.735 1.061  0.603 1.137  0.452 1.187  0.301 1.237  0.150 1.279  -0.001 1.229  -0.146 1.166  -0.273 1.070  -0.401 0.975  -0.504 0.859  -0.575 0.717  -0.647 0.574  -0.689 0.421  -0.728 0.267  -0.746 0.110  -0.746 -0.050  -0.739 -0.208  -0.707 -0.364  -0.676 -0.521  -0.618 -0.662  -0.505 -0.775  -0.392 -0.887  -0.266 -0.984  -0.139 -1.080  -0.010 -1.174  0.132 -1.245  0.275 -1.317  0.426 -1.351  0.585 -1.351  0.738 -1.311  0.889 -1.260
3#kai#kai2#yslee6/l  0.085 1.715  0.085 1.644  0.085 1.573  0.085 1.502  0.085 1.432  0.085 1.361  0.085 1.290  0.085 1.219  0.085 1.148  0.085 1.077  0.071 1.008  0.057 0.938  0.043 0.869  0.042 0.798  0.042 0.727  0.042 0.656  0.037 0.586  0.024 0.516  0.010 0.447  -0.000 0.377  -0.000 0.306  -0.000 0.235  -0.000 0.164  -0.008 0.094  -0.020 0.024  -0.032 -0.046  -0.043 -0.116  -0.043 -0.186  -0.043 -0.257  -0.043 -0.328  -0.049 -0.398  -0.063 -0.468  -0.077 -0.537  -0.085 -0.607  -0.085 -0.678  -0.085 -0.749  -0.085 -0.820  -0.085 -0.891  -0.079 -0.961  -0.069 -1.031  -0.059 -1.102  -0.049 -1.172  -0.043 -1.242  -0.043 -1.313  -0.043 -1.384  -0.043 -1.455  -0.043 -1.526  -0.015 -1.531  0.035 -1.480  0.085 -1.430
3#kai#kai2#yslee6/p  -0.238 1.009  -0.278 0.808  -0.296 0.604  -0.342 0.407  -0.355 0.203  -0.355 -0.002  -0.355 -0.208  -0.355 -0.413  -0.355 -0.618  -0.321 -0.821  -0.296 -1.024  -0.296 -1.230  -0.283 -1.433  -0.238 -1.633  -0.267 -1.743  -0.355 -1.564  -0.353 -1.359  -0.332 -1.154  -0.311 -0.950  -0.290 -0.746  -0.269 -0.541  -0.248 -0.337  -0.228 -0.133  -0.207 0.072  -0.186 0.276  -0.165 0.480  -0.144 0.685  -0.123 0.889  -0.102 1.093  -0.082 1.298  -0.037 1.475  0.168 1.475  0.370 1.435  0.551 1.350  0.713 1.223  0.858 1.078  0.954 0.897  0.985 0.699  0.985 0.494  0.977 0.290  0.900 0.099  0.802 -0.080  0.657 -0.219  0.473 -0.307  0.275 -0.362  0.073 -0.388  -0.129 -0.367  -0.325 -0.308  -0.520 -0.247  -0.704 -0.155
3#kai#kai2#yslee6/H  -0.641 1.637  -0.586 1.445  -0.553 1.246  -0.549 1.045  -0.549 0.844  -0.549 0.643  -0.549 0.442  -0.524 0.243  -0.503 0.043  -0.503 -0.158  -0.503 -0.359  -0.503 -0.560  -0.503 -0.761  -0.503 -0.963  -0.503 -1.164  -0.503 -1.365  -0.503 -1.566  -0.545 -1.422  -0.510 -1.225  -0.469 -1.028  -0.427 -0.831  -0.385 -0.635  -0.343 -0.438  -0.302 -0.241  -0.260 -0.044  -0.188 0.115  0.012 0.128  0.209 0.161  0.406 0.187  0.604 0.207  0.639 0.361  0.623 0.562  0.608 0.763  0.592 0.963  0.577 1.164  0.561 1.364  0.558 1.248  0.558 1.047  0.558 0.846  0.558 0.645  0.558 0.444  0.558 0.243  0.558 0.041  0.558 -0.160  0.558 -0.361  0.551 -0.561  0.512 -0.758  0.512 -0.959  0.512 -1.160  0.512 -1.361
3#kai#kai2#yslee6/i  -0.044 0.031  -0.044 -0.086  -0.044 -0.203  -0.044 -0.319  -0.044 -0.436  -0.044 -0.552  -0.044 -0.669  -0.042 -0.785  -0.014 -0.898  0.014 -1.011  0.042 -1.124  0.071 -1.237  0.101 -1.350  0.138 -1.460  0.115 -1.502  0.022 -1.442  0.008 -1.326  -0.007 -1.210  -0.021 -1.095  -0.036 -0.979  -0.050 -0.863  -0.065 -0.748  -0.079 -0.632  -0.093 -0.517  -0.108 -0.401  -0.122 -0.285  -0.137 -0.170  -0.151 -0.054  -0.166 0.062  -0.180 0.177  -0.195 0.293  -0.209 0.409  -0.224 0.524  -0.238 0.640  -0.253 0.756  -0.267 0.871  -0.281 0.987  -0.296 1.103  -0.310 1.218  -0.241 1.296  -0.144 1.360  -0.034 1.382  0.082 1.382  0.199 1.382  0.311 1.354  0.421 1.318  0.532 1.281  0.641 1.241  0.738 1.177  0.835 1.112
3#kai#kai2#yslee6/s  0.558 1.674  0.451 1.638  0.343 1.602  0.252 1.535  0.162 1.468  0.071 1.400  -0.002 1.315  -0.070 1.225  -0.138 1.134  -0.189 1.035  -0.225 0.928  -0.268 0.823  -0.318 0.722  -0.369 0.621  -0.389 0.513  -0.389 0.400  -0.387 0.287  -0.352 0.179  -0.316 0.072  -0.219 0.014  -0.122 -0.044  -0.025 -0.103  0.076 -0.147  0.189 -0.147  0.302 -0.147  0.415 -0.147  0.526 -0.160  0.633 -0.196  0.725 -0.252  0.788 -0.346  0.848 -0.440  0.785 -0.534  0.723 -0.628  0.629 -0.681  0.521 -0.717  0.414 -0.753  0.307 -0.789  0.200 -0.824  0.092 -0.860  -0.015 -0.896  -0.122 -0.932  -0.233 -0.948  -0.346 -0.948  -0.457 -0.965  -0.567 -0.992  -0.676 -1.020  -0.789 -1.020  -0.902 -1.019  -1.009 -0.983  -1.117 -0.948
3#kai#kai2#yslee6/I  -0.547 1.352  -0.432 1.313  -0.310 1.312  -0.201 1.259  -0.089 1.213  0.029 1.192  0.146 1.170  0.259 1.125  0.378 1.113  0.494 1.090  0.603 1.036  0.495 1.041  0.374 1.050  0.252 1.058  0.131 1.067  0.061 1.033  0.090 0.915  0.091 0.794  0.091 0.673  0.091 0.551  0.091 0.430  0.091 0.308  0.091 0.187  0.091 0.065  0.089 -0.056  0.072 -0.176  0.055 -0.296  0.051 -0.418  0.051 -0.539  0.045 -0.660  0.006 -0.775  -0.029 -0.891  -0.032 -1.012  -0.061 -1.129  -0.119 -1.235  -0.214 -1.300  -0.329 -1.298  -0.430 -1.236  -0.511 -1.147  -0.549 -1.032  -0.584 -0.919  -0.468 -0.880  -0.347 -0.880  -0.226 -0.880  -0.104 -0.880  0.016 -0.889  0.135 -0.913  0.254 -0.940  0.371 -0.970  0.489 -0.999
3#kai#kai2#yslee6/s  0.537 1.383  0.437 1.383  0.336 1.383  0.236 1.383  0.146 1.338  0.057 1.293  -0.034 1.251  -0.127 1.214  -0.220 1.176  -0.311 1.136  -0.382 1.065  -0.453 0.994  -0.503 0.910  -0.534 0.815  -0.545 0.716  -0.545 0.616  -0.545 0.516  -0.545 0.415  -0.545 0.315  -0.485 0.240  -0.414 0.169  -0.341 0.100  -0.264 0.036  -0.187 -0.028  -0.110 -0.092  -0.033 -0.156  0.058 -0.193  0.156 -0.212  0.254 -0.232  0.344 -0.272  0.428 -0.328  0.516 -0.374  0.611 -0.405  0.657 -0.472  0.657 -0.573  0.634 -0.669  0.603 -0.764  0.529 -0.827  0.445 -0.883  0.362 -0.938  0.278 -0.994  0.201 -1.057  0.130 -1.128  0.059 -1.199  -0.035 -1.233  -0.129 -1.266  -0.213 -1.321  -0.296 -1.377  -0.390 -1.411  -0.485 -1.443
3#kai#kai2#yslee6/K  -0.473 2.133  -0.525 1.929  -0.525 1.716  -0.525 1.504  -0.525 1.291  -0.525 1.079  -0.525 0.866  -0.504 0.656  -0.473 0.447  -0.473 0.234  -0.473 0.022  -0.433 -0.186  -0.420 -0.397  -0.381 -0.604  -0.367 -0.815  -0.315 -1.019  -0.315 -1.232  -0.262 -1.436  -0.232 -1.464  -0.165 -1.262  -0.123 -1.058  -0.036 -0.864  0.051 -0.671  0.138 -0.477  0.226 -0.283  0.313 -0.089  0.400 0.105  0.487 0.298  0.574 0.492  0.662 0.686  0.749 0.880  0.688 0.940  0.505 0.836  0.350 0.691  0.200 0.541  0.030 0.414  -0.147 0.296  -0.321 0.175  -0.409 -0.005  -0.292 -0.157  -0.170 -0.065  0.009 -0.037  0.137 -0.207  0.283 -0.361  0.416 -0.526  0.538 -0.700  0.656 -0.877  0.757 -1.063  0.866 -1.245  0.897 -1.132
3#kai#kai2#yslee6/n  -0.599 1.299  -0.599 1.466  -0.574 1.478  -0.521 1.320  -0.514 1.155  -0.503 0.989  -0.470 0.826  -0.438 0.663  -0.429 0.497  -0.429 0.330  -0.429 0.164  -0.429 -0.003  -0.429 -0.170  -0.429 -0.336  -0.435 -0.502  -0.475 -0.664  -0.514 -0.826  -0.514 -0.992  -0.541 -1.154  -0.594 -1.312  -0.599 -1.177  -0.579 -1.014  -0.526 -0.856  -0.483 -0.695  -0.443 -0.534  -0.379 -0.380  -0.305 -0.231  -0.239 -0.079  -0.186 0.079  -0.134 0.237  -0.074 0.392  0.019 0.530  0.111 0.669  0.203 0.808  0.334 0.875  0.500 0.875  0.594 0.739  0.686 0.600  0.779 0.461  0.855 0.316  0.895 0.154  0.927 -0.009  0.927 -0.175  0.936 -0.340  0.989 -0.498  1.011 -0.661  1.011 -0.828  1.011 -0.995  1.011 -1.161  1.011 -1.328
3#kai#kai2#yslee6/o  -0.348 0.615  -0.421 0.504  -0.495 0.393  -0.558 0.276  -0.617 0.157  -0.676 0.038  -0.676 -0.095  -0.676 -0.228  -0.676 -0.361  -0.676 -0.494  -0.676 -0.627  -0.676 -0.760  -0.661 -0.889  -0.587 -0.999  -0.513 -1.110  -0.419 -1.204  -0.325 -1.299  -0.217 -1.358  -0.084 -1.358  0.029 -1.310  0.124 -1.216  0.218 -1.122  0.294 -1.013  0.367 -0.902  0.414 -0.779  0.446 -0.650  0.478 -0.521  0.511 -0.392  0.543 -0.263  0.575 -0.134  0.607 -0.005  0.639 0.124  0.639 0.258  0.639 0.391  0.639 0.524  0.639 0.657  0.639 0.790  0.639 0.923  0.618 1.047  0.523 1.141  0.429 1.235  0.316 1.298  0.190 1.340  0.063 1.327  -0.063 1.285  -0.153 1.195  -0.226 1.084  -0.265 0.963  -0.265 0.830  -0.265 0.697
