3#apb#apb41#app4115/O  0.591 0.513  0.607 0.694  0.463 0.798  0.276 0.828  0.088 0.813  -0.080 0.725  -0.229 0.606  -0.359 0.466  -0.486 0.324  -0.611 0.180  -0.687 0.004  -0.766 -0.170  -0.858 -0.337  -0.922 -0.514  -0.950 -0.703  -0.941 -0.894  -0.884 -1.073  -0.763 -1.205  -0.586 -1.269  -0.396 -1.246  -0.210 -1.211  -0.035 -1.134  0.140 -1.058  0.302 -0.958  0.455 -0.844  0.606 -0.727  0.738 -0.589  0.870 -0.451  0.972 -0.289  1.069 -0.125  1.135 0.054  1.155 0.240  1.128 0.427  1.065 0.608  0.959 0.764  0.835 0.908  0.679 1.019  0.498 1.072  0.319 1.035  0.152 0.944  0.000 0.829  -0.143 0.703  -0.272 0.563  -0.401 0.422  -0.519 0.271  -0.635 0.119  -0.746 -0.036  -0.850 -0.196  -0.920 -0.372  -0.852 -0.529
3#apb#apb41#app4115/2  -0.750 0.888  -0.812 1.027  -0.696 1.115  -0.551 1.161  -0.401 1.195  -0.252 1.230  -0.099 1.235  0.054 1.235  0.207 1.235  0.353 1.191  0.498 1.140  0.621 1.053  0.718 0.942  0.734 0.789  0.735 0.639  0.677 0.497  0.619 0.355  0.519 0.243  0.406 0.140  0.292 0.037  0.171 -0.056  0.046 -0.145  -0.079 -0.233  -0.207 -0.318  -0.336 -0.401  -0.465 -0.483  -0.600 -0.555  -0.739 -0.621  -0.879 -0.681  -1.028 -0.719  -1.077 -0.625  -0.990 -0.502  -0.879 -0.397  -0.757 -0.304  -0.621 -0.243  -0.471 -0.219  -0.319 -0.242  -0.191 -0.321  -0.085 -0.428  -0.005 -0.559  0.091 -0.678  0.194 -0.791  0.324 -0.872  0.457 -0.947  0.604 -0.989  0.751 -1.031  0.904 -1.043  1.057 -1.045  1.182 -0.979  1.078 -0.924
3#apb#apb41#app4115/n  -0.285 0.558  -0.237 0.602  -0.321 0.433  -0.409 0.267  -0.526 0.119  -0.644 -0.028  -0.762 -0.174  -0.891 -0.312  -1.020 -0.449  -1.142 -0.593  -1.254 -0.743  -1.265 -0.808  -1.158 -0.653  -1.032 -0.515  -0.892 -0.388  -0.797 -0.226  -0.706 -0.061  -0.620 0.106  -0.542 0.278  -0.464 0.449  -0.385 0.620  -0.304 0.791  -0.218 0.958  -0.137 0.983  -0.137 0.794  -0.137 0.606  -0.137 0.417  -0.137 0.229  -0.137 0.041  -0.137 -0.148  -0.130 -0.335  -0.074 -0.515  -0.002 -0.689  0.102 -0.842  0.258 -0.929  0.445 -0.911  0.627 -0.865  0.781 -0.756  0.932 -0.644  1.045 -0.493  1.144 -0.334  1.218 -0.161  1.260 0.021  1.286 0.208  1.307 0.395  1.307 0.583  1.312 0.771  1.350 0.956  1.313 0.785  1.350 0.600
3#apb#apb41#app4115/d  -0.137 -0.568  0.010 -0.432  0.118 -0.265  0.031 -0.098  -0.120 0.022  -0.317 0.053  -0.516 0.049  -0.704 -0.020  -0.872 -0.124  -1.018 -0.259  -1.123 -0.430  -1.188 -0.616  -1.205 -0.812  -1.112 -0.982  -0.935 -1.076  -0.740 -1.099  -0.541 -1.087  -0.343 -1.059  -0.178 -0.951  -0.022 -0.825  0.125 -0.689  0.222 -0.515  0.288 -0.327  0.337 -0.133  0.385 0.061  0.433 0.256  0.481 0.450  0.530 0.645  0.578 0.839  0.626 1.033  0.674 1.228  0.723 1.422  0.751 1.614  0.616 1.745  0.452 1.645  0.374 1.467  0.330 1.272  0.307 1.073  0.286 0.874  0.268 0.674  0.250 0.475  0.228 0.276  0.203 0.077  0.185 -0.122  0.178 -0.322  0.171 -0.523  0.162 -0.723  0.168 -0.923  0.218 -1.114  0.365 -1.158
3#apb#apb41#app4115/S  0.916 0.724  0.906 0.853  0.862 0.973  0.781 1.071  0.655 1.089  0.527 1.088  0.399 1.069  0.271 1.049  0.145 1.023  0.019 0.993  -0.106 0.964  -0.230 0.927  -0.354 0.888  -0.477 0.850  -0.583 0.777  -0.679 0.693  -0.717 0.580  -0.662 0.469  -0.562 0.387  -0.454 0.320  -0.332 0.277  -0.210 0.235  -0.089 0.191  0.032 0.145  0.153 0.100  0.274 0.055  0.398 0.018  0.522 -0.019  0.633 -0.079  0.733 -0.161  0.791 -0.269  0.794 -0.393  0.746 -0.513  0.650 -0.596  0.546 -0.672  0.438 -0.741  0.319 -0.791  0.200 -0.842  0.080 -0.891  -0.044 -0.927  -0.168 -0.963  -0.292 -0.999  -0.415 -1.036  -0.539 -1.073  -0.663 -1.110  -0.789 -1.137  -0.916 -1.162  -1.044 -1.167  -1.172 -1.155  -1.294 -1.114
3#apb#apb41#app4115/t  0.723 1.266  0.724 1.372  0.625 1.255  0.544 1.113  0.470 0.967  0.399 0.819  0.328 0.671  0.259 0.523  0.190 0.374  0.122 0.226  0.054 0.077  -0.013 -0.073  -0.079 -0.222  -0.146 -0.372  -0.206 -0.524  -0.265 -0.677  -0.324 -0.830  -0.382 -0.983  -0.440 -1.136  -0.469 -1.294  -0.469 -1.458  -0.392 -1.484  -0.424 -1.327  -0.490 -1.177  -0.570 -1.035  -0.647 -0.890  -0.695 -0.734  -0.744 -0.577  -0.792 -0.421  -0.824 -0.260  -0.855 -0.100  -0.886 0.061  -0.874 0.223  -0.846 0.384  -0.758 0.497  -0.595 0.488  -0.432 0.474  -0.271 0.444  -0.110 0.413  0.052 0.393  0.215 0.379  0.379 0.365  0.542 0.358  0.706 0.352  0.869 0.346  1.033 0.343  1.197 0.343  1.360 0.343  1.524 0.343  1.685 0.362
3#apb#apb41#app4115/.  -0.882 0.427  -0.819 0.491  -0.755 0.554  -0.692 0.617  -0.629 0.680  -0.566 0.744  -0.502 0.807  -0.439 0.870  -0.376 0.933  -0.313 0.997  -0.249 1.060  -0.186 1.123  -0.103 1.138  -0.013 1.138  0.076 1.138  0.165 1.138  0.185 1.068  0.185 0.979  0.185 0.889  0.185 0.800  0.185 0.711  0.185 0.621  0.185 0.532  0.185 0.442  0.185 0.353  0.185 0.263  0.185 0.174  0.185 0.084  0.185 -0.005  0.185 -0.094  0.185 -0.184  0.185 -0.273  0.185 -0.363  0.185 -0.452  0.185 -0.542  0.185 -0.631  0.185 -0.721  0.185 -0.810  0.185 -0.900  0.185 -0.989  0.185 -1.078  0.185 -1.168  0.185 -1.257  0.185 -1.347  0.185 -1.436  0.185 -1.526  0.185 -1.615  0.185 -1.705  0.185 -1.794  0.185 -1.884
3#apb#apb41#app4115/I  0.506 1.385  0.506 1.457  0.495 1.511  0.456 1.458  0.435 1.390  0.414 1.322  0.394 1.254  0.372 1.187  0.350 1.119  0.329 1.051  0.307 0.983  0.286 0.916  0.264 0.848  0.244 0.780  0.223 0.712  0.203 0.644  0.183 0.576  0.162 0.508  0.142 0.440  0.121 0.372  0.101 0.303  0.079 0.236  0.056 0.168  0.034 0.101  0.012 0.034  -0.011 -0.034  -0.033 -0.101  -0.056 -0.169  -0.078 -0.236  -0.101 -0.303  -0.125 -0.370  -0.149 -0.437  -0.174 -0.504  -0.199 -0.570  -0.223 -0.637  -0.248 -0.704  -0.273 -0.770  -0.297 -0.837  -0.314 -0.906  -0.331 -0.975  -0.349 -1.044  -0.366 -1.113  -0.383 -1.182  -0.400 -1.251  -0.418 -1.320  -0.435 -1.389  -0.445 -1.458  -0.445 -1.529  -0.432 -1.486  -0.389 -1.429
3#apb#apb41#app4115/n  -0.314 0.576  -0.357 0.771  -0.379 0.731  -0.452 0.540  -0.539 0.354  -0.627 0.168  -0.715 -0.017  -0.801 -0.204  -0.886 -0.390  -0.971 -0.577  -1.054 -0.765  -1.141 -0.951  -1.128 -1.046  -0.987 -0.901  -0.858 -0.741  -0.741 -0.573  -0.627 -0.402  -0.531 -0.222  -0.453 -0.032  -0.375 0.158  -0.308 0.352  -0.240 0.546  -0.187 0.744  -0.137 0.943  -0.077 1.139  0.016 1.243  0.036 1.040  0.047 0.835  0.047 0.629  0.047 0.424  0.047 0.219  0.047 0.013  0.047 -0.192  0.066 -0.395  0.113 -0.595  0.170 -0.791  0.273 -0.968  0.436 -1.079  0.632 -1.027  0.786 -0.890  0.906 -0.725  1.020 -0.554  1.103 -0.367  1.178 -0.176  1.211 0.026  1.245 0.229  1.277 0.432  1.312 0.634  1.355 0.835  1.469 1.001
3#apb#apb41#app4115/f  -0.217 -1.950  -0.279 -1.811  -0.287 -1.647  -0.273 -1.484  -0.252 -1.321  -0.233 -1.158  -0.216 -0.995  -0.201 -0.832  -0.186 -0.668  -0.169 -0.505  -0.151 -0.342  -0.132 -0.179  -0.104 -0.017  -0.073 0.144  -0.043 0.305  -0.009 0.466  0.029 0.625  0.068 0.785  0.107 0.944  0.165 1.098  0.227 1.250  0.288 1.402  0.347 1.555  0.444 1.626  0.520 1.482  0.575 1.327  0.617 1.169  0.654 1.009  0.669 0.845  0.684 0.682  0.688 0.518  0.688 0.354  0.694 0.190  0.704 0.026  0.576 -0.045  0.420 -0.097  0.264 -0.148  0.109 -0.200  -0.047 -0.252  -0.203 -0.304  -0.358 -0.356  -0.514 -0.408  -0.670 -0.460  -0.826 -0.512  -0.960 -0.487  -0.940 -0.345  -0.790 -0.286  -0.630 -0.308  -0.467 -0.333  -0.304 -0.350
3#apb#apb41#app4115/i  0.836 0.897  0.822 0.969  0.808 1.041  0.793 1.113  0.779 1.184  0.744 1.231  0.685 1.204  0.644 1.143  0.604 1.082  0.563 1.022  0.521 0.961  0.480 0.901  0.438 0.841  0.396 0.781  0.355 0.721  0.313 0.661  0.271 0.600  0.230 0.540  0.188 0.480  0.147 0.420  0.105 0.360  0.063 0.300  0.022 0.239  -0.020 0.179  -0.053 0.114  -0.082 0.047  -0.111 -0.020  -0.141 -0.087  -0.170 -0.154  -0.199 -0.221  -0.229 -0.288  -0.258 -0.355  -0.287 -0.422  -0.317 -0.489  -0.346 -0.556  -0.375 -0.623  -0.405 -0.691  -0.434 -0.758  -0.463 -0.825  -0.493 -0.892  -0.520 -0.959  -0.547 -1.027  -0.575 -1.095  -0.602 -1.163  -0.629 -1.231  -0.656 -1.299  -0.683 -1.367  -0.710 -1.435  -0.738 -1.503  -0.765 -1.571
3#apb#apb41#app4115/n  -0.475 0.384  -0.612 0.306  -0.713 0.171  -0.808 0.032  -0.902 -0.108  -0.989 -0.252  -1.075 -0.398  -1.157 -0.545  -1.237 -0.694  -1.205 -0.732  -1.078 -0.622  -0.958 -0.504  -0.844 -0.379  -0.757 -0.236  -0.681 -0.086  -0.601 0.063  -0.519 0.210  -0.439 0.358  -0.360 0.508  -0.282 0.657  -0.202 0.805  -0.124 0.933  -0.147 0.767  -0.158 0.598  -0.172 0.430  -0.186 0.262  -0.197 0.094  -0.204 -0.075  -0.211 -0.243  -0.189 -0.408  -0.142 -0.570  -0.047 -0.701  0.083 -0.807  0.252 -0.808  0.420 -0.807  0.573 -0.735  0.725 -0.663  0.865 -0.569  0.999 -0.467  1.117 -0.350  1.202 -0.205  1.278 -0.056  1.299 0.111  1.306 0.279  1.291 0.447  1.276 0.615  1.249 0.781  1.221 0.947  1.219 1.116  1.294 1.147
3#apb#apb41#app4115/i  0.327 1.243  0.388 1.283  0.449 1.324  0.509 1.364  0.575 1.387  0.563 1.321  0.546 1.250  0.516 1.184  0.485 1.118  0.453 1.052  0.422 0.986  0.391 0.920  0.360 0.854  0.329 0.788  0.297 0.722  0.266 0.656  0.235 0.590  0.203 0.524  0.172 0.459  0.141 0.393  0.109 0.327  0.078 0.261  0.047 0.195  0.015 0.129  -0.016 0.063  -0.047 -0.003  -0.079 -0.068  -0.110 -0.134  -0.142 -0.200  -0.169 -0.268  -0.196 -0.336  -0.223 -0.403  -0.250 -0.471  -0.277 -0.539  -0.304 -0.607  -0.331 -0.674  -0.359 -0.742  -0.386 -0.810  -0.413 -0.878  -0.433 -0.947  -0.439 -1.020  -0.444 -1.093  -0.450 -1.165  -0.455 -1.238  -0.461 -1.311  -0.467 -1.384  -0.427 -1.442  -0.380 -1.498  -0.333 -1.554  -0.287 -1.610
3#apb#apb41#app4115/t  0.639 2.032  0.613 1.924  0.595 1.778  0.566 1.634  0.537 1.489  0.508 1.345  0.474 1.202  0.440 1.059  0.406 0.915  0.371 0.772  0.337 0.629  0.295 0.488  0.250 0.347  0.206 0.207  0.161 0.067  0.117 -0.074  0.065 -0.212  0.014 -0.350  -0.037 -0.488  -0.088 -0.626  -0.143 -0.763  -0.199 -0.899  -0.255 -1.036  -0.285 -1.179  -0.301 -1.325  -0.280 -1.468  -0.205 -1.489  -0.255 -1.351  -0.305 -1.212  -0.355 -1.074  -0.405 -0.935  -0.455 -0.797  -0.505 -0.658  -0.555 -0.520  -0.605 -0.381  -0.655 -0.242  -0.705 -0.104  -0.755 0.035  -0.742 0.038  -0.597 0.034  -0.450 0.047  -0.303 0.059  -0.157 0.076  -0.010 0.093  0.136 0.110  0.281 0.132  0.427 0.153  0.573 0.173  0.720 0.173  0.868 0.173
3#apb#apb41#app4115/e  -1.499 -0.046  -1.403 -0.111  -1.239 -0.147  -1.071 -0.148  -0.903 -0.135  -0.737 -0.105  -0.573 -0.064  -0.410 -0.023  -0.246 0.020  -0.086 0.071  0.075 0.122  0.236 0.172  0.388 0.246  0.539 0.322  0.690 0.398  0.816 0.510  0.941 0.623  1.016 0.774  0.940 0.919  0.853 1.064  0.725 1.173  0.579 1.205  0.416 1.161  0.267 1.087  0.125 0.996  -0.017 0.904  -0.128 0.778  -0.235 0.647  -0.343 0.517  -0.443 0.382  -0.528 0.236  -0.613 0.090  -0.697 -0.056  -0.740 -0.217  -0.764 -0.384  -0.743 -0.541  -0.647 -0.679  -0.551 -0.818  -0.404 -0.887  -0.243 -0.935  -0.081 -0.984  0.083 -1.009  0.250 -0.988  0.418 -0.968  0.586 -0.948  0.752 -0.924  0.917 -0.884  1.081 -0.845  1.245 -0.806  1.409 -0.766
3#apb#apb41#app4115/L  -0.040 0.875  -0.007 0.973  0.025 1.072  0.052 1.172  0.068 1.275  0.097 1.374  0.058 1.344  0.007 1.254  -0.044 1.163  -0.098 1.074  -0.155 0.987  -0.211 0.900  -0.268 0.813  -0.321 0.724  -0.375 0.635  -0.428 0.546  -0.482 0.457  -0.533 0.366  -0.584 0.276  -0.635 0.185  -0.685 0.094  -0.728 0.000  -0.765 -0.097  -0.802 -0.194  -0.824 -0.293  -0.810 -0.396  -0.781 -0.491  -0.704 -0.561  -0.626 -0.628  -0.524 -0.649  -0.422 -0.670  -0.320 -0.691  -0.219 -0.712  -0.115 -0.718  -0.011 -0.718  0.092 -0.718  0.196 -0.718  0.300 -0.718  0.404 -0.717  0.508 -0.710  0.611 -0.704  0.715 -0.697  0.819 -0.691  0.923 -0.688  1.026 -0.688  1.130 -0.688  1.234 -0.695  1.336 -0.712  1.424 -0.761  1.492 -0.839
3#apb#apb41#app4115/o  -0.008 0.180  -0.143 0.257  -0.287 0.303  -0.440 0.294  -0.579 0.224  -0.715 0.152  -0.808 0.028  -0.901 -0.097  -0.973 -0.231  -1.012 -0.381  -1.052 -0.531  -1.039 -0.684  -1.012 -0.837  -0.930 -0.950  -0.793 -1.024  -0.647 -1.058  -0.492 -1.058  -0.336 -1.058  -0.191 -1.007  -0.047 -0.949  0.097 -0.892  0.239 -0.829  0.376 -0.755  0.512 -0.681  0.649 -0.607  0.772 -0.514  0.889 -0.412  1.006 -0.310  1.086 -0.178  1.159 -0.042  1.167 0.112  1.167 0.267  1.112 0.408  1.039 0.545  0.962 0.680  0.869 0.804  0.776 0.928  0.657 1.020  0.516 1.086  0.371 1.117  0.220 1.085  0.068 1.053  -0.058 0.968  -0.177 0.868  -0.295 0.767  -0.401 0.657  -0.478 0.522  -0.555 0.387  -0.632 0.253  -0.709 0.118
3#apb#apb41#app4115/o  0.078 0.161  0.112 0.325  0.015 0.447  -0.157 0.429  -0.309 0.352  -0.457 0.263  -0.585 0.150  -0.699 0.019  -0.813 -0.111  -0.889 -0.265  -0.960 -0.423  -1.027 -0.582  -1.052 -0.753  -1.040 -0.914  -0.932 -1.049  -0.784 -1.117  -0.614 -1.147  -0.446 -1.141  -0.281 -1.089  -0.116 -1.036  0.046 -0.976  0.205 -0.908  0.364 -0.840  0.515 -0.757  0.660 -0.663  0.806 -0.569  0.911 -0.432  1.017 -0.295  1.072 -0.132  1.120 0.034  1.114 0.202  1.077 0.370  1.032 0.537  0.968 0.698  0.903 0.858  0.817 1.006  0.712 1.143  0.577 1.227  0.404 1.241  0.259 1.154  0.116 1.057  -0.027 0.959  -0.135 0.825  -0.243 0.689  -0.350 0.553  -0.455 0.417  -0.526 0.259  -0.597 0.101  -0.668 -0.057  -0.738 -0.215
3#apb#apb41#app4115/p  -0.250 0.493  -0.242 0.474  -0.315 0.336  -0.393 0.202  -0.475 0.069  -0.557 -0.063  -0.640 -0.195  -0.723 -0.327  -0.806 -0.458  -0.890 -0.589  -0.974 -0.720  -1.059 -0.851  -1.144 -0.982  -1.229 -1.112  -1.213 -1.174  -1.111 -1.056  -1.014 -0.934  -0.918 -0.812  -0.824 -0.688  -0.729 -0.565  -0.630 -0.444  -0.531 -0.324  -0.431 -0.204  -0.332 -0.084  -0.233 0.036  -0.134 0.156  -0.030 0.271  0.079 0.383  0.187 0.495  0.297 0.605  0.415 0.707  0.533 0.808  0.660 0.895  0.805 0.952  0.953 1.000  1.104 1.028  1.211 0.930  1.250 0.782  1.250 0.626  1.218 0.477  1.157 0.333  1.097 0.190  1.037 0.046  0.975 -0.097  0.904 -0.233  0.760 -0.269  0.621 -0.210  0.513 -0.104  0.437 0.032  0.362 0.169
