1b#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
1b#kai#kai2#yslee6/T  -1.072 0.896  -0.976 0.832  -0.875 0.777  -0.771 0.728  -0.660 0.700  -0.546 0.690  -0.431 0.690  -0.316 0.690  -0.200 0.690  -0.085 0.690  0.030 0.690  0.145 0.690  0.260 0.690  0.375 0.690  0.491 0.690  0.606 0.690  0.721 0.690  0.831 0.661  0.796 0.673  0.690 0.717  0.580 0.717  0.466 0.697  0.353 0.677  0.240 0.657  0.126 0.637  0.013 0.617  -0.040 0.546  -0.027 0.432  0.001 0.320  0.001 0.205  0.001 0.090  0.001 -0.025  -0.013 -0.138  -0.040 -0.249  -0.040 -0.364  -0.040 -0.479  -0.040 -0.594  -0.040 -0.709  -0.040 -0.824  -0.048 -0.939  -0.065 -1.053  -0.081 -1.167  -0.081 -1.282  -0.081 -1.397  -0.081 -1.512  -0.081 -1.627  -0.062 -1.740  -0.032 -1.851  0.010 -1.952  0.125 -1.952
1b#kai#kai2#yslee6/U  -0.594 1.534  -0.636 1.360  -0.636 1.178  -0.643 0.998  -0.677 0.820  -0.677 0.638  -0.677 0.457  -0.704 0.278  -0.719 0.098  -0.719 -0.083  -0.719 -0.265  -0.719 -0.446  -0.719 -0.628  -0.701 -0.806  -0.643 -0.978  -0.621 -1.155  -0.533 -1.312  -0.396 -1.406  -0.253 -1.309  -0.153 -1.158  -0.079 -0.993  -0.021 -0.821  0.072 -0.666  0.121 -0.492  0.182 -0.321  0.251 -0.155  0.292 0.022  0.329 0.199  0.380 0.373  0.446 0.542  0.486 0.719  0.504 0.898  0.528 1.076  0.528 1.258  0.521 1.381  0.486 1.204  0.486 1.023  0.486 0.841  0.486 0.660  0.486 0.478  0.448 0.302  0.445 0.121  0.445 -0.061  0.445 -0.242  0.476 -0.420  0.486 -0.600  0.517 -0.778  0.574 -0.950  0.637 -1.120  0.694 -1.292
1b#kai#kai2#yslee6/V  -0.558 1.547  -0.558 1.422  -0.558 1.297  -0.558 1.172  -0.538 1.049  -0.522 0.925  -0.522 0.800  -0.522 0.675  -0.522 0.550  -0.522 0.425  -0.522 0.300  -0.522 0.174  -0.522 0.049  -0.522 -0.076  -0.521 -0.201  -0.507 -0.325  -0.493 -0.450  -0.467 -0.571  -0.433 -0.692  -0.399 -0.812  -0.364 -0.932  -0.331 -1.053  -0.286 -1.169  -0.229 -1.281  -0.160 -1.384  -0.044 -1.412  0.045 -1.324  0.112 -1.219  0.172 -1.110  0.220 -0.995  0.286 -0.889  0.342 -0.777  0.375 -0.657  0.424 -0.542  0.480 -0.430  0.531 -0.317  0.559 -0.195  0.586 -0.072  0.614 0.049  0.645 0.171  0.672 0.293  0.672 0.418  0.672 0.543  0.672 0.668  0.672 0.793  0.642 0.913  0.610 1.034  0.574 1.154  0.564 1.277  0.564 1.185
1b#kai#kai2#yslee6/V  -0.602 1.410  -0.602 1.285  -0.602 1.160  -0.602 1.036  -0.602 0.911  -0.602 0.786  -0.602 0.662  -0.602 0.537  -0.602 0.412  -0.602 0.288  -0.574 0.167  -0.553 0.045  -0.553 -0.080  -0.531 -0.202  -0.504 -0.323  -0.504 -0.448  -0.488 -0.571  -0.458 -0.692  -0.419 -0.810  -0.380 -0.928  -0.340 -1.047  -0.296 -1.163  -0.227 -1.266  -0.180 -1.381  -0.126 -1.389  -0.057 -1.285  0.007 -1.178  0.071 -1.071  0.116 -0.956  0.169 -0.843  0.233 -0.737  0.291 -0.627  0.331 -0.509  0.386 -0.397  0.445 -0.287  0.514 -0.184  0.560 -0.068  0.577 0.053  0.577 0.178  0.632 0.290  0.676 0.404  0.676 0.529  0.707 0.650  0.733 0.771  0.753 0.894  0.774 1.017  0.774 1.142  0.757 1.264  0.725 1.338  0.725 1.213
1b#kai#kai2#yslee6/W  -0.810 1.437  -0.792 1.248  -0.816 1.052  -0.851 0.857  -0.851 0.658  -0.891 0.464  -0.891 0.264  -0.891 0.065  -0.891 -0.134  -0.879 -0.333  -0.843 -0.528  -0.810 -0.722  -0.767 -0.916  -0.685 -1.096  -0.520 -1.140  -0.417 -0.970  -0.334 -0.789  -0.260 -0.604  -0.189 -0.418  -0.126 -0.229  -0.048 -0.047  -0.002 0.138  0.060 0.327  0.106 0.521  0.117 0.700  0.079 0.505  0.054 0.310  0.039 0.113  0.039 -0.086  0.039 -0.285  0.039 -0.485  0.070 -0.679  0.101 -0.872  0.208 -1.037  0.372 -1.140  0.546 -1.077  0.623 -0.898  0.677 -0.707  0.747 -0.520  0.800 -0.328  0.861 -0.138  0.888 0.057  0.909 0.254  0.928 0.452  0.928 0.652  0.928 0.851  0.925 1.050  0.888 1.245  0.866 1.442  0.726 1.518
1b#kai#kai2#yslee6/W  -0.924 1.388  -0.969 1.207  -0.970 1.020  -0.970 0.832  -0.970 0.645  -0.970 0.458  -0.957 0.272  -0.924 0.088  -0.924 -0.100  -0.884 -0.282  -0.855 -0.467  -0.824 -0.651  -0.765 -0.829  -0.714 -1.009  -0.618 -1.162  -0.462 -1.191  -0.340 -1.058  -0.229 -0.907  -0.152 -0.739  -0.094 -0.561  -0.047 -0.380  0.007 -0.201  0.053 -0.019  0.103 0.161  0.130 0.344  0.150 0.529  0.143 0.607  0.058 0.441  0.038 0.257  0.038 0.070  0.038 -0.117  0.097 -0.295  0.167 -0.468  0.249 -0.637  0.371 -0.777  0.540 -0.844  0.726 -0.856  0.821 -0.697  0.858 -0.514  0.924 -0.338  0.955 -0.157  0.955 0.030  0.955 0.217  0.955 0.405  0.951 0.592  0.928 0.778  0.909 0.964  0.895 1.148  0.825 1.322  0.725 1.480
1b#kai#kai2#yslee6/X  0.851 1.697  0.715 1.561  0.642 1.383  0.577 1.201  0.529 1.014  0.460 0.835  0.388 0.655  0.325 0.474  0.269 0.289  0.198 0.110  0.126 -0.069  0.043 -0.243  -0.043 -0.416  -0.129 -0.588  -0.226 -0.755  -0.303 -0.930  -0.404 -1.093  -0.452 -1.280  -0.552 -1.444  -0.589 -1.479  -0.583 -1.286  -0.570 -1.093  -0.557 -0.901  -0.543 -0.708  -0.530 -0.516  -0.517 -0.323  -0.504 -0.131  -0.490 0.062  -0.477 0.254  -0.464 0.446  -0.451 0.639  -0.437 0.831  -0.424 1.024  -0.411 1.216  -0.374 1.248  -0.306 1.067  -0.241 0.886  -0.165 0.709  -0.078 0.537  0.008 0.364  0.113 0.205  0.232 0.056  0.324 -0.113  0.412 -0.283  0.503 -0.452  0.621 -0.604  0.736 -0.759  0.835 -0.924  0.924 -1.095  0.991 -1.276
1b#kai#kai2#yslee6/X  1.059 1.872  0.909 1.830  0.834 1.671  0.769 1.507  0.691 1.350  0.615 1.191  0.549 1.027  0.472 0.869  0.393 0.711  0.317 0.553  0.251 0.389  0.186 0.226  0.107 0.069  0.016 -0.082  -0.074 -0.233  -0.157 -0.389  -0.252 -0.537  -0.348 -0.684  -0.431 -0.838  -0.513 -0.993  -0.594 -1.147  -0.692 -1.294  -0.743 -1.461  -0.682 -1.353  -0.613 -1.192  -0.582 -1.019  -0.551 -0.845  -0.520 -0.672  -0.489 -0.499  -0.457 -0.325  -0.426 -0.152  -0.395 0.021  -0.364 0.195  -0.333 0.368  -0.301 0.542  -0.270 0.715  -0.239 0.888  -0.188 0.792  -0.127 0.627  -0.054 0.468  -0.006 0.299  0.071 0.140  0.115 -0.030  0.185 -0.192  0.259 -0.351  0.344 -0.504  0.418 -0.663  0.511 -0.813  0.616 -0.954  0.715 -1.099
1b#kai#kai2#yslee6/Y  -1.215 1.527  -1.136 1.395  -1.056 1.263  -0.953 1.149  -0.844 1.040  -0.751 0.917  -0.663 0.791  -0.570 0.667  -0.478 0.544  -0.385 0.420  -0.292 0.297  -0.200 0.173  -0.148 0.031  -0.101 -0.115  -0.016 -0.243  0.039 -0.387  0.078 -0.343  0.157 -0.210  0.235 -0.077  0.314 0.056  0.392 0.189  0.471 0.322  0.549 0.455  0.628 0.588  0.706 0.720  0.785 0.853  0.716 0.831  0.595 0.737  0.485 0.627  0.376 0.518  0.264 0.413  0.135 0.328  0.023 0.223  -0.091 0.119  -0.219 0.034  -0.118 -0.052  -0.013 -0.161  0.066 -0.293  0.114 -0.439  0.114 -0.594  0.114 -0.748  0.115 -0.902  0.152 -1.052  0.172 -1.204  0.185 -1.357  0.222 -1.506  0.229 -1.660  0.244 -1.812  0.287 -1.959  0.287 -2.114
1b#kai#kai2#yslee6/Z  -0.554 1.284  -0.446 1.283  -0.341 1.257  -0.234 1.249  -0.126 1.249  -0.018 1.249  0.090 1.249  0.198 1.249  0.306 1.249  0.414 1.249  0.522 1.249  0.504 1.158  0.448 1.066  0.402 0.969  0.362 0.869  0.327 0.767  0.293 0.664  0.246 0.567  0.202 0.468  0.164 0.367  0.127 0.266  0.071 0.174  0.007 0.087  -0.042 -0.009  -0.101 -0.099  -0.168 -0.183  -0.232 -0.270  -0.292 -0.360  -0.350 -0.451  -0.399 -0.548  -0.437 -0.649  -0.475 -0.750  -0.515 -0.850  -0.563 -0.947  -0.605 -1.046  -0.598 -1.065  -0.530 -0.983  -0.438 -0.928  -0.330 -0.928  -0.222 -0.928  -0.115 -0.932  -0.009 -0.953  0.097 -0.977  0.202 -1.002  0.308 -1.023  0.413 -1.047  0.517 -1.075  0.621 -1.104  0.695 -1.094  0.605 -1.034
