2#app#app11#app1169/E  0.377 1.098  0.544 1.098  0.711 1.098  0.584 1.098  0.417 1.098  0.250 1.098  0.082 1.098  -0.085 1.098  -0.206 0.987  -0.370 0.980  -0.512 0.918  -0.656 0.862  -0.783 0.765  -0.901 0.647  -0.922 0.488  -0.922 0.321  -0.922 0.154  -0.804 0.105  -0.804 -0.062  -0.804 -0.230  -0.804 -0.397  -0.804 -0.564  -0.804 -0.731  -0.729 -0.867  -0.686 -1.017  -0.568 -1.066  -0.481 -1.146  -0.314 -1.146  -0.147 -1.146  0.020 -1.146  0.139 -1.030  0.306 -1.028  0.473 -1.028  0.522 -0.910  0.689 -0.910  0.744 -0.785  0.760 -0.619  0.777 -0.453  0.794 -0.286  0.810 -0.120  0.827 0.046  0.843 0.213  0.849 0.380  0.810 0.271  0.643 0.271  0.516 0.174  0.357 0.153  0.210 0.104  0.072 0.035  -0.096 0.035
1b#app#app37#app3718/E  -0.645 0.285  -0.645 0.052  -0.645 -0.181  -0.645 -0.414  -0.645 -0.647  -0.645 -0.880  -0.645 -1.113  -0.533 -1.299  -0.421 -1.420  -0.279 -1.511  -0.084 -1.473  0.028 -1.287  0.193 -1.122  0.358 -0.957  0.506 -0.781  0.622 -0.581  0.787 -0.416  0.927 -0.241  1.037 -0.054  1.151 0.132  1.082 0.325  0.881 0.443  0.680 0.560  0.479 0.677  0.277 0.795  0.076 0.912  -0.125 1.030  -0.089 1.178  0.095 1.296  0.281 1.408  0.514 1.408  0.565 1.482  0.438 1.287  0.311 1.092  0.184 0.896  0.057 0.701  -0.070 0.506  -0.197 0.310  -0.324 0.115  -0.450 -0.080  -0.577 -0.276  -0.704 -0.471  -0.831 -0.666  -0.834 -0.577  -0.669 -0.413  -0.472 -0.327  -0.307 -0.163  -0.142 0.002  -0.046 0.173  0.141 0.285
1b#apa#apa02#app0255/E  -0.308 1.001  -0.308 0.818  -0.319 0.640  -0.448 0.511  -0.541 0.367  -0.542 0.185  -0.657 0.049  -0.696 -0.124  -0.773 -0.289  -0.773 -0.471  -0.773 -0.654  -0.773 -0.837  -0.773 -1.019  -0.773 -1.202  -0.657 -1.269  -0.533 -1.327  -0.351 -1.327  -0.175 -1.311  -0.033 -1.211  0.149 -1.211  0.284 -1.095  0.391 -1.019  0.491 -0.878  0.394 -0.748  0.265 -0.619  0.136 -0.490  0.006 -0.361  -0.123 -0.232  -0.105 -0.163  0.077 -0.163  0.260 -0.163  0.443 -0.163  0.591 -0.080  0.754 -0.033  0.831 0.098  0.709 0.234  0.587 0.370  0.464 0.505  0.342 0.641  0.220 0.777  0.098 0.913  -0.024 1.049  -0.147 1.185  -0.075 1.234  0.108 1.234  0.286 1.245  0.425 1.350  0.608 1.350  0.790 1.350  0.973 1.350
2#apb#apb22#app2242/E  -0.110 1.259  -0.199 1.037  -0.263 0.796  -0.329 0.556  -0.408 0.319  -0.484 0.082  -0.557 -0.157  -0.628 -0.396  -0.699 -0.635  -0.778 -0.871  -0.830 -1.115  -0.810 -1.063  -0.756 -0.820  -0.702 -0.576  -0.647 -0.333  -0.593 -0.089  -0.539 0.154  -0.485 0.397  -0.430 0.641  -0.298 0.837  -0.079 0.945  0.157 1.027  0.390 1.114  0.633 1.161  0.880 1.190  1.124 1.241  0.966 1.069  0.794 0.889  0.621 0.709  0.449 0.529  0.276 0.349  0.104 0.169  0.167 0.146  0.395 0.241  0.636 0.305  0.882 0.346  0.928 0.269  0.774 0.074  0.619 -0.122  0.464 -0.317  0.309 -0.513  0.155 -0.709  -0.000 -0.904  -0.155 -1.100  -0.310 -1.295  -0.460 -1.493  -0.379 -1.501  -0.151 -1.399  0.068 -1.281  0.288 -1.164
3#apb#apb08#app0866/E  -0.778 0.771  -0.832 0.543  -0.854 0.309  -0.866 0.072  -0.877 -0.164  -0.877 -0.401  -0.877 -0.638  -0.843 -0.870  -0.754 -1.087  -0.600 -1.264  -0.397 -1.377  -0.169 -1.421  0.066 -1.402  0.297 -1.347  0.527 -1.293  0.742 -1.197  0.947 -1.093  0.918 -0.893  0.748 -0.728  0.578 -0.563  0.408 -0.398  0.239 -0.233  0.069 -0.068  -0.101 0.097  -0.271 0.262  -0.440 0.427  -0.610 0.592  -0.780 0.758  -0.636 0.869  -0.414 0.946  -0.179 0.978  0.051 1.033  0.279 1.097  0.513 1.128  0.748 1.157  0.982 1.192  0.911 1.076  0.742 0.911  0.573 0.745  0.403 0.580  0.234 0.414  0.064 0.249  -0.105 0.083  -0.274 -0.082  -0.311 -0.137  -0.094 -0.047  0.137 0.003  0.368 0.053  0.590 0.133  0.808 0.226
3#apb#apb32#app3234/E  0.821 0.630  0.915 0.745  0.998 0.895  1.048 1.048  0.966 1.180  0.795 1.181  0.625 1.157  0.460 1.107  0.297 1.053  0.134 0.996  -0.022 0.924  -0.178 0.850  -0.331 0.771  -0.479 0.683  -0.612 0.574  -0.694 0.425  -0.717 0.260  -0.612 0.136  -0.445 0.107  -0.277 0.124  -0.110 0.167  0.050 0.232  0.209 0.297  0.372 0.354  0.528 0.425  0.451 0.393  0.308 0.297  0.159 0.210  0.007 0.130  -0.145 0.047  -0.295 -0.038  -0.441 -0.129  -0.586 -0.221  -0.732 -0.313  -0.849 -0.437  -0.908 -0.593  -0.920 -0.764  -0.866 -0.922  -0.764 -1.059  -0.630 -1.168  -0.473 -1.234  -0.309 -1.287  -0.142 -1.332  0.028 -1.328  0.198 -1.305  0.363 -1.253  0.520 -1.182  0.653 -1.078  0.766 -0.948  0.868 -0.809
2#aga#jhnshrly/E  0.718 1.186  0.884 1.275  1.017 1.338  0.826 1.350  0.634 1.331  0.442 1.315  0.250 1.326  0.060 1.351  -0.127 1.394  -0.316 1.425  -0.450 1.309  -0.544 1.144  -0.594 0.959  -0.615 0.769  -0.619 0.576  -0.619 0.383  -0.598 0.192  -0.581 -0.000  -0.581 -0.193  -0.564 -0.384  -0.543 -0.575  -0.581 -0.760  -0.511 -0.878  -0.324 -0.841  -0.142 -0.777  0.037 -0.707  0.219 -0.641  0.407 -0.600  0.597 -0.572  0.790 -0.572  0.938 -0.663  0.948 -0.854  0.853 -0.965  0.666 -0.917  0.479 -0.869  0.292 -0.821  0.105 -0.773  -0.082 -0.725  -0.269 -0.678  -0.455 -0.630  -0.484 -0.601  -0.428 -0.421  -0.588 -0.357  -0.631 -0.300  -0.444 -0.266  -0.254 -0.242  -0.063 -0.228  0.126 -0.203  0.307 -0.238  0.413 -0.368
1b#apa#apa03#app0384/E  0.020 0.672  -0.255 0.565  -0.481 0.340  -0.485 0.022  -0.613 -0.169  -0.653 -0.448  -0.653 -0.767  -0.636 -0.936  -0.564 -0.625  -0.492 -0.314  -0.420 -0.003  -0.349 0.308  -0.277 0.619  -0.205 0.930  -0.082 1.177  0.069 1.345  0.388 1.345  0.708 1.345  1.027 1.345  1.276 1.177  1.158 1.081  0.868 0.947  0.579 0.813  0.289 0.680  -0.001 0.546  -0.291 0.412  -0.581 0.278  -0.766 0.167  -0.615 -0.001  -0.296 -0.001  0.023 -0.001  0.342 -0.001  0.662 -0.001  0.981 -0.001  1.107 -0.047  0.821 -0.189  0.536 -0.332  0.250 -0.475  -0.035 -0.618  -0.321 -0.760  -0.607 -0.903  -0.892 -1.046  -1.135 -1.179  -0.816 -1.179  -0.542 -1.068  -0.247 -1.010  0.072 -1.010  0.391 -1.010  0.711 -1.010  1.030 -1.010
1b#apa#apa03#app0384/E  -0.158 0.706  -0.292 0.555  -0.392 0.321  -0.461 0.063  -0.582 -0.172  -0.612 -0.446  -0.763 -0.668  -0.763 -0.954  -0.725 -0.986  -0.641 -0.713  -0.557 -0.440  -0.473 -0.167  -0.389 0.106  -0.305 0.379  -0.221 0.653  -0.087 0.857  0.139 1.003  0.385 1.098  0.645 1.160  0.878 1.288  1.154 1.312  1.415 1.252  1.377 1.074  1.140 0.915  0.902 0.757  0.664 0.599  0.427 0.440  0.189 0.282  0.226 0.101  0.512 0.101  0.797 0.101  1.024 0.092  0.751 0.007  0.479 -0.079  0.206 -0.164  -0.067 -0.249  -0.339 -0.334  -0.612 -0.419  -0.885 -0.505  -1.157 -0.590  -1.323 -0.701  -1.081 -0.807  -0.947 -0.959  -0.661 -0.959  -0.461 -0.874  -0.241 -0.807  0.044 -0.807  0.330 -0.807  0.616 -0.807  0.901 -0.807
1b#apa#apa03#app0384/E  -0.519 0.519  -0.387 0.369  -0.555 0.219  -0.706 0.032  -0.818 -0.239  -0.818 -0.556  -0.818 -0.874  -0.664 -0.916  -0.640 -0.600  -0.615 -0.283  -0.591 0.033  -0.567 0.349  -0.542 0.665  -0.505 0.968  -0.197 0.990  0.068 1.117  0.323 1.267  0.640 1.267  0.957 1.267  1.274 1.267  1.414 1.111  1.127 0.977  0.839 0.843  0.552 0.709  0.264 0.575  -0.023 0.440  -0.311 0.306  -0.598 0.172  -0.766 0.017  -0.541 -0.207  -0.248 -0.169  0.048 -0.080  0.366 -0.080  0.683 -0.080  1.000 -0.080  0.950 -0.144  0.651 -0.251  0.352 -0.357  0.053 -0.464  -0.246 -0.571  -0.544 -0.677  -0.843 -0.784  -0.838 -0.959  -0.590 -1.128  -0.283 -1.085  0.009 -0.979  0.326 -0.979  0.643 -0.979  0.960 -0.979  1.278 -0.979
2#tos#f1#f1053060/E  -1.009 0.870  -1.155 0.731  -1.061 0.593  -0.807 0.593  -0.582 0.687  -0.424 0.870  -0.170 0.870  0.043 0.957  0.207 1.088  0.431 1.120  0.652 1.153  0.455 1.163  0.224 1.059  -0.008 0.955  -0.240 0.851  -0.471 0.746  -0.621 0.609  -0.621 0.355  -0.566 0.156  -0.566 -0.098  -0.566 -0.352  -0.566 -0.606  -0.566 -0.860  -0.566 -1.114  -0.566 -1.368  -0.344 -1.400  -0.090 -1.400  0.054 -1.290  0.297 -1.246  0.537 -1.162  0.756 -1.044  0.984 -0.952  1.133 -0.847  0.990 -0.706  0.766 -0.586  0.542 -0.466  0.318 -0.346  0.094 -0.226  -0.129 -0.106  -0.353 0.014  -0.511 -0.051  -0.388 -0.182  -0.189 -0.127  0.063 -0.108  0.255 -0.001  0.481 0.090  0.733 0.095  0.874 0.251  1.040 0.339  1.206 0.427
1b#app#app37#app3712/E  -0.898 1.080  -0.898 0.861  -0.898 0.641  -0.898 0.422  -0.808 0.240  -0.894 0.084  -0.898 -0.134  -0.898 -0.353  -0.830 -0.557  -0.773 -0.763  -0.773 -0.982  -0.703 -1.186  -0.580 -1.364  -0.384 -1.421  -0.164 -1.421  -0.004 -1.277  0.151 -1.122  0.339 -1.046  0.498 -0.900  0.654 -0.744  0.809 -0.589  0.923 -0.404  1.047 -0.226  1.103 -0.030  1.103 0.190  1.103 0.410  0.953 0.545  0.765 0.658  0.577 0.771  0.388 0.884  0.200 0.997  0.012 1.110  -0.118 1.220  0.078 1.319  0.227 1.263  0.173 1.053  0.099 0.846  0.025 0.639  -0.049 0.432  -0.123 0.225  -0.197 0.019  -0.271 -0.188  -0.344 -0.395  -0.349 -0.510  -0.170 -0.383  0.008 -0.255  0.187 -0.127  0.366 0.000  0.536 0.138  0.602 0.330
1b#app#app37#app3712/E  -0.909 0.352  -0.909 0.171  -0.909 -0.010  -0.909 -0.191  -0.909 -0.372  -0.909 -0.552  -0.909 -0.733  -0.909 -0.914  -0.909 -1.095  -0.909 -1.276  -0.781 -1.329  -0.704 -1.432  -0.523 -1.432  -0.359 -1.392  -0.271 -1.248  -0.193 -1.099  -0.065 -0.971  0.063 -0.844  0.111 -0.683  0.228 -0.551  0.356 -0.423  0.484 -0.295  0.568 -0.136  0.666 0.014  0.812 0.097  0.876 0.214  0.845 0.382  0.717 0.510  0.589 0.638  0.461 0.766  0.333 0.894  0.206 1.022  0.144 1.150  0.286 1.244  0.366 1.345  0.520 1.371  0.621 1.291  0.552 1.129  0.459 0.974  0.366 0.819  0.273 0.664  0.180 0.509  0.087 0.354  -0.006 0.199  -0.099 0.044  -0.077 0.036  0.078 0.097  0.238 0.117  0.312 0.224  0.366 0.352
1b#app#app37#app3712/E  -0.629 0.613  -0.629 0.374  -0.629 0.135  -0.629 -0.104  -0.751 -0.293  -0.759 -0.529  -0.759 -0.768  -0.759 -1.007  -0.629 -1.116  -0.530 -1.314  -0.304 -1.346  -0.077 -1.317  0.092 -1.148  0.261 -0.979  0.469 -0.863  0.654 -0.717  0.824 -0.548  0.993 -0.378  1.070 -0.171  1.005 0.047  0.861 0.238  0.718 0.429  0.574 0.621  0.431 0.812  0.287 1.003  0.492 1.080  0.699 1.157  0.893 1.266  1.063 1.392  0.874 1.245  0.685 1.098  0.497 0.951  0.308 0.804  0.119 0.658  -0.070 0.511  -0.259 0.364  -0.447 0.217  -0.636 0.070  -0.825 -0.077  -1.014 -0.224  -1.203 -0.370  -1.142 -0.432  -0.903 -0.432  -0.664 -0.432  -0.446 -0.341  -0.261 -0.195  -0.031 -0.171  0.189 -0.089  0.378 0.052  0.547 0.221
3#apb#apb38#app3826/E  0.759 1.407  0.842 1.532  0.760 1.642  0.607 1.626  0.473 1.550  0.339 1.474  0.207 1.394  0.084 1.302  -0.032 1.200  -0.153 1.105  -0.279 1.016  -0.376 0.896  -0.458 0.767  -0.516 0.624  -0.553 0.476  -0.521 0.326  -0.448 0.193  -0.355 0.069  -0.292 -0.069  -0.260 -0.220  -0.259 -0.372  -0.284 -0.524  -0.311 -0.675  -0.376 -0.815  -0.453 -0.948  -0.530 -1.082  -0.581 -1.226  -0.462 -1.258  -0.308 -1.253  -0.168 -1.192  -0.024 -1.139  0.125 -1.101  0.278 -1.079  0.424 -1.031  0.571 -0.985  0.531 -0.894  0.420 -0.787  0.309 -0.680  0.198 -0.573  0.087 -0.466  -0.024 -0.358  -0.134 -0.251  -0.245 -0.144  -0.229 -0.085  -0.097 -0.005  0.044 0.057  0.191 0.099  0.344 0.115  0.494 0.149  0.641 0.195
2#apb#apb02#app0271/E  -0.544 0.765  -0.500 1.018  -0.543 0.749  -0.529 0.475  -0.516 0.202  -0.502 -0.072  -0.472 -0.344  -0.430 -0.615  -0.378 -0.884  -0.331 -1.154  -0.283 -1.143  -0.315 -0.871  -0.350 -0.599  -0.385 -0.327  -0.420 -0.056  -0.455 0.216  -0.490 0.488  -0.525 0.760  -0.560 1.031  -0.647 1.244  -0.456 1.320  -0.183 1.331  0.089 1.354  0.361 1.385  0.620 1.331  0.609 1.200  0.445 0.980  0.282 0.760  0.119 0.539  -0.044 0.319  -0.207 0.099  -0.374 -0.018  -0.298 0.047  -0.029 0.084  0.242 0.113  0.516 0.113  0.783 0.158  0.957 0.091  0.810 -0.140  0.658 -0.368  0.506 -0.596  0.354 -0.824  0.202 -1.052  0.050 -1.280  -0.114 -1.323  0.121 -1.324  0.395 -1.323  0.669 -1.321  0.939 -1.281  1.153 -1.257
3#apb#apb06#app0697/E  0.970 1.175  1.036 1.254  1.012 1.373  0.888 1.403  0.746 1.378  0.607 1.340  0.473 1.285  0.348 1.214  0.226 1.136  0.126 1.032  0.030 0.924  -0.054 0.807  -0.132 0.685  -0.202 0.560  -0.254 0.425  -0.298 0.288  -0.319 0.145  -0.254 0.023  -0.126 -0.022  0.019 -0.019  0.162 -0.000  0.298 0.048  0.420 0.122  0.499 0.220  0.363 0.253  0.219 0.242  0.081 0.202  -0.052 0.145  -0.176 0.072  -0.295 -0.010  -0.405 -0.104  -0.506 -0.206  -0.595 -0.320  -0.666 -0.446  -0.733 -0.574  -0.785 -0.708  -0.833 -0.844  -0.833 -0.989  -0.811 -1.131  -0.727 -1.233  -0.583 -1.233  -0.440 -1.215  -0.300 -1.182  -0.162 -1.137  -0.022 -1.110  0.123 -1.102  0.265 -1.076  0.407 -1.050  0.550 -1.030  0.693 -1.009
3#apa#apa15#app1553/E  -0.442 0.851  -0.606 1.015  -0.610 0.792  -0.640 0.564  -0.696 0.339  -0.752 0.114  -0.778 -0.115  -0.778 -0.346  -0.778 -0.578  -0.778 -0.810  -0.778 -1.042  -0.665 -1.161  -0.433 -1.161  -0.202 -1.161  0.030 -1.161  0.261 -1.153  0.486 -1.097  0.711 -1.041  0.937 -0.993  1.099 -0.897  1.172 -0.677  1.245 -0.457  1.319 -0.237  1.392 -0.017  1.201 0.012  0.969 0.012  0.738 0.012  0.508 -0.002  0.283 -0.058  0.058 -0.114  -0.169 -0.155  -0.401 -0.155  -0.632 -0.155  -0.709 -0.102  -0.526 0.040  -0.343 0.183  -0.160 0.325  0.023 0.467  0.206 0.610  0.389 0.752  0.572 0.894  0.705 1.005  0.498 0.902  0.278 0.851  0.046 0.851  -0.186 0.851  -0.418 0.851  -0.649 0.851  -0.881 0.851  -1.113 0.851
2#app#app12#app1287/E  0.575 1.344  0.476 1.277  0.310 1.277  0.211 1.210  0.045 1.210  -0.113 1.229  -0.250 1.256  -0.367 1.138  -0.437 1.001  -0.507 0.864  -0.570 0.723  -0.622 0.565  -0.630 0.400  -0.697 0.262  -0.716 0.101  -0.764 -0.054  -0.828 -0.193  -0.831 -0.358  -0.831 -0.524  -0.831 -0.690  -0.831 -0.856  -0.764 -0.994  -0.678 -1.085  -0.560 -1.201  -0.394 -1.201  -0.228 -1.201  -0.062 -1.201  0.076 -1.134  0.228 -1.073  0.384 -1.019  0.519 -0.933  0.658 -0.866  0.776 -0.818  0.830 -0.732  0.710 -0.642  0.612 -0.508  0.514 -0.374  0.416 -0.240  0.317 -0.106  0.219 0.027  0.121 0.161  0.039 0.301  0.032 0.340  0.171 0.405  0.336 0.407  0.502 0.407  0.641 0.474  0.807 0.474  0.945 0.541  1.044 0.608
1b#ibm#ibm0#r0007/E  0.596 1.629  0.410 1.629  0.224 1.629  0.039 1.629  -0.145 1.619  -0.311 1.536  -0.464 1.435  -0.559 1.289  -0.559 1.104  -0.500 0.932  -0.417 0.766  -0.415 0.581  -0.415 0.395  -0.415 0.210  -0.415 0.024  -0.415 -0.161  -0.415 -0.347  -0.415 -0.533  -0.415 -0.718  -0.415 -0.904  -0.295 -0.970  -0.157 -1.084  0.016 -1.114  0.202 -1.114  0.387 -1.114  0.573 -1.114  0.741 -1.041  0.907 -0.958  1.073 -0.875  1.104 -0.796  0.934 -0.723  0.763 -0.650  0.593 -0.577  0.422 -0.504  0.252 -0.430  0.081 -0.357  -0.090 -0.284  -0.260 -0.211  -0.431 -0.138  -0.601 -0.065  -0.772 0.008  -0.745 0.041  -0.559 0.041  -0.374 0.041  -0.188 0.041  -0.003 0.041  0.183 0.041  0.369 0.041  0.554 0.041  0.740 0.041
1b#ibm#ibm0#r0007/E  0.774 1.442  0.606 1.442  0.438 1.442  0.274 1.429  0.124 1.354  -0.027 1.284  -0.195 1.284  -0.363 1.284  -0.519 1.256  -0.637 1.138  -0.650 0.975  -0.650 0.808  -0.650 0.640  -0.650 0.472  -0.650 0.305  -0.650 0.137  -0.650 -0.031  -0.650 -0.198  -0.619 -0.359  -0.544 -0.509  -0.456 -0.649  -0.337 -0.768  -0.329 -0.930  -0.162 -0.930  0.006 -0.930  0.174 -0.930  0.341 -0.930  0.509 -0.930  0.677 -0.930  0.844 -0.930  1.012 -0.930  1.180 -0.930  1.159 -0.886  1.009 -0.811  0.859 -0.736  0.709 -0.661  0.559 -0.586  0.409 -0.511  0.259 -0.436  0.110 -0.361  -0.040 -0.286  -0.190 -0.211  -0.340 -0.136  -0.490 -0.061  -0.640 0.014  -0.509 0.089  -0.359 0.164  -0.194 0.177  -0.027 0.177  0.141 0.177
1b#ibm#ibm0#r0007/E  0.782 1.460  0.662 1.580  0.543 1.482  0.382 1.460  0.218 1.440  0.066 1.364  -0.095 1.329  -0.264 1.329  -0.416 1.254  -0.526 1.152  -0.586 1.008  -0.657 0.868  -0.657 0.699  -0.657 0.529  -0.657 0.360  -0.615 0.200  -0.540 0.049  -0.526 -0.117  -0.526 -0.287  -0.526 -0.456  -0.471 -0.612  -0.395 -0.764  -0.395 -0.933  -0.317 -1.025  -0.182 -1.107  -0.033 -1.156  0.122 -1.093  0.273 -1.018  0.425 -0.942  0.580 -0.874  0.740 -0.821  0.901 -0.767  1.062 -0.745  1.164 -0.630  1.002 -0.583  0.839 -0.537  0.676 -0.490  0.513 -0.444  0.350 -0.397  0.187 -0.350  0.025 -0.304  -0.138 -0.257  -0.301 -0.211  -0.464 -0.164  -0.627 -0.118  -0.518 -0.109  -0.349 -0.109  -0.180 -0.109  -0.023 -0.054  0.128 0.021
1b#ibm#ibm0#r0007/E  0.902 1.671  0.729 1.651  0.570 1.572  0.400 1.538  0.224 1.532  0.066 1.452  -0.093 1.373  -0.252 1.293  -0.386 1.180  -0.512 1.054  -0.559 0.896  -0.559 0.719  -0.559 0.541  -0.559 0.363  -0.548 0.188  -0.469 0.030  -0.426 -0.138  -0.426 -0.316  -0.426 -0.493  -0.367 -0.646  -0.293 -0.793  -0.293 -0.971  -0.178 -1.101  -0.052 -1.226  0.114 -1.246  0.273 -1.167  0.439 -1.118  0.617 -1.118  0.748 -1.006  0.874 -0.881  0.999 -0.755  0.915 -0.677  0.748 -0.617  0.580 -0.557  0.413 -0.497  0.246 -0.438  0.078 -0.378  -0.089 -0.318  -0.256 -0.259  -0.423 -0.199  -0.591 -0.139  -0.758 -0.079  -0.718 -0.055  -0.541 -0.055  -0.363 -0.055  -0.191 -0.021  -0.022 0.035  0.148 0.077  0.326 0.077  0.503 0.077
1b#ibm#ibm0#r0007/E  0.619 1.552  0.454 1.552  0.288 1.552  0.123 1.552  -0.028 1.491  -0.176 1.417  -0.324 1.343  -0.463 1.258  -0.563 1.134  -0.589 0.974  -0.663 0.827  -0.694 0.669  -0.603 0.541  -0.563 0.392  -0.563 0.227  -0.563 0.062  -0.506 -0.080  -0.432 -0.215  -0.432 -0.380  -0.432 -0.545  -0.432 -0.711  -0.386 -0.857  -0.269 -0.974  -0.145 -1.074  0.020 -1.074  0.185 -1.074  0.351 -1.074  0.516 -1.074  0.681 -1.074  0.847 -1.074  0.974 -0.982  1.123 -0.943  1.022 -0.868  0.881 -0.781  0.740 -0.694  0.599 -0.608  0.458 -0.521  0.318 -0.434  0.177 -0.348  0.036 -0.261  -0.105 -0.174  -0.246 -0.088  -0.386 -0.001  -0.527 0.086  -0.452 0.163  -0.304 0.237  -0.140 0.239  0.026 0.239  0.191 0.239  0.356 0.239
1b#ibm#ibm0#r0007/E  0.549 1.463  0.425 1.587  0.255 1.600  0.079 1.600  -0.086 1.556  -0.243 1.477  -0.414 1.458  -0.538 1.334  -0.662 1.210  -0.684 1.043  -0.662 0.872  -0.584 0.715  -0.505 0.558  -0.427 0.401  -0.410 0.229  -0.392 0.058  -0.313 -0.100  -0.273 -0.266  -0.273 -0.441  -0.273 -0.617  -0.273 -0.793  -0.273 -0.968  -0.147 -1.066  0.011 -1.140  0.187 -1.140  0.363 -1.140  0.538 -1.140  0.697 -1.067  0.857 -1.003  1.033 -1.003  0.999 -0.951  0.845 -0.867  0.690 -0.784  0.535 -0.701  0.381 -0.617  0.226 -0.534  0.071 -0.451  -0.083 -0.368  -0.238 -0.284  -0.393 -0.201  -0.548 -0.118  -0.662 -0.044  -0.504 -0.002  -0.368 0.093  -0.192 0.093  -0.016 0.093  0.159 0.093  0.335 0.093  0.511 0.093  0.686 0.093
1b#ibm#ibm0#r0007/E  0.721 1.456  0.562 1.509  0.403 1.562  0.238 1.575  0.077 1.549  -0.073 1.475  -0.223 1.400  -0.376 1.337  -0.466 1.261  -0.466 1.093  -0.466 0.926  -0.466 0.758  -0.466 0.591  -0.466 0.424  -0.466 0.256  -0.466 0.089  -0.466 -0.079  -0.466 -0.246  -0.466 -0.414  -0.466 -0.581  -0.466 -0.748  -0.466 -0.916  -0.434 -1.070  -0.302 -1.156  -0.135 -1.156  0.032 -1.156  0.200 -1.156  0.355 -1.102  0.506 -1.030  0.664 -0.977  0.823 -0.924  0.990 -0.919  1.010 -0.875  0.869 -0.785  0.728 -0.694  0.587 -0.604  0.447 -0.513  0.306 -0.423  0.165 -0.332  0.024 -0.242  -0.117 -0.151  -0.258 -0.061  -0.398 0.030  -0.539 0.120  -0.472 0.150  -0.305 0.150  -0.137 0.150  0.030 0.150  0.197 0.150  0.365 0.150
1b#ibm#ibm0#r0007/E  0.891 1.404  0.730 1.404  0.568 1.404  0.406 1.404  0.245 1.404  0.083 1.404  -0.079 1.404  -0.198 1.301  -0.348 1.274  -0.463 1.160  -0.466 1.000  -0.466 0.838  -0.466 0.676  -0.532 0.530  -0.589 0.382  -0.589 0.221  -0.589 0.059  -0.589 -0.103  -0.589 -0.264  -0.589 -0.426  -0.589 -0.588  -0.589 -0.749  -0.589 -0.911  -0.496 -1.034  -0.347 -1.064  -0.201 -1.134  -0.057 -1.168  0.088 -1.096  0.242 -1.064  0.403 -1.064  0.565 -1.064  0.727 -1.064  0.853 -0.979  0.967 -0.864  0.936 -0.765  0.801 -0.675  0.667 -0.585  0.532 -0.496  0.398 -0.406  0.263 -0.316  0.129 -0.227  -0.006 -0.137  -0.140 -0.047  -0.275 0.042  -0.409 0.132  -0.372 0.170  -0.211 0.170  -0.049 0.170  0.113 0.170  0.274 0.170
1b#ibm#ibm0#r0007/E  0.650 1.474  0.499 1.474  0.349 1.474  0.198 1.474  0.047 1.474  -0.103 1.474  -0.228 1.433  -0.295 1.298  -0.404 1.230  -0.451 1.127  -0.458 0.979  -0.564 0.873  -0.574 0.726  -0.574 0.576  -0.574 0.425  -0.530 0.285  -0.462 0.150  -0.451 0.002  -0.451 -0.148  -0.451 -0.299  -0.451 -0.449  -0.451 -0.600  -0.435 -0.744  -0.329 -0.850  -0.309 -0.993  -0.201 -1.095  -0.050 -1.095  0.100 -1.095  0.251 -1.095  0.402 -1.095  0.552 -1.095  0.700 -1.078  0.843 -1.030  0.986 -0.983  1.017 -0.855  0.895 -0.769  0.770 -0.686  0.645 -0.602  0.519 -0.519  0.394 -0.435  0.269 -0.351  0.144 -0.268  0.018 -0.184  -0.107 -0.101  -0.232 -0.017  -0.358 0.066  -0.414 0.129  -0.263 0.129  -0.113 0.129  0.038 0.129
1b#ibm#ibm0#r0007/E  0.448 1.607  0.288 1.607  0.127 1.607  -0.033 1.607  -0.193 1.607  -0.318 1.524  -0.371 1.385  -0.448 1.257  -0.507 1.122  -0.507 0.962  -0.507 0.802  -0.507 0.642  -0.507 0.482  -0.507 0.322  -0.507 0.162  -0.507 0.002  -0.507 -0.158  -0.507 -0.318  -0.507 -0.478  -0.507 -0.638  -0.507 -0.798  -0.397 -0.848  -0.371 -0.982  -0.213 -0.984  -0.053 -0.984  0.107 -0.984  0.267 -0.984  0.427 -0.984  0.587 -0.984  0.747 -0.984  0.907 -0.984  1.067 -0.984  1.130 -0.887  1.029 -0.781  0.896 -0.692  0.763 -0.603  0.629 -0.515  0.496 -0.426  0.363 -0.337  0.230 -0.248  0.097 -0.160  -0.036 -0.071  -0.169 0.018  -0.303 0.107  -0.436 0.195  -0.433 0.243  -0.283 0.199  -0.140 0.128  0.015 0.107  0.175 0.107
