1c#apa#apa03#app0358/k  0.098 1.882  -0.025 1.778  -0.209 1.698  -0.283 1.501  -0.396 1.319  -0.473 1.110  -0.520 0.893  -0.643 0.716  -0.643 0.488  -0.655 0.265  -0.766 0.083  -0.766 -0.145  -0.776 -0.372  -0.849 -0.588  -0.890 -0.809  -0.890 -1.037  -0.831 -1.206  -0.736 -1.056  -0.564 -0.906  -0.393 -0.756  -0.221 -0.605  -0.050 -0.455  0.122 -0.305  0.294 -0.155  0.465 -0.005  0.637 0.145  0.808 0.295  0.980 0.446  1.151 0.596  1.086 0.620  0.957 0.518  0.778 0.400  0.674 0.276  0.453 0.260  0.291 0.099  0.092 0.029  -0.103 -0.049  -0.301 -0.123  -0.490 -0.218  -0.643 -0.292  -0.464 -0.341  -0.283 -0.455  -0.059 -0.465  0.162 -0.497  0.368 -0.588  0.595 -0.591  0.773 -0.712  0.963 -0.750  1.086 -0.854  1.086 -1.082
2#mot#mot1#tc2/k  -0.333 0.148  -0.187 0.223  0.050 0.328  0.271 0.465  0.480 0.619  0.674 0.792  0.845 0.986  0.988 1.202  1.092 1.438  1.002 1.550  0.839 1.349  0.690 1.136  0.542 0.923  0.394 0.710  0.247 0.495  0.104 0.278  -0.041 0.063  -0.190 -0.150  -0.344 -0.359  -0.514 -0.555  -0.690 -0.746  -0.877 -0.927  -1.074 -1.094  -1.307 -1.194  -1.436 -1.025  -1.351 -0.786  -1.202 -0.574  -1.023 -0.388  -0.822 -0.224  -0.605 -0.080  -0.386 0.059  -0.149 0.165  0.089 0.269  0.332 0.360  0.580 0.435  0.835 0.475  1.064 0.389  0.957 0.154  0.788 -0.042  0.574 -0.188  0.339 -0.298  0.094 -0.382  -0.160 -0.430  -0.419 -0.431  -0.605 -0.430  -0.444 -0.633  -0.254 -0.810  -0.047 -0.966  0.176 -1.099  0.415 -1.201
2#mot#mot1#tc2/k  -0.383 0.437  -0.200 0.538  0.021 0.677  0.245 0.809  0.453 0.965  0.645 1.140  0.740 1.366  0.586 1.182  0.448 0.961  0.311 0.739  0.170 0.520  0.025 0.304  -0.122 0.089  -0.274 -0.123  -0.427 -0.334  -0.601 -0.528  -0.783 -0.713  -0.978 -0.886  -1.195 -1.031  -1.417 -1.009  -1.483 -0.772  -1.410 -0.526  -1.280 -0.301  -1.123 -0.095  -0.921 0.071  -0.702 0.209  -0.471 0.330  -0.227 0.421  0.020 0.503  0.270 0.574  0.525 0.627  0.785 0.650  1.028 0.574  0.986 0.329  0.801 0.146  0.590 -0.005  0.360 -0.126  0.115 -0.210  -0.143 -0.237  -0.396 -0.186  -0.436 -0.127  -0.235 -0.293  -0.037 -0.462  0.159 -0.634  0.368 -0.786  0.605 -0.891  0.858 -0.951  1.117 -0.979  1.377 -0.985  1.637 -0.974
2#mot#mot1#tc2/k  -0.357 0.247  -0.302 0.320  -0.086 0.472  0.108 0.652  0.286 0.847  0.452 1.052  0.591 1.275  0.676 1.524  0.582 1.556  0.448 1.329  0.332 1.092  0.221 0.852  0.114 0.610  0.008 0.368  -0.094 0.125  -0.204 -0.115  -0.322 -0.352  -0.446 -0.584  -0.580 -0.812  -0.731 -1.028  -0.901 -1.229  -1.118 -1.363  -1.272 -1.219  -1.200 -0.968  -1.057 -0.746  -0.891 -0.542  -0.714 -0.346  -0.520 -0.167  -0.320 0.006  -0.110 0.164  0.114 0.304  0.341 0.440  0.573 0.566  0.812 0.676  1.062 0.759  1.257 0.666  1.154 0.426  0.988 0.221  0.795 0.041  0.585 -0.119  0.362 -0.257  0.118 -0.358  -0.138 -0.424  -0.399 -0.454  -0.524 -0.486  -0.343 -0.679  -0.167 -0.876  0.033 -1.047  0.266 -1.171  0.518 -1.248
2#mot#mot1#tc2/k  -0.766 -0.236  -0.596 -0.093  -0.400 0.042  -0.207 0.181  -0.030 0.339  0.137 0.508  0.295 0.687  0.441 0.874  0.581 1.066  0.710 1.266  0.810 1.481  0.886 1.706  0.750 1.707  0.637 1.498  0.546 1.279  0.457 1.059  0.377 0.835  0.290 0.614  0.197 0.394  0.100 0.178  0.001 -0.039  -0.109 -0.249  -0.223 -0.458  -0.346 -0.662  -0.471 -0.864  -0.616 -1.052  -0.773 -1.230  -0.948 -1.390  -1.157 -1.442  -1.213 -1.224  -1.106 -1.013  -0.952 -0.833  -0.782 -0.666  -0.603 -0.510  -0.407 -0.375  -0.209 -0.245  -0.006 -0.120  0.201 -0.003  0.413 0.103  0.634 0.192  0.858 0.260  0.819 0.072  0.652 -0.097  0.459 -0.235  0.246 -0.337  0.010 -0.361  -0.118 -0.374  0.030 -0.560  0.172 -0.751  0.333 -0.924
2#mot#mot1#tc2/k  -0.821 -0.308  -0.589 -0.174  -0.341 -0.026  -0.107 0.144  0.104 0.342  0.302 0.553  0.467 0.788  0.593 1.048  0.683 1.322  0.719 1.606  0.561 1.471  0.442 1.208  0.322 0.945  0.200 0.682  0.070 0.424  -0.059 0.165  -0.188 -0.094  -0.328 -0.347  -0.475 -0.596  -0.632 -0.839  -0.794 -1.078  -0.963 -1.313  -1.176 -1.493  -1.196 -1.235  -1.129 -0.955  -1.027 -0.685  -0.901 -0.425  -0.731 -0.191  -0.532 0.017  -0.318 0.211  -0.073 0.365  0.182 0.501  0.449 0.613  0.724 0.702  1.006 0.760  1.290 0.743  1.256 0.476  1.056 0.267  0.838 0.078  0.595 -0.077  0.326 -0.177  0.038 -0.204  -0.249 -0.180  -0.515 -0.100  -0.374 -0.344  -0.189 -0.566  0.002 -0.783  0.232 -0.959  0.485 -1.099  0.761 -1.185
2#mot#mot1#tc2/k  -0.527 -0.190  -0.586 -0.052  -0.368 0.100  -0.160 0.265  0.040 0.439  0.231 0.623  0.408 0.821  0.573 1.029  0.721 1.249  0.834 1.489  0.826 1.715  0.627 1.555  0.469 1.342  0.325 1.119  0.195 0.888  0.072 0.652  -0.047 0.415  -0.160 0.175  -0.272 -0.066  -0.380 -0.308  -0.491 -0.550  -0.610 -0.787  -0.739 -1.019  -0.885 -1.240  -1.058 -1.442  -1.206 -1.357  -1.115 -1.112  -0.975 -0.886  -0.823 -0.669  -0.642 -0.475  -0.456 -0.286  -0.257 -0.110  -0.051 0.058  0.167 0.209  0.393 0.349  0.626 0.475  0.876 0.562  1.114 0.488  1.109 0.242  0.958 0.025  0.764 -0.154  0.540 -0.295  0.295 -0.393  0.032 -0.427  -0.232 -0.410  -0.389 -0.439  -0.252 -0.666  -0.065 -0.853  0.152 -1.004  0.400 -1.095
2#mot#mot1#tc2/k  -0.391 0.168  -0.248 0.349  -0.056 0.545  0.123 0.754  0.295 0.968  0.451 1.194  0.575 1.436  0.401 1.299  0.251 1.069  0.122 0.827  -0.001 0.581  -0.117 0.332  -0.234 0.084  -0.351 -0.165  -0.468 -0.413  -0.585 -0.662  -0.704 -0.909  -0.843 -1.146  -1.039 -1.333  -1.268 -1.276  -1.298 -1.008  -1.232 -0.743  -1.111 -0.499  -0.959 -0.271  -0.764 -0.077  -0.565 0.111  -0.343 0.274  -0.118 0.429  0.124 0.561  0.370 0.682  0.624 0.785  0.887 0.862  1.149 0.838  1.184 0.601  1.027 0.377  0.834 0.182  0.624 0.006  0.370 -0.098  0.101 -0.149  -0.173 -0.154  -0.444 -0.110  -0.471 -0.225  -0.308 -0.446  -0.114 -0.639  0.113 -0.791  0.373 -0.869  0.646 -0.890  0.920 -0.873  1.189 -0.822  1.454 -0.748
3#app#app25#app2546/k  0.312 2.139  0.312 1.910  0.309 1.682  0.083 1.679  0.083 1.449  0.079 1.220  -0.084 1.058  -0.146 0.854  -0.247 0.666  -0.375 0.489  -0.375 0.259  -0.426 0.080  -0.603 0.028  -0.642 -0.186  -0.804 -0.349  -0.832 -0.567  -1.024 -0.606  -1.061 -0.798  -0.867 -0.835  -0.676 -0.718  -0.492 -0.580  -0.308 -0.442  -0.125 -0.304  0.059 -0.166  0.243 -0.028  0.427 0.110  0.611 0.248  0.795 0.386  0.979 0.524  0.792 0.538  0.562 0.538  0.540 0.330  0.331 0.309  0.312 0.099  0.100 0.080  -0.130 0.080  -0.360 0.080  -0.375 -0.135  -0.375 -0.365  -0.157 -0.377  0.073 -0.377  0.303 -0.377  0.312 -0.598  0.312 -0.828  0.312 -1.058  0.312 -1.288  0.312 -1.518  0.538 -1.521  0.540 -1.293  0.540 -1.521
3#apa#apa00#app0006/k  -0.173 2.213  -0.090 2.045  -0.173 1.877  -0.173 1.675  -0.173 1.473  -0.187 1.274  -0.256 1.088  -0.256 0.886  -0.256 0.684  -0.256 0.482  -0.256 0.279  -0.256 0.077  -0.256 -0.125  -0.256 -0.327  -0.334 -0.511  -0.339 -0.712  -0.339 -0.914  -0.383 -1.105  -0.455 -1.264  -0.504 -1.111  -0.504 -0.909  -0.504 -0.707  -0.504 -0.505  -0.504 -0.303  -0.442 -0.126  -0.416 0.065  -0.332 0.232  -0.171 0.351  -0.011 0.470  0.106 0.557  0.301 0.587  0.491 0.640  0.659 0.557  0.738 0.433  0.625 0.278  0.527 0.143  0.432 0.002  0.264 -0.082  0.106 -0.188  -0.013 -0.271  0.035 -0.271  0.075 -0.433  0.158 -0.601  0.241 -0.768  0.327 -0.933  0.434 -1.044  0.577 -1.187  0.738 -1.274  0.867 -1.347  1.069 -1.347
3#apa#apa02#app0247/k  -0.592 1.577  -0.680 1.456  -0.714 1.280  -0.700 1.076  -0.592 0.911  -0.592 0.701  -0.592 0.491  -0.592 0.282  -0.592 0.072  -0.592 -0.138  -0.592 -0.347  -0.714 -0.507  -0.714 -0.716  -0.763 -0.906  -0.836 -1.085  -0.785 -1.274  -0.649 -1.256  -0.525 -1.088  -0.400 -0.919  -0.276 -0.750  -0.152 -0.581  -0.027 -0.412  0.097 -0.243  0.222 -0.075  0.346 0.094  0.470 0.263  0.595 0.432  0.719 0.601  0.843 0.769  0.968 0.938  0.940 1.090  0.735 1.079  0.571 0.969  0.483 0.847  0.305 0.771  0.130 0.660  0.016 0.520  -0.105 0.433  -0.105 0.223  -0.105 0.013  -0.056 -0.176  0.092 -0.324  0.240 -0.473  0.382 -0.553  0.503 -0.640  0.584 -0.817  0.732 -0.965  0.936 -0.979  1.024 -1.101  1.112 -1.223
2#apa#apa01#app0157/k  -0.847 1.778  -0.790 1.581  -0.706 1.395  -0.706 1.175  -0.706 0.954  -0.706 0.733  -0.568 0.650  -0.565 0.433  -0.565 0.212  -0.565 -0.008  -0.565 -0.229  -0.565 -0.450  -0.565 -0.670  -0.565 -0.891  -0.565 -1.112  -0.424 -1.191  -0.424 -1.235  -0.352 -1.031  -0.258 -0.831  -0.164 -0.631  -0.070 -0.432  0.024 -0.232  0.118 -0.032  0.212 0.167  0.305 0.367  0.399 0.567  0.493 0.766  0.587 0.966  0.681 1.166  0.678 1.073  0.563 0.968  0.432 0.801  0.276 0.645  0.112 0.509  -0.001 0.401  -0.134 0.236  -0.210 0.086  -0.283 -0.061  -0.196 -0.196  0.024 -0.196  0.245 -0.196  0.325 -0.337  0.509 -0.424  0.567 -0.619  0.704 -0.702  0.819 -0.875  0.845 -1.085  0.968 -1.183  1.048 -1.324  1.127 -1.465
3#app#app35#app3564/k  -0.840 2.101  -0.840 1.913  -0.829 1.730  -0.750 1.574  -0.750 1.387  -0.750 1.199  -0.705 1.021  -0.660 0.844  -0.630 0.661  -0.571 0.483  -0.570 0.295  -0.570 0.107  -0.563 -0.080  -0.504 -0.258  -0.480 -0.442  -0.480 -0.630  -0.480 -0.818  -0.480 -1.006  -0.388 -0.939  -0.267 -0.795  -0.147 -0.651  -0.027 -0.506  0.093 -0.362  0.214 -0.217  0.334 -0.073  0.454 0.071  0.575 0.216  0.695 0.360  0.815 0.504  0.798 0.499  0.729 0.339  0.596 0.206  0.447 0.099  0.269 0.040  0.150 -0.090  0.033 -0.177  -0.129 -0.240  -0.285 -0.315  -0.313 -0.330  -0.210 -0.415  -0.054 -0.485  0.105 -0.555  0.268 -0.639  0.448 -0.690  0.635 -0.690  0.786 -0.780  0.974 -0.780  1.129 -0.859  1.313 -0.870  1.411 -0.960
2#ibm#ibm0#r0414/k  -0.858 1.952  -0.858 1.735  -0.858 1.518  -0.785 1.318  -0.688 1.124  -0.614 0.925  -0.614 0.708  -0.614 0.491  -0.614 0.274  -0.614 0.057  -0.614 -0.160  -0.614 -0.376  -0.614 -0.593  -0.614 -0.810  -0.650 -1.012  -0.803 -1.166  -0.759 -1.121  -0.605 -0.968  -0.452 -0.815  -0.299 -0.661  -0.145 -0.508  0.008 -0.354  0.162 -0.201  0.315 -0.048  0.468 0.106  0.622 0.259  0.775 0.412  0.928 0.566  1.082 0.719  0.896 0.732  0.679 0.732  0.542 0.602  0.445 0.408  0.329 0.244  0.113 0.244  -0.104 0.244  -0.126 0.048  -0.245 -0.119  -0.329 -0.244  -0.114 -0.238  0.080 -0.141  0.274 -0.044  0.415 -0.106  0.512 -0.300  0.609 -0.494  0.706 -0.688  0.803 -0.882  0.950 -1.026  1.145 -1.123  1.339 -1.220
2#ibm#ibm0#r0414/k  -0.355 2.225  -0.355 2.022  -0.355 1.818  -0.355 1.615  -0.355 1.411  -0.355 1.208  -0.355 1.004  -0.355 0.801  -0.355 0.597  -0.355 0.394  -0.355 0.190  -0.355 -0.013  -0.355 -0.217  -0.355 -0.420  -0.355 -0.624  -0.355 -0.827  -0.355 -1.031  -0.355 -1.234  -0.451 -1.398  -0.595 -1.542  -0.582 -1.489  -0.474 -1.317  -0.366 -1.144  -0.259 -0.972  -0.151 -0.799  -0.043 -0.626  0.065 -0.454  0.173 -0.281  0.281 -0.109  0.389 0.064  0.496 0.236  0.604 0.409  0.712 0.582  0.820 0.754  0.678 0.612  0.534 0.468  0.390 0.325  0.246 0.181  0.048 0.167  -0.128 0.101  -0.272 -0.043  -0.270 -0.127  -0.066 -0.127  0.137 -0.127  0.341 -0.127  0.539 -0.139  0.683 -0.283  0.827 -0.427  0.971 -0.571  1.115 -0.715
2#ibm#ibm0#r0414/k  -0.859 2.024  -0.801 1.822  -0.743 1.619  -0.642 1.436  -0.579 1.240  -0.552 1.031  -0.528 0.821  -0.528 0.610  -0.528 0.399  -0.528 0.188  -0.528 -0.023  -0.528 -0.234  -0.528 -0.445  -0.528 -0.656  -0.528 -0.867  -0.528 -1.078  -0.563 -1.285  -0.545 -1.341  -0.420 -1.171  -0.295 -1.001  -0.170 -0.831  -0.045 -0.661  0.080 -0.491  0.205 -0.321  0.330 -0.151  0.455 0.019  0.580 0.189  0.705 0.359  0.830 0.529  0.955 0.699  1.019 0.818  0.830 0.723  0.636 0.642  0.447 0.553  0.321 0.385  0.156 0.265  -0.039 0.186  -0.176 0.030  -0.300 -0.141  -0.366 -0.265  -0.190 -0.149  -0.014 -0.032  0.166 -0.122  0.342 -0.236  0.469 -0.405  0.585 -0.580  0.694 -0.761  0.802 -0.942  0.911 -1.123  1.056 -1.276
2#ibm#ibm0#r0414/k  -0.346 1.662  -0.327 1.595  -0.308 1.528  -0.288 1.461  -0.269 1.394  -0.250 1.327  -0.231 1.259  -0.212 1.192  -0.193 1.125  -0.173 1.058  -0.155 0.991  -0.136 0.924  -0.118 0.856  -0.100 0.789  -0.081 0.722  -0.063 0.654  -0.045 0.587  -0.026 0.520  -0.008 0.453  0.010 0.385  0.029 0.318  0.047 0.251  0.065 0.183  0.084 0.116  0.102 0.049  0.120 -0.019  0.120 -0.089  0.120 -0.158  0.120 -0.228  0.120 -0.298  0.120 -0.368  0.120 -0.437  0.120 -0.507  0.120 -0.577  0.120 -0.647  0.120 -0.716  0.120 -0.786  0.120 -0.856  0.120 -0.926  0.120 -0.995  0.120 -1.065  0.120 -1.135  0.120 -1.205  0.120 -1.275  0.120 -1.344  0.120 -1.414  0.120 -1.484  0.120 -1.554  0.120 -1.623  0.120 -1.693
2#ibm#ibm0#r0414/k  1.490 0.838  1.425 0.809  1.360 0.780  1.295 0.751  1.230 0.722  1.165 0.693  1.100 0.664  1.035 0.635  0.969 0.606  0.904 0.577  0.839 0.548  0.774 0.519  0.709 0.490  0.644 0.461  0.579 0.432  0.514 0.403  0.449 0.374  0.384 0.345  0.319 0.316  0.254 0.287  0.189 0.258  0.124 0.230  0.059 0.201  -0.006 0.172  -0.069 0.140  -0.112 0.083  -0.154 0.026  -0.197 -0.031  -0.240 -0.088  -0.282 -0.145  -0.325 -0.202  -0.368 -0.259  -0.411 -0.316  -0.453 -0.373  -0.496 -0.430  -0.539 -0.487  -0.582 -0.544  -0.648 -0.570  -0.714 -0.597  -0.780 -0.623  -0.846 -0.650  -0.912 -0.676  -0.978 -0.703  -1.044 -0.729  -1.110 -0.756  -1.176 -0.783  -1.243 -0.809  -1.309 -0.836  -1.375 -0.862  -1.441 -0.889
2#ibm#ibm0#r0414/k  -1.188 1.182  -1.127 1.146  -1.067 1.110  -1.007 1.074  -0.947 1.038  -0.887 1.002  -0.827 0.966  -0.767 0.930  -0.707 0.894  -0.646 0.858  -0.586 0.822  -0.526 0.786  -0.466 0.750  -0.412 0.707  -0.370 0.651  -0.328 0.595  -0.286 0.539  -0.244 0.483  -0.202 0.427  -0.160 0.370  -0.118 0.314  -0.076 0.258  -0.034 0.202  0.008 0.146  0.048 0.088  0.084 0.028  0.120 -0.032  0.156 -0.092  0.192 -0.152  0.228 -0.213  0.264 -0.273  0.300 -0.333  0.336 -0.393  0.372 -0.453  0.409 -0.513  0.445 -0.573  0.481 -0.633  0.517 -0.693  0.553 -0.754  0.589 -0.814  0.625 -0.874  0.661 -0.934  0.697 -0.994  0.733 -1.054  0.769 -1.114  0.805 -1.174  0.841 -1.235  0.877 -1.295  0.914 -1.355  0.950 -1.415
2#ibm#ibm0#r0414/k  -0.215 1.671  -0.193 1.605  -0.171 1.539  -0.150 1.473  -0.128 1.407  -0.106 1.340  -0.084 1.274  -0.062 1.208  -0.040 1.142  -0.018 1.076  0.004 1.010  0.026 0.943  0.042 0.876  0.042 0.807  0.042 0.737  0.042 0.667  0.042 0.597  0.042 0.528  0.042 0.458  0.042 0.388  0.042 0.318  0.042 0.249  0.042 0.179  0.042 0.109  0.042 0.040  0.042 -0.030  0.042 -0.100  0.042 -0.170  0.042 -0.239  0.042 -0.309  0.042 -0.379  0.042 -0.448  0.042 -0.518  0.042 -0.588  0.042 -0.658  0.042 -0.727  0.042 -0.797  0.042 -0.867  0.042 -0.937  0.042 -1.006  0.034 -1.076  0.025 -1.145  0.016 -1.214  0.008 -1.283  -0.001 -1.352  -0.009 -1.421  -0.018 -1.491  -0.027 -1.560  -0.035 -1.629  -0.044 -1.698
1c#tos#f2#f2049060/k  0.135 1.898  0.032 1.777  -0.079 1.617  -0.161 1.408  -0.174 1.187  -0.277 1.026  -0.342 0.821  -0.466 0.634  -0.587 0.446  -0.605 0.229  -0.764 0.070  -0.829 -0.139  -0.932 -0.333  -1.050 -0.524  -1.103 -0.736  -1.103 -0.960  -1.155 -1.134  -0.981 -1.026  -0.797 -0.897  -0.612 -0.769  -0.428 -0.641  -0.243 -0.513  -0.059 -0.384  0.126 -0.256  0.310 -0.128  0.495 0.001  0.679 0.129  0.863 0.257  1.048 0.386  1.206 0.495  1.027 0.360  0.805 0.350  0.602 0.298  0.420 0.195  0.200 0.176  -0.014 0.119  -0.226 0.082  -0.408 0.040  -0.489 -0.011  -0.329 -0.106  -0.165 -0.166  0.022 -0.259  0.239 -0.273  0.342 -0.424  0.516 -0.547  0.703 -0.603  0.836 -0.712  1.040 -0.785  1.253 -0.837  1.477 -0.837
1c#apa#apa03#app0344/k  -0.655 1.697  -0.480 1.638  -0.480 1.405  -0.480 1.172  -0.480 0.939  -0.480 0.706  -0.480 0.473  -0.316 0.307  -0.305 0.079  -0.305 -0.154  -0.305 -0.387  -0.305 -0.621  -0.376 -0.824  -0.480 -1.014  -0.582 -1.205  -0.655 -1.408  -0.558 -1.293  -0.438 -1.093  -0.318 -0.893  -0.198 -0.693  -0.079 -0.493  0.041 -0.293  0.161 -0.093  0.281 0.107  0.401 0.307  0.521 0.507  0.641 0.707  0.761 0.907  0.881 1.107  0.809 1.060  0.602 0.997  0.390 0.907  0.177 0.822  -0.026 0.750  -0.217 0.647  -0.450 0.647  -0.480 0.444  -0.480 0.210  -0.378 0.019  -0.305 -0.183  -0.117 -0.229  0.045 -0.300  0.137 -0.495  0.220 -0.694  0.393 -0.754  0.602 -0.857  0.797 -0.980  0.979 -1.104  1.095 -1.220  1.270 -1.279
2#tos#f2#f2067064/k  -0.283 2.182  -0.428 2.198  -0.428 1.973  -0.428 1.748  -0.428 1.523  -0.428 1.298  -0.428 1.073  -0.428 0.848  -0.428 0.623  -0.428 0.398  -0.476 0.181  -0.476 -0.044  -0.476 -0.269  -0.476 -0.494  -0.476 -0.719  -0.476 -0.944  -0.465 -1.166  -0.428 -1.290  -0.335 -1.092  -0.214 -0.902  -0.094 -0.712  0.026 -0.522  0.146 -0.332  0.266 -0.141  0.386 0.049  0.506 0.239  0.626 0.429  0.696 0.591  0.586 0.545  0.413 0.420  0.297 0.278  0.104 0.175  0.006 0.002  -0.155 -0.100  -0.334 -0.233  -0.488 -0.348  -0.620 -0.469  -0.415 -0.378  -0.210 -0.286  -0.004 -0.195  0.201 -0.104  0.151 -0.162  0.325 -0.258  0.423 -0.436  0.582 -0.562  0.728 -0.709  0.856 -0.806  1.004 -0.943  1.114 -1.063  1.307 -1.095
1c#tos#f2#f2017063/k  0.169 2.112  -0.043 2.112  -0.170 2.026  -0.201 1.818  -0.226 1.609  -0.226 1.397  -0.226 1.185  -0.229 0.973  -0.280 0.768  -0.282 0.556  -0.282 0.344  -0.282 0.132  -0.317 -0.066  -0.395 -0.246  -0.395 -0.458  -0.436 -0.657  -0.567 -0.823  -0.621 -1.013  -0.679 -1.189  -0.671 -1.201  -0.531 -1.042  -0.391 -0.882  -0.251 -0.723  -0.111 -0.564  0.029 -0.404  0.169 -0.245  0.309 -0.086  0.449 0.073  0.589 0.233  0.729 0.392  0.869 0.551  0.741 0.589  0.628 0.428  0.510 0.256  0.361 0.105  0.182 0.025  0.049 -0.102  -0.103 -0.201  -0.301 -0.257  -0.433 -0.369  -0.564 -0.465  -0.370 -0.483  -0.178 -0.531  0.007 -0.599  0.206 -0.652  0.372 -0.765  0.577 -0.807  0.773 -0.877  0.916 -0.990  1.128 -0.990
1c#apb#apb35#app3562/k  -0.141 1.458  -0.160 1.274  -0.196 1.056  -0.241 0.840  -0.293 0.626  -0.345 0.411  -0.399 0.197  -0.452 -0.018  -0.515 -0.229  -0.580 -0.440  -0.642 -0.652  -0.703 -0.864  -0.754 -1.079  -0.782 -1.298  -0.704 -1.307  -0.585 -1.121  -0.466 -0.935  -0.347 -0.749  -0.228 -0.563  -0.109 -0.377  0.010 -0.191  0.129 -0.005  0.248 0.181  0.367 0.367  0.486 0.553  0.605 0.739  0.724 0.925  0.843 1.111  0.962 1.297  1.074 1.449  0.911 1.301  0.746 1.154  0.595 0.993  0.439 0.836  0.279 0.685  0.125 0.527  -0.022 0.362  -0.176 0.204  -0.337 0.053  -0.449 -0.134  -0.524 -0.339  -0.533 -0.556  -0.435 -0.749  -0.272 -0.895  -0.067 -0.977  0.148 -1.026  0.365 -1.061  0.586 -1.061  0.800 -1.018  1.012 -0.954
1c#apb#apb38#app3856/k  -0.402 -0.125  -0.316 0.061  -0.231 0.247  -0.194 0.447  -0.165 0.650  -0.121 0.849  -0.087 1.051  -0.069 1.254  -0.114 1.454  -0.128 1.657  -0.232 1.678  -0.356 1.516  -0.473 1.348  -0.557 1.164  -0.614 0.968  -0.672 0.771  -0.711 0.571  -0.749 0.369  -0.761 0.167  -0.749 -0.038  -0.737 -0.242  -0.713 -0.445  -0.690 -0.648  -0.639 -0.844  -0.552 -1.029  -0.466 -1.215  -0.310 -1.094  -0.152 -0.963  0.005 -0.833  0.163 -0.702  0.321 -0.572  0.478 -0.441  0.636 -0.311  0.794 -0.181  0.951 -0.050  1.109 0.080  1.267 0.211  1.173 0.150  1.005 0.033  0.808 -0.020  0.660 -0.149  0.530 -0.307  0.355 -0.368  0.150 -0.368  0.047 -0.542  0.043 -0.742  0.140 -0.910  0.285 -1.055  0.439 -1.189  0.602 -1.312
1c#apb#apb27#app2729/k  -0.378 1.475  -0.313 1.658  -0.225 1.718  -0.244 1.511  -0.310 1.298  -0.375 1.085  -0.438 0.872  -0.502 0.659  -0.572 0.448  -0.642 0.237  -0.713 0.026  -0.783 -0.185  -0.853 -0.396  -0.921 -0.607  -0.982 -0.821  -1.032 -1.038  -1.057 -1.258  -0.885 -1.147  -0.780 -0.958  -0.607 -0.829  -0.416 -0.714  -0.226 -0.599  -0.035 -0.485  0.155 -0.370  0.345 -0.255  0.536 -0.140  0.726 -0.026  0.917 0.089  1.107 0.204  1.298 0.319  1.345 0.469  1.167 0.473  0.964 0.383  0.750 0.320  0.538 0.254  0.332 0.172  0.121 0.102  -0.097 0.059  -0.314 0.013  -0.534 -0.013  -0.368 0.060  -0.159 0.101  0.044 0.011  0.240 -0.096  0.409 -0.235  0.554 -0.404  0.677 -0.588  0.760 -0.794  0.823 -1.002  0.953 -1.057
2#app#app32#app3220/k  -0.934 1.394  -0.934 1.162  -0.934 0.931  -0.841 0.739  -0.841 0.507  -0.812 0.281  -0.747 0.060  -0.747 -0.171  -0.654 -0.380  -0.654 -0.612  -0.572 -0.824  -0.561 -1.052  -0.561 -1.283  -0.418 -1.455  -0.374 -1.330  -0.276 -1.192  -0.234 -0.965  -0.192 -0.737  -0.150 -0.510  -0.107 -0.283  -0.065 -0.055  -0.023 0.172  0.019 0.400  0.061 0.627  0.103 0.854  0.145 1.082  0.192 1.307  0.372 1.379  0.279 1.186  0.233 0.974  0.112 0.780  0.050 0.563  -0.083 0.378  -0.107 0.154  -0.188 -0.058  -0.256 -0.261  -0.188 -0.370  -0.056 -0.248  0.092 -0.133  0.259 -0.026  0.389 0.087  0.582 0.181  0.813 0.181  1.011 0.101  1.175 -0.062  1.212 -0.278  1.305 -0.471  1.305 -0.702  1.399 -0.895  1.399 -1.126
2#apa#apa04#app0425/k  -0.199 1.733  -0.199 1.659  -0.337 1.733  -0.342 1.527  -0.435 1.354  -0.485 1.163  -0.485 0.952  -0.485 0.740  -0.549 0.540  -0.616 0.339  -0.627 0.130  -0.627 -0.082  -0.627 -0.293  -0.696 -0.476  -0.770 -0.657  -0.913 -0.725  -0.913 -0.937  -0.885 -1.121  -0.674 -1.121  -0.516 -1.000  -0.372 -0.844  -0.229 -0.689  -0.086 -0.534  0.058 -0.379  0.201 -0.223  0.344 -0.068  0.488 0.087  0.631 0.242  0.774 0.398  0.918 0.553  1.061 0.708  0.942 0.700  0.840 0.591  0.637 0.571  0.487 0.422  0.324 0.306  0.147 0.224  -0.040 0.163  -0.108 0.021  -0.199 -0.100  -0.199 -0.311  -0.118 -0.489  0.068 -0.550  0.137 -0.693  0.313 -0.777  0.500 -0.835  0.696 -0.874  0.864 -0.978  1.075 -0.978  1.227 -1.121
