3#apa#apa02#app0209/b  -1.066 1.749  -1.039 1.586  -0.851 1.586  -0.740 1.507  -0.740 1.318  -0.740 1.129  -0.740 0.940  -0.725 0.757  -0.592 0.624  -0.578 0.441  -0.555 0.261  -0.421 0.128  -0.415 -0.059  -0.415 -0.248  -0.415 -0.437  -0.347 -0.598  -0.252 -0.747  -0.252 -0.936  -0.252 -0.911  -0.252 -0.722  -0.252 -0.533  -0.252 -0.344  -0.217 -0.169  -0.089 -0.033  -0.089 0.156  -0.029 0.284  0.073 0.371  0.187 0.447  0.376 0.447  0.402 0.609  0.591 0.609  0.764 0.570  0.887 0.432  0.928 0.284  1.050 0.217  1.050 0.028  1.050 -0.161  1.050 -0.350  1.050 -0.539  1.025 -0.717  0.891 -0.851  0.710 -0.870  0.576 -1.003  0.394 -1.018  0.205 -1.018  0.016 -1.018  -0.089 -0.934  -0.200 -0.855  -0.252 -0.719  -0.415 -0.692
3#apa#apa02#app0209/i  0.158 -0.559  0.158 -0.655  0.158 -0.751  0.158 -0.847  0.168 -0.934  0.264 -0.934  0.345 -0.949  0.345 -1.045  0.365 -1.121  0.462 -1.121  0.533 -1.146  0.533 -1.242  0.521 -1.280  0.486 -1.191  0.450 -1.102  0.414 -1.012  0.379 -0.923  0.343 -0.834  0.307 -0.745  0.272 -0.655  0.236 -0.566  0.200 -0.477  0.164 -0.388  0.129 -0.298  0.093 -0.209  0.057 -0.120  0.022 -0.031  -0.014 0.059  -0.050 0.148  -0.086 0.237  -0.121 0.326  -0.157 0.416  -0.193 0.505  -0.228 0.594  -0.264 0.684  -0.300 0.773  -0.335 0.862  -0.371 0.951  -0.407 1.041  -0.443 1.130  -0.478 1.219  -0.514 1.308  -0.550 1.398  -0.585 1.487  -0.591 1.420  -0.591 1.324  -0.505 1.314  -0.409 1.314  -0.313 1.314  -0.216 1.314
3#apa#apa02#app0209/n  -1.153 0.375  -1.057 0.279  -0.972 0.178  -0.972 0.042  -0.972 -0.094  -0.928 -0.211  -0.832 -0.307  -0.792 -0.426  -0.792 -0.562  -0.792 -0.698  -0.666 -0.707  -0.670 -0.649  -0.766 -0.553  -0.792 -0.428  -0.792 -0.293  -0.783 -0.166  -0.647 -0.166  -0.612 -0.065  -0.612 0.070  -0.612 0.206  -0.612 0.342  -0.612 0.478  -0.553 0.555  -0.431 0.569  -0.431 0.705  -0.326 0.735  -0.191 0.735  -0.055 0.735  0.081 0.735  0.217 0.735  0.353 0.735  0.488 0.735  0.624 0.735  0.728 0.658  0.824 0.562  0.920 0.466  1.011 0.368  1.011 0.232  1.011 0.096  1.011 -0.040  1.017 -0.173  1.113 -0.269  1.191 -0.372  1.191 -0.508  1.191 -0.644  1.140 -0.758  1.044 -0.854  1.011 -0.977  1.055 -1.068  1.191 -1.068
3#apa#apa02#app0209/d  0.231 -0.423  0.046 -0.423  -0.128 -0.449  -0.278 -0.534  -0.463 -0.534  -0.546 -0.636  -0.657 -0.775  -0.564 -0.867  -0.490 -0.978  -0.416 -1.089  -0.259 -1.155  -0.128 -1.285  0.046 -1.311  0.231 -1.311  0.212 -1.127  0.193 -0.943  0.174 -0.759  0.155 -0.575  0.136 -0.391  0.117 -0.207  0.098 -0.023  0.079 0.160  0.060 0.344  0.041 0.528  0.022 0.712  0.003 0.896  -0.016 1.080  -0.035 1.264  -0.054 1.448  -0.073 1.632  -0.093 1.816  -0.009 1.907  0.009 1.740  0.022 1.561  0.120 1.416  0.120 1.231  0.120 1.046  0.120 0.862  0.120 0.677  0.120 0.492  0.120 0.307  0.120 0.122  0.120 -0.063  0.120 -0.248  0.120 -0.433  0.120 -0.618  0.120 -0.802  0.205 -0.952  0.231 -1.126  0.342 -1.200
3#apa#apa02#app0209/g  -0.087 0.337  0.077 0.337  0.147 0.430  0.264 0.477  0.264 0.640  0.264 0.804  0.150 0.921  0.104 1.040  0.030 1.130  -0.067 1.254  -0.222 1.275  -0.367 1.229  -0.483 1.113  -0.556 0.980  -0.663 0.923  -0.673 0.770  -0.673 0.606  -0.673 0.442  -0.615 0.337  -0.556 0.231  -0.404 0.219  -0.240 0.219  -0.077 0.219  0.030 0.277  0.134 0.337  0.147 0.487  0.147 0.651  0.264 0.679  0.264 0.515  0.337 0.381  0.382 0.236  0.382 0.072  0.382 -0.092  0.388 -0.250  0.499 -0.302  0.499 -0.466  0.499 -0.630  0.499 -0.794  0.499 -0.958  0.499 -1.121  0.499 -1.285  0.472 -1.422  0.329 -1.474  0.192 -1.539  0.029 -1.539  -0.135 -1.539  -0.299 -1.539  -0.463 -1.539  -0.627 -1.539  -0.791 -1.539
3#apa#apa02#app0209/o  -0.382 0.920  -0.524 0.920  -0.578 0.833  -0.610 0.724  -0.752 0.724  -0.775 0.605  -0.820 0.482  -0.920 0.382  -0.971 0.262  -0.971 0.120  -0.971 -0.021  -0.971 -0.163  -0.971 -0.304  -0.971 -0.446  -0.877 -0.548  -0.777 -0.648  -0.677 -0.748  -0.577 -0.847  -0.435 -0.847  -0.320 -0.910  -0.220 -1.010  -0.092 -1.044  0.049 -1.044  0.191 -1.044  0.296 -0.955  0.396 -0.855  0.534 -0.847  0.653 -0.793  0.753 -0.693  0.877 -0.651  0.992 -0.624  0.992 -0.483  0.992 -0.341  0.992 -0.200  0.992 -0.058  0.992 0.083  0.992 0.225  0.967 0.356  0.867 0.456  0.767 0.556  0.667 0.656  0.554 0.724  0.412 0.724  0.403 0.856  0.325 0.920  0.184 0.920  0.042 0.920  -0.099 0.920  -0.241 0.920  -0.382 0.920
3#apa#apa02#app0209/t  -0.064 2.026  -0.064 1.843  -0.064 1.660  -0.020 1.521  0.105 1.463  0.105 1.280  0.105 1.097  0.105 0.914  0.105 0.731  0.105 0.548  0.208 0.408  0.273 0.252  0.273 0.069  0.273 -0.114  0.273 -0.296  0.379 -0.435  0.441 -0.593  0.490 -0.764  0.572 -0.927  0.609 -1.102  0.609 -1.284  0.609 -1.467  0.508 -1.405  0.379 -1.276  0.249 -1.147  0.120 -1.017  -0.009 -0.888  -0.139 -0.759  -0.268 -0.629  -0.397 -0.500  -0.527 -0.371  -0.656 -0.241  -0.785 -0.112  -0.915 0.017  -1.044 0.147  -1.173 0.276  -1.154 0.344  -1.001 0.272  -0.858 0.176  -0.682 0.148  -0.518 0.066  -0.349 0.007  -0.166 0.007  0.017 0.007  0.200 0.007  0.382 0.007  0.565 0.007  0.748 0.007  0.931 0.007  1.114 0.007
3#apa#apa02#app0209/d  0.211 0.062  0.062 -0.055  -0.135 -0.055  -0.310 -0.109  -0.449 -0.248  -0.588 -0.388  -0.728 -0.527  -0.838 -0.678  -0.833 -0.870  -0.722 -0.956  -0.561 -1.009  -0.385 -1.097  -0.208 -1.151  -0.040 -1.220  0.157 -1.220  0.312 -1.119  0.435 -1.045  0.405 -0.851  0.375 -0.656  0.345 -0.461  0.315 -0.266  0.285 -0.071  0.255 0.123  0.225 0.318  0.195 0.513  0.165 0.708  0.135 0.903  0.105 1.097  0.075 1.292  0.045 1.487  0.015 1.682  -0.015 1.877  -0.022 1.781  0.088 1.694  0.094 1.503  0.094 1.306  0.094 1.109  0.094 0.912  0.094 0.715  0.094 0.518  0.094 0.321  0.094 0.123  0.094 -0.074  0.094 -0.271  0.094 -0.468  0.094 -0.665  0.094 -0.862  0.094 -1.059  0.094 -1.256  0.211 -1.337
3#apa#apa02#app0209/o  -0.155 0.751  -0.303 0.751  -0.429 0.697  -0.534 0.592  -0.657 0.531  -0.806 0.531  -0.814 0.392  -0.883 0.312  -1.031 0.312  -1.034 0.167  -1.034 0.018  -1.034 -0.130  -1.034 -0.279  -0.978 -0.404  -0.873 -0.509  -0.768 -0.614  -0.664 -0.718  -0.544 -0.787  -0.395 -0.787  -0.375 -0.915  -0.319 -1.007  -0.170 -1.007  -0.022 -1.007  0.127 -1.007  0.275 -1.007  0.423 -1.007  0.572 -1.007  0.720 -1.007  0.724 -0.863  0.724 -0.715  0.724 -0.567  0.724 -0.418  0.780 -0.293  0.884 -0.188  0.944 -0.064  0.944 0.084  0.944 0.233  0.944 0.381  0.944 0.529  0.841 0.635  0.736 0.740  0.724 0.883  0.664 0.971  0.515 0.971  0.367 0.971  0.219 0.971  0.070 0.971  -0.078 0.971  -0.226 0.971  -0.375 0.971
3#apa#apa02#app0209/w  -1.435 0.764  -1.435 0.594  -1.435 0.423  -1.435 0.252  -1.435 0.081  -1.394 -0.073  -1.273 -0.193  -1.236 -0.349  -1.172 -0.493  -1.052 -0.614  -0.887 -0.628  -0.716 -0.628  -0.545 -0.628  -0.394 -0.581  -0.273 -0.461  -0.242 -0.303  -0.143 -0.230  -0.043 -0.160  -0.043 0.011  -0.033 0.177  0.088 0.298  0.156 0.441  0.156 0.612  0.138 0.764  -0.033 0.764  -0.043 0.604  -0.043 0.433  -0.043 0.262  -0.043 0.091  -0.043 -0.080  -0.043 -0.250  -0.043 -0.421  0.120 -0.429  0.252 -0.525  0.379 -0.628  0.550 -0.628  0.721 -0.628  0.892 -0.628  0.952 -0.518  1.035 -0.429  1.151 -0.375  1.151 -0.204  1.151 -0.033  1.151 0.137  1.151 0.308  1.151 0.479  1.151 0.650  1.151 0.821  1.151 0.992  1.151 1.162
3#apa#apa02#app0209/n  -0.902 0.173  -0.902 0.040  -0.902 -0.093  -0.902 -0.226  -0.902 -0.359  -0.902 -0.491  -0.902 -0.624  -0.902 -0.757  -0.902 -0.890  -0.871 -0.992  -0.738 -0.992  -0.736 -0.861  -0.736 -0.728  -0.691 -0.614  -0.597 -0.520  -0.570 -0.398  -0.570 -0.266  -0.570 -0.133  -0.570 0.000  -0.513 0.120  -0.454 0.238  -0.403 0.359  -0.403 0.492  -0.403 0.625  -0.342 0.733  -0.249 0.827  -0.237 0.955  -0.154 1.004  -0.021 1.004  0.107 0.993  0.201 0.899  0.295 0.805  0.389 0.711  0.505 0.672  0.595 0.628  0.602 0.498  0.696 0.404  0.802 0.339  0.927 0.332  0.927 0.199  0.927 0.066  0.979 -0.045  1.073 -0.139  1.167 -0.233  1.260 -0.327  1.260 -0.460  1.260 -0.593  1.260 -0.726  1.293 -0.825  1.426 -0.825
