2#tos#t3#t3036066/\"  -0.509 1.011  -0.659 1.011  -0.809 1.011  -0.872 0.924  -0.872 0.774  -0.872 0.624  -0.872 0.474  -0.872 0.325  -0.872 0.175  -0.872 0.025  -0.872 -0.125  -0.872 -0.275  -0.872 -0.425  -0.872 -0.575  -0.872 -0.725  -0.872 -0.875  -0.848 -0.958  -0.754 -0.842  -0.659 -0.726  -0.564 -0.610  -0.469 -0.494  -0.374 -0.378  -0.279 -0.262  -0.184 -0.146  -0.089 -0.030  0.006 0.086  0.101 0.203  0.196 0.319  0.291 0.435  0.386 0.551  0.481 0.667  0.576 0.783  0.671 0.899  0.762 1.006  0.762 0.856  0.762 0.706  0.762 0.556  0.762 0.406  0.775 0.259  0.842 0.125  0.909 -0.009  0.944 -0.151  0.944 -0.301  0.944 -0.451  0.944 -0.601  0.944 -0.751  0.944 -0.900  0.944 -1.050  0.944 -1.200  0.944 -1.350
2#tos#t3#t3036066/L  -0.262 1.766  -0.338 1.735  -0.380 1.649  -0.382 1.554  -0.382 1.458  -0.382 1.363  -0.382 1.267  -0.382 1.171  -0.354 1.080  -0.324 0.990  -0.322 0.894  -0.322 0.799  -0.322 0.703  -0.322 0.607  -0.322 0.512  -0.322 0.416  -0.322 0.321  -0.322 0.225  -0.322 0.129  -0.322 0.034  -0.322 -0.062  -0.322 -0.158  -0.364 -0.243  -0.382 -0.335  -0.422 -0.421  -0.442 -0.512  -0.442 -0.607  -0.442 -0.703  -0.404 -0.761  -0.309 -0.761  -0.213 -0.761  -0.141 -0.737  -0.141 -0.642  -0.047 -0.641  0.049 -0.641  0.145 -0.641  0.240 -0.641  0.336 -0.641  0.432 -0.641  0.527 -0.641  0.623 -0.641  0.658 -0.701  0.754 -0.701  0.789 -0.761  0.885 -0.761  0.981 -0.761  1.076 -0.761  1.172 -0.761  1.207 -0.821  1.303 -0.821
2#tos#t3#t3036066/M  -0.656 1.147  -0.856 1.002  -0.876 0.761  -0.876 0.511  -0.821 0.316  -0.821 0.066  -0.821 -0.184  -0.821 -0.434  -0.821 -0.683  -0.821 -0.933  -0.812 -1.027  -0.783 -0.779  -0.755 -0.531  -0.727 -0.283  -0.698 -0.034  -0.670 0.214  -0.642 0.462  -0.613 0.710  -0.743 0.817  -0.656 0.700  -0.563 0.543  -0.491 0.323  -0.343 0.192  -0.293 -0.040  -0.217 -0.226  -0.162 -0.421  -0.052 -0.561  0.003 -0.756  0.014 -0.885  0.113 -0.812  0.203 -0.611  0.223 -0.381  0.278 -0.154  0.380 -0.006  0.408 0.224  0.538 0.378  0.655 0.543  0.772 0.675  0.880 0.817  0.992 0.955  1.102 0.869  1.156 0.674  1.156 0.424  1.156 0.174  1.156 -0.075  1.211 -0.270  1.211 -0.520  1.211 -0.770  1.266 -0.965  1.321 -1.160
2#tos#t3#t3036066/N  -0.587 1.209  -0.773 1.177  -0.773 0.958  -0.773 0.740  -0.773 0.521  -0.728 0.313  -0.711 0.099  -0.711 -0.120  -0.649 -0.324  -0.649 -0.542  -0.649 -0.761  -0.649 -0.980  -0.634 -0.849  -0.614 -0.632  -0.594 -0.414  -0.574 -0.196  -0.554 0.022  -0.535 0.239  -0.515 0.457  -0.495 0.675  -0.475 0.892  -0.550 1.023  -0.592 0.961  -0.469 0.786  -0.381 0.651  -0.237 0.510  -0.215 0.296  -0.117 0.119  -0.029 -0.064  0.095 -0.195  0.223 -0.288  0.281 -0.493  0.432 -0.581  0.467 -0.792  0.591 -0.933  0.658 -1.085  0.803 -1.174  0.901 -1.315  0.963 -1.195  0.963 -0.976  0.963 -0.758  0.963 -0.539  0.963 -0.321  0.963 -0.102  0.963 0.117  0.963 0.335  0.963 0.554  0.963 0.772  0.963 0.991  0.963 1.209
2#tos#t3#t3036066/R  -0.368 1.522  -0.559 1.384  -0.593 1.240  -0.593 0.975  -0.537 0.767  -0.537 0.502  -0.537 0.238  -0.537 -0.027  -0.537 -0.292  -0.480 -0.543  -0.480 -0.808  -0.424 -1.017  -0.423 -1.188  -0.417 -0.924  -0.410 -0.659  -0.404 -0.394  -0.398 -0.130  -0.391 0.135  -0.385 0.400  -0.379 0.664  -0.372 0.929  -0.429 1.121  -0.522 1.016  -0.313 1.072  -0.049 1.072  0.193 1.128  0.434 1.072  0.645 0.952  0.735 0.757  0.870 0.615  0.870 0.350  0.870 0.085  0.701 -0.077  0.533 -0.216  0.298 -0.278  0.033 -0.278  -0.119 -0.391  -0.323 -0.459  -0.424 -0.471  -0.296 -0.341  -0.032 -0.363  0.232 -0.385  0.195 -0.533  0.324 -0.745  0.549 -0.841  0.695 -0.997  0.826 -1.190  0.960 -1.347  1.039 -1.533  1.264 -1.572
2#tos#t3#t3036066/U  -0.795 1.177  -0.795 1.052  -0.795 0.927  -0.795 0.801  -0.795 0.676  -0.795 0.550  -0.795 0.425  -0.795 0.300  -0.795 0.174  -0.795 0.049  -0.795 -0.076  -0.795 -0.202  -0.795 -0.327  -0.795 -0.452  -0.795 -0.578  -0.750 -0.684  -0.670 -0.730  -0.613 -0.799  -0.523 -0.833  -0.476 -0.912  -0.351 -0.912  -0.225 -0.912  -0.114 -0.926  -0.023 -0.954  0.060 -0.912  0.185 -0.912  0.250 -0.851  0.340 -0.816  0.380 -0.730  0.431 -0.656  0.494 -0.594  0.567 -0.542  0.567 -0.417  0.613 -0.337  0.659 -0.231  0.704 -0.150  0.704 -0.025  0.704 0.101  0.704 0.226  0.704 0.351  0.704 0.477  0.749 0.557  0.784 0.667  0.794 0.788  0.794 0.914  0.794 1.039  0.794 1.165  0.749 1.244  0.738 1.359  0.704 1.450
2#tos#t3#t3036066/V  -0.828 1.245  -0.943 1.186  -0.932 1.055  -0.887 0.934  -0.828 0.854  -0.826 0.716  -0.711 0.658  -0.711 0.519  -0.680 0.392  -0.652 0.265  -0.652 0.126  -0.593 0.045  -0.593 -0.094  -0.527 -0.172  -0.476 -0.290  -0.417 -0.404  -0.417 -0.544  -0.337 -0.619  -0.299 -0.750  -0.286 -0.883  -0.241 -1.004  -0.202 -1.104  -0.180 -1.222  -0.065 -1.245  -0.019 -1.339  0.056 -1.272  0.100 -1.140  0.154 -1.045  0.170 -0.922  0.229 -0.807  0.229 -0.668  0.323 -0.587  0.405 -0.521  0.405 -0.382  0.405 -0.243  0.405 -0.103  0.430 0.011  0.523 0.058  0.523 0.197  0.581 0.312  0.601 0.443  0.666 0.540  0.699 0.647  0.803 0.716  0.816 0.842  0.816 0.981  0.927 1.010  0.992 1.083  0.992 1.223  1.051 1.303
2#tos#t3#t3036066/d  0.052 -0.320  -0.018 -0.182  -0.158 -0.114  -0.228 0.024  -0.429 0.031  -0.608 -0.039  -0.746 -0.109  -0.881 -0.191  -0.999 -0.326  -0.999 -0.534  -0.999 -0.742  -0.999 -0.950  -0.999 -1.158  -0.794 -1.161  -0.789 -0.958  -0.588 -0.951  -0.438 -0.893  -0.329 -0.740  -0.173 -0.615  -0.054 -0.445  0.083 -0.289  0.131 -0.101  0.263 0.052  0.263 0.260  0.279 0.457  0.473 0.525  0.473 0.733  0.473 0.941  0.570 1.109  0.613 1.299  0.716 1.429  0.753 1.628  0.823 1.660  0.753 1.481  0.713 1.283  0.582 1.159  0.434 1.028  0.403 0.839  0.308 0.660  0.263 0.466  0.193 0.274  0.193 0.066  0.193 -0.142  0.193 -0.350  0.149 -0.548  0.122 -0.749  0.122 -0.957  0.122 -1.165  0.193 -1.303  0.333 -1.371
2#tos#t3#t3036066/e  -0.540 0.322  -0.634 0.250  -0.634 0.084  -0.512 0.040  -0.346 0.040  -0.181 0.040  -0.015 0.040  0.151 0.040  0.316 0.040  0.482 0.040  0.629 0.084  0.774 0.134  0.867 0.207  0.961 0.279  0.961 0.445  0.961 0.610  0.961 0.776  0.961 0.941  0.869 1.069  0.705 1.072  0.539 1.072  0.373 1.072  0.208 1.072  0.042 1.072  -0.123 1.072  -0.190 0.961  -0.328 0.869  -0.470 0.790  -0.540 0.695  -0.573 0.537  -0.634 0.386  -0.634 0.220  -0.634 0.055  -0.691 -0.054  -0.727 -0.183  -0.727 -0.348  -0.727 -0.514  -0.699 -0.673  -0.634 -0.823  -0.593 -0.979  -0.498 -1.106  -0.349 -1.179  -0.184 -1.179  -0.165 -1.326  -0.040 -1.366  0.126 -1.366  0.291 -1.366  0.457 -1.366  0.616 -1.325  0.773 -1.273
2#tos#t3#t3036066/f  0.816 1.184  0.816 1.343  0.799 1.484  0.756 1.600  0.602 1.604  0.503 1.544  0.405 1.484  0.327 1.396  0.276 1.246  0.216 1.112  0.193 0.959  0.156 0.809  0.156 0.651  0.156 0.493  0.156 0.334  0.156 0.176  0.156 0.017  0.156 -0.141  0.156 -0.300  0.146 -0.456  0.096 -0.602  0.096 -0.761  0.093 -0.918  -0.019 -1.030  -0.072 -1.179  -0.192 -1.268  -0.289 -1.334  -0.423 -1.394  -0.517 -1.318  -0.546 -1.162  -0.574 -1.006  -0.602 -0.850  -0.631 -0.695  -0.659 -0.539  -0.688 -0.383  -0.716 -0.227  -0.747 -0.075  -0.863 -0.118  -0.842 -0.135  -0.684 -0.135  -0.526 -0.135  -0.367 -0.135  -0.209 -0.135  -0.050 -0.135  0.108 -0.135  0.267 -0.135  0.425 -0.135  0.559 -0.195  0.717 -0.195  0.756 -0.075
2#tos#t3#t3036066/h  -0.333 1.627  -0.486 1.627  -0.638 1.627  -0.654 1.519  -0.570 1.396  -0.522 1.251  -0.504 1.101  -0.504 0.949  -0.504 0.796  -0.504 0.643  -0.504 0.490  -0.504 0.337  -0.504 0.184  -0.504 0.032  -0.504 -0.121  -0.504 -0.274  -0.504 -0.427  -0.504 -0.580  -0.504 -0.733  -0.585 -0.852  -0.590 -1.003  -0.590 -1.071  -0.576 -0.922  -0.491 -0.795  -0.409 -0.666  -0.341 -0.530  -0.290 -0.386  -0.230 -0.257  -0.161 -0.173  -0.094 -0.036  0.025 0.050  0.170 0.085  0.181 0.227  0.304 0.257  0.371 0.342  0.524 0.342  0.677 0.342  0.780 0.293  0.780 0.140  0.866 0.073  0.866 -0.080  0.952 -0.147  0.952 -0.300  0.952 -0.453  0.952 -0.606  0.952 -0.759  0.952 -0.912  0.952 -1.064  0.952 -1.217  0.952 -1.370
2#tos#t3#t3036066/m  -1.110 0.518  -1.273 0.518  -1.427 0.518  -1.345 0.438  -1.271 0.348  -1.191 0.266  -1.191 0.103  -1.186 -0.059  -1.134 -0.214  -1.110 -0.373  -1.110 -0.536  -1.099 -0.687  -0.963 -0.620  -0.869 -0.496  -0.790 -0.366  -0.716 -0.249  -0.608 -0.144  -0.556 0.011  -0.468 0.139  -0.373 0.244  -0.301 0.363  -0.227 0.495  -0.086 0.518  0.014 0.456  0.117 0.335  0.175 0.197  0.175 0.034  0.175 -0.129  0.175 -0.292  0.175 -0.455  0.255 -0.515  0.347 -0.438  0.482 -0.348  0.577 -0.236  0.657 -0.153  0.695 -0.006  0.748 0.137  0.822 0.281  0.954 0.357  0.978 0.496  1.059 0.458  1.121 0.357  1.219 0.293  1.286 0.197  1.300 0.047  1.300 -0.116  1.380 -0.198  1.380 -0.361  1.380 -0.524  1.460 -0.607
2#tos#t3#t3036066/n  -0.456 1.415  -0.626 1.415  -0.647 1.267  -0.647 1.097  -0.647 0.927  -0.647 0.758  -0.647 0.588  -0.647 0.419  -0.647 0.249  -0.647 0.079  -0.647 -0.090  -0.647 -0.260  -0.647 -0.429  -0.694 -0.588  -0.743 -0.746  -0.743 -0.916  -0.743 -1.085  -0.743 -1.069  -0.650 -0.927  -0.556 -0.786  -0.552 -0.618  -0.552 -0.448  -0.534 -0.286  -0.456 -0.148  -0.362 -0.018  -0.266 0.112  -0.158 0.174  -0.075 0.260  -0.010 0.365  0.160 0.365  0.212 0.483  0.212 0.652  0.287 0.747  0.456 0.747  0.626 0.747  0.796 0.747  0.880 0.661  0.880 0.492  0.880 0.322  0.880 0.153  0.880 -0.017  0.880 -0.187  0.975 -0.261  0.975 -0.430  0.975 -0.600  0.975 -0.770  0.975 -0.939  0.975 -1.109  0.996 -1.257  1.166 -1.257
2#tos#t3#t3036066/r  -0.448 1.036  -0.525 0.974  -0.572 0.882  -0.602 0.773  -0.536 0.661  -0.525 0.527  -0.525 0.388  -0.525 0.249  -0.525 0.110  -0.525 -0.030  -0.525 -0.169  -0.525 -0.308  -0.525 -0.447  -0.525 -0.586  -0.525 -0.725  -0.525 -0.864  -0.525 -1.003  -0.525 -1.142  -0.523 -1.281  -0.448 -1.388  -0.448 -1.339  -0.448 -1.200  -0.448 -1.061  -0.448 -0.921  -0.371 -0.814  -0.326 -0.694  -0.294 -0.568  -0.294 -0.429  -0.249 -0.308  -0.201 -0.199  -0.062 -0.198  -0.062 -0.059  -0.062 0.080  0.047 0.110  0.101 0.201  0.178 0.317  0.258 0.430  0.370 0.496  0.449 0.593  0.478 0.725  0.615 0.727  0.754 0.727  0.893 0.727  1.032 0.727  1.171 0.727  1.310 0.727  1.449 0.727  1.588 0.727  1.712 0.712  1.789 0.650
2#tos#t3#t3036066/s  0.961 1.031  0.808 1.031  0.656 1.031  0.511 1.078  0.364 1.108  0.211 1.108  0.073 1.167  -0.076 1.185  -0.228 1.185  -0.349 1.154  -0.424 1.032  -0.555 0.979  -0.580 0.837  -0.580 0.685  -0.503 0.609  -0.423 0.492  -0.271 0.492  -0.118 0.492  -0.041 0.417  0.032 0.338  0.185 0.338  0.260 0.261  0.335 0.183  0.421 0.117  0.498 0.042  0.576 -0.034  0.576 -0.186  0.653 -0.261  0.653 -0.414  0.730 -0.489  0.784 -0.587  0.754 -0.664  0.730 -0.792  0.603 -0.818  0.532 -0.917  0.393 -0.972  0.241 -0.972  0.088 -0.972  -0.064 -0.972  -0.195 -0.994  -0.292 -1.049  -0.444 -1.049  -0.597 -1.049  -0.734 -1.034  -0.821 -0.963  -0.888 -0.838  -1.006 -0.759  -1.119 -0.661  -1.121 -0.510  -1.196 -0.433
2#tos#t3#t3036066/t  -0.742 0.517  -0.923 0.505  -1.101 0.461  -1.148 0.315  -1.101 0.314  -0.918 0.314  -0.736 0.314  -0.553 0.314  -0.370 0.314  -0.187 0.314  -0.004 0.314  0.178 0.314  0.361 0.314  0.544 0.314  0.727 0.314  0.881 0.343  0.754 0.430  0.612 0.545  0.470 0.660  0.328 0.776  0.186 0.891  0.045 1.006  -0.097 1.121  -0.239 1.237  -0.398 1.196  -0.404 1.017  -0.404 0.834  -0.404 0.651  -0.404 0.468  -0.404 0.286  -0.404 0.103  -0.404 -0.080  -0.404 -0.263  -0.404 -0.446  -0.404 -0.628  -0.404 -0.811  -0.272 -0.900  -0.269 -1.081  -0.111 -1.106  0.071 -1.108  0.159 -1.241  0.342 -1.241  0.525 -1.241  0.708 -1.241  0.813 -1.125  0.978 -1.106  1.118 -1.004  1.219 -0.863  1.239 -0.700  1.354 -0.633
2#tos#t3#t3036066/u  -1.082 1.116  -1.082 0.955  -1.135 0.848  -1.171 0.724  -1.154 0.580  -1.082 0.492  -1.082 0.332  -1.082 0.171  -1.082 0.011  -1.082 -0.150  -1.082 -0.310  -1.082 -0.470  -1.082 -0.631  -0.995 -0.755  -0.843 -0.788  -0.697 -0.847  -0.536 -0.847  -0.376 -0.847  -0.215 -0.847  -0.055 -0.847  0.077 -0.819  0.077 -0.658  0.077 -0.498  0.222 -0.442  0.367 -0.379  0.434 -0.246  0.455 -0.091  0.529 0.051  0.612 0.177  0.612 0.337  0.619 0.491  0.702 0.569  0.761 0.670  0.791 0.800  0.880 0.871  0.880 1.021  0.880 0.861  0.791 0.789  0.791 0.629  0.771 0.481  0.627 0.409  0.612 0.258  0.612 0.098  0.612 -0.063  0.613 -0.222  0.702 -0.294  0.702 -0.455  0.702 -0.615  0.702 -0.775  0.791 -0.847
2#tos#t3#t3036066/y  -0.856 0.996  -1.011 0.989  -0.997 0.835  -0.856 0.759  -0.793 0.623  -0.686 0.502  -0.624 0.354  -0.594 0.222  -0.469 0.184  -0.382 0.058  -0.314 -0.076  -0.236 -0.207  -0.159 -0.292  -0.045 -0.277  0.059 -0.153  0.163 -0.028  0.267 0.097  0.371 0.222  0.475 0.347  0.579 0.471  0.683 0.596  0.787 0.721  0.891 0.846  0.995 0.971  1.052 1.074  0.926 1.038  0.805 0.996  0.771 0.868  0.771 0.705  0.711 0.579  0.616 0.476  0.490 0.391  0.461 0.247  0.399 0.099  0.383 -0.060  0.333 -0.191  0.196 -0.276  0.081 -0.391  -0.034 -0.506  -0.149 -0.621  -0.195 -0.774  -0.234 -0.932  -0.305 -1.052  -0.391 -1.161  -0.452 -1.291  -0.587 -1.381  -0.624 -1.524  -0.713 -1.650  -0.779 -1.785  -0.779 -1.638
