2#apb#apb14#app1458/H  -1.175 0.769  -1.132 1.019  -1.017 0.796  -0.955 0.547  -0.906 0.294  -0.857 0.041  -0.801 -0.210  -0.752 -0.463  -0.713 -0.716  -0.845 -0.926  -0.613 -0.833  -0.374 -0.736  -0.136 -0.639  0.102 -0.541  0.341 -0.444  0.579 -0.347  0.818 -0.249  1.056 -0.152  1.294 -0.055  1.533 0.042  1.731 0.139  1.475 0.129  1.221 0.090  0.967 0.049  0.711 0.023  0.455 -0.003  0.200 -0.040  -0.055 -0.077  -0.312 -0.088  -0.569 -0.097  -0.826 -0.108  -1.084 -0.120  -1.339 -0.152  -1.309 -0.128  -1.100 0.022  -0.891 0.172  -0.681 0.322  -0.472 0.472  -0.263 0.622  -0.054 0.772  0.154 0.923  0.329 0.924  0.458 0.701  0.568 0.469  0.676 0.235  0.782 0.001  0.875 -0.239  0.960 -0.482  0.992 -0.737  0.955 -0.989
2#apb#apb14#app1458/n  -1.103 -0.005  -1.075 -0.103  -1.048 -0.200  -1.029 -0.299  -1.029 -0.400  -1.029 -0.501  -1.029 -0.603  -1.014 -0.701  -1.011 -0.655  -1.011 -0.554  -1.011 -0.453  -0.980 -0.358  -0.941 -0.264  -0.895 -0.174  -0.840 -0.089  -0.786 -0.004  -0.728 0.079  -0.666 0.159  -0.604 0.239  -0.542 0.319  -0.477 0.396  -0.400 0.462  -0.323 0.528  -0.246 0.594  -0.156 0.639  -0.063 0.679  0.030 0.717  0.131 0.711  0.232 0.704  0.331 0.689  0.425 0.651  0.519 0.614  0.607 0.566  0.681 0.497  0.755 0.429  0.830 0.360  0.885 0.276  0.937 0.189  0.988 0.101  1.035 0.012  1.065 -0.084  1.095 -0.181  1.125 -0.278  1.149 -0.376  1.174 -0.474  1.198 -0.573  1.218 -0.672  1.227 -0.771  1.202 -0.869  1.196 -0.970
2#apb#apb14#app1458/i  -0.405 1.429  -0.366 1.488  -0.327 1.515  -0.287 1.456  -0.247 1.397  -0.207 1.339  -0.166 1.281  -0.125 1.223  -0.085 1.165  -0.044 1.107  -0.026 1.040  -0.018 0.970  -0.010 0.900  -0.002 0.829  0.006 0.759  0.013 0.688  0.021 0.618  0.029 0.547  0.037 0.477  0.045 0.406  0.053 0.336  0.060 0.265  0.068 0.195  0.076 0.125  0.084 0.054  0.092 -0.016  0.099 -0.087  0.105 -0.157  0.105 -0.228  0.105 -0.299  0.105 -0.370  0.105 -0.441  0.105 -0.512  0.105 -0.583  0.105 -0.654  0.102 -0.724  0.096 -0.795  0.091 -0.866  0.085 -0.936  0.080 -1.007  0.074 -1.078  0.068 -1.148  0.061 -1.219  0.054 -1.290  0.047 -1.360  0.040 -1.431  0.028 -1.500  0.011 -1.569  -0.015 -1.635  -0.031 -1.702
2#apb#apb14#app1458/a  -0.496 0.694  -0.546 0.793  -0.653 0.798  -0.753 0.753  -0.850 0.700  -0.928 0.622  -1.003 0.540  -1.075 0.457  -1.116 0.354  -1.153 0.249  -1.185 0.143  -1.168 0.037  -1.113 -0.057  -1.018 -0.099  -0.907 -0.106  -0.798 -0.101  -0.696 -0.056  -0.601 -0.000  -0.510 0.063  -0.444 0.149  -0.392 0.247  -0.336 0.342  -0.275 0.435  -0.210 0.525  -0.167 0.449  -0.135 0.343  -0.115 0.234  -0.097 0.124  -0.062 0.019  -0.027 -0.086  0.022 -0.186  0.079 -0.279  0.162 -0.352  0.250 -0.420  0.341 -0.483  0.442 -0.524  0.550 -0.550  0.660 -0.558  0.771 -0.558  0.882 -0.555  0.992 -0.547  1.102 -0.535  1.211 -0.513  1.320 -0.491  1.423 -0.452  1.526 -0.411  1.627 -0.365  1.725 -0.313  1.822 -0.260  1.922 -0.211
2#apb#apb14#app1458/C  0.788 0.602  0.805 0.704  0.847 0.796  0.934 0.835  0.902 0.916  0.822 0.978  0.722 1.005  0.622 1.027  0.521 1.005  0.420 0.982  0.319 0.960  0.219 0.933  0.120 0.903  0.021 0.873  -0.078 0.843  -0.168 0.794  -0.254 0.736  -0.340 0.679  -0.426 0.621  -0.502 0.552  -0.572 0.476  -0.643 0.400  -0.712 0.323  -0.764 0.234  -0.816 0.144  -0.847 0.048  -0.855 -0.055  -0.862 -0.158  -0.835 -0.258  -0.808 -0.358  -0.755 -0.446  -0.700 -0.534  -0.632 -0.610  -0.550 -0.672  -0.467 -0.734  -0.381 -0.792  -0.294 -0.848  -0.207 -0.904  -0.113 -0.941  -0.011 -0.959  0.091 -0.977  0.193 -0.993  0.297 -0.999  0.400 -1.006  0.503 -1.010  0.607 -1.010  0.710 -1.010  0.814 -1.010  0.916 -1.018  1.002 -1.068
2#apb#apb14#app1458/o  -1.565 -0.155  -1.490 -0.056  -1.415 0.044  -1.326 0.131  -1.235 0.216  -1.144 0.301  -1.052 0.386  -0.950 0.455  -0.839 0.510  -0.727 0.566  -0.616 0.622  -0.504 0.678  -0.387 0.718  -0.268 0.756  -0.149 0.793  -0.030 0.831  0.092 0.836  0.216 0.822  0.339 0.807  0.463 0.793  0.567 0.723  0.671 0.654  0.774 0.585  0.872 0.510  0.943 0.407  1.014 0.305  1.085 0.202  1.088 0.081  1.080 -0.043  1.072 -0.168  1.031 -0.283  0.976 -0.395  0.920 -0.506  0.834 -0.595  0.742 -0.679  0.650 -0.763  0.548 -0.832  0.432 -0.877  0.316 -0.921  0.196 -0.946  0.071 -0.946  -0.054 -0.946  -0.164 -0.896  -0.267 -0.827  -0.368 -0.754  -0.461 -0.674  -0.488 -0.552  -0.510 -0.430  -0.497 -0.306  -0.485 -0.182
2#apb#apb14#app1458/l  -0.405 1.289  -0.347 1.333  -0.290 1.376  -0.232 1.419  -0.160 1.420  -0.102 1.383  -0.047 1.336  0.008 1.289  0.013 1.217  0.018 1.145  0.023 1.073  0.028 1.001  0.032 0.929  0.035 0.857  0.039 0.785  0.042 0.713  0.045 0.641  0.048 0.569  0.050 0.497  0.043 0.425  0.035 0.353  0.028 0.281  0.020 0.210  0.012 0.138  0.008 0.066  0.008 -0.006  0.008 -0.078  0.008 -0.150  0.008 -0.222  0.008 -0.295  0.008 -0.367  0.016 -0.438  0.024 -0.510  0.032 -0.582  0.040 -0.654  0.048 -0.725  0.051 -0.797  0.051 -0.869  0.051 -0.942  0.051 -1.014  0.051 -1.086  0.051 -1.158  0.051 -1.230  0.051 -1.302  0.051 -1.374  0.057 -1.446  0.067 -1.518  0.078 -1.589  0.090 -1.660  0.095 -1.732
2#apb#apb14#app1458/o  0.142 0.340  0.081 0.463  0.012 0.581  -0.083 0.670  -0.213 0.713  -0.349 0.713  -0.485 0.701  -0.616 0.664  -0.746 0.620  -0.864 0.560  -0.938 0.445  -1.012 0.330  -1.073 0.208  -1.123 0.080  -1.161 -0.050  -1.161 -0.187  -1.144 -0.320  -1.079 -0.441  -1.014 -0.562  -0.915 -0.655  -0.810 -0.743  -0.697 -0.815  -0.564 -0.848  -0.431 -0.882  -0.296 -0.904  -0.160 -0.918  -0.023 -0.933  0.111 -0.925  0.243 -0.888  0.375 -0.851  0.497 -0.794  0.601 -0.705  0.705 -0.616  0.799 -0.518  0.875 -0.404  0.951 -0.290  1.013 -0.169  1.054 -0.038  1.096 0.093  1.131 0.224  1.131 0.361  1.131 0.499  1.049 0.602  0.952 0.699  0.831 0.757  0.701 0.802  0.572 0.848  0.437 0.844  0.301 0.828  0.165 0.812
2#apb#apb14#app1458/r  -1.010 0.834  -0.918 0.765  -0.857 0.670  -0.806 0.567  -0.754 0.465  -0.703 0.362  -0.671 0.252  -0.642 0.140  -0.613 0.029  -0.584 -0.082  -0.555 -0.193  -0.527 -0.305  -0.499 -0.416  -0.471 -0.528  -0.443 -0.639  -0.427 -0.753  -0.410 -0.867  -0.394 -0.980  -0.386 -1.095  -0.386 -1.210  -0.357 -1.318  -0.317 -1.241  -0.301 -1.127  -0.262 -1.020  -0.221 -0.912  -0.181 -0.804  -0.140 -0.697  -0.092 -0.593  -0.040 -0.490  0.011 -0.387  0.062 -0.284  0.115 -0.182  0.171 -0.082  0.226 0.019  0.281 0.120  0.337 0.221  0.392 0.321  0.463 0.411  0.541 0.496  0.618 0.580  0.696 0.665  0.774 0.750  0.851 0.835  0.929 0.919  1.007 1.004  1.096 1.075  1.192 1.139  1.288 1.202  1.401 1.189  1.515 1.175
2#apb#apb14#app1458/a  0.524 1.107  0.394 1.107  0.275 1.068  0.165 0.999  0.054 0.930  -0.056 0.861  -0.160 0.784  -0.262 0.703  -0.364 0.622  -0.465 0.540  -0.567 0.459  -0.663 0.372  -0.752 0.278  -0.841 0.183  -0.930 0.088  -1.019 -0.007  -1.085 -0.119  -1.146 -0.234  -1.208 -0.348  -1.253 -0.470  -1.225 -0.577  -1.109 -0.624  -0.983 -0.619  -0.861 -0.575  -0.739 -0.530  -0.625 -0.466  -0.512 -0.401  -0.399 -0.337  -0.293 -0.262  -0.191 -0.181  -0.089 -0.101  0.014 -0.021  0.117 0.059  0.220 0.138  0.323 0.217  0.442 0.249  0.573 0.249  0.696 0.235  0.776 0.132  0.856 0.029  0.919 -0.084  0.977 -0.200  1.035 -0.317  1.093 -0.433  1.155 -0.547  1.220 -0.660  1.319 -0.744  1.427 -0.815  1.549 -0.857  1.678 -0.878
2#apb#apb14#app1458/d  0.041 1.899  0.179 1.930  0.261 1.834  0.318 1.705  0.362 1.571  0.405 1.436  0.405 1.295  0.405 1.153  0.405 1.012  0.383 0.872  0.358 0.733  0.333 0.593  0.332 0.452  0.332 0.310  0.332 0.169  0.338 0.027  0.346 -0.114  0.358 -0.255  0.377 -0.395  0.407 -0.533  0.451 -0.668  0.506 -0.680  0.495 -0.542  0.462 -0.406  0.386 -0.287  0.307 -0.170  0.185 -0.097  0.064 -0.024  -0.069 0.022  -0.205 0.062  -0.341 0.060  -0.478 0.022  -0.614 -0.016  -0.749 -0.058  -0.860 -0.131  -0.931 -0.253  -0.976 -0.385  -0.990 -0.524  -0.944 -0.654  -0.857 -0.765  -0.752 -0.860  -0.634 -0.935  -0.505 -0.994  -0.369 -1.029  -0.230 -1.056  -0.089 -1.065  0.053 -1.065  0.194 -1.065  0.336 -1.065  0.477 -1.065
2#apb#apb14#app1458/o  -0.155 0.848  -0.155 0.920  -0.234 0.830  -0.302 0.728  -0.370 0.626  -0.434 0.521  -0.492 0.413  -0.549 0.304  -0.607 0.195  -0.665 0.087  -0.701 -0.031  -0.734 -0.149  -0.767 -0.267  -0.800 -0.386  -0.822 -0.506  -0.834 -0.629  -0.839 -0.750  -0.793 -0.864  -0.747 -0.978  -0.664 -1.059  -0.557 -1.120  -0.444 -1.168  -0.329 -1.211  -0.219 -1.179  -0.111 -1.120  -0.003 -1.061  0.081 -0.973  0.158 -0.878  0.236 -0.783  0.306 -0.683  0.368 -0.576  0.429 -0.470  0.491 -0.363  0.553 -0.257  0.602 -0.146  0.630 -0.026  0.657 0.094  0.684 0.214  0.711 0.334  0.737 0.454  0.743 0.576  0.750 0.699  0.756 0.822  0.762 0.945  0.748 1.064  0.700 1.177  0.653 1.291  0.597 1.399  0.523 1.498  0.449 1.596
