3#apb#apb31#app3198/E  -0.073 0.799  -0.046 0.533  -0.097 0.259  -0.186 -0.006  -0.293 -0.266  -0.408 -0.522  -0.539 -0.770  -0.669 -1.019  -0.819 -1.256  -0.753 -1.023  -0.671 -0.754  -0.589 -0.486  -0.506 -0.218  -0.424 0.051  -0.342 0.319  -0.260 0.588  -0.178 0.856  -0.026 1.044  0.241 1.129  0.498 1.240  0.756 1.350  1.019 1.450  1.284 1.541  1.181 1.389  0.991 1.183  0.801 0.976  0.611 0.770  0.421 0.563  0.231 0.357  0.041 0.150  -0.149 -0.056  -0.339 -0.263  -0.485 -0.439  -0.244 -0.299  -0.012 -0.142  0.224 0.009  0.461 0.161  0.699 0.309  0.701 0.256  0.518 0.043  0.334 -0.169  0.150 -0.381  -0.033 -0.593  -0.217 -0.806  -0.401 -1.018  -0.584 -1.230  -0.768 -1.442  -0.611 -1.488  -0.343 -1.411  -0.099 -1.272
3#apb#apb31#app3198/L  0.552 1.631  0.506 1.577  0.498 1.506  0.489 1.435  0.480 1.363  0.463 1.294  0.444 1.224  0.425 1.155  0.406 1.085  0.388 1.016  0.368 0.947  0.348 0.878  0.328 0.809  0.307 0.740  0.287 0.671  0.266 0.602  0.246 0.533  0.227 0.464  0.208 0.394  0.188 0.325  0.169 0.256  0.149 0.187  0.130 0.117  0.099 0.053  0.066 -0.011  0.033 -0.075  -0.000 -0.139  -0.033 -0.203  -0.066 -0.267  -0.099 -0.330  -0.134 -0.394  -0.168 -0.457  -0.202 -0.520  -0.236 -0.583  -0.271 -0.647  -0.307 -0.708  -0.346 -0.769  -0.384 -0.830  -0.422 -0.891  -0.461 -0.952  -0.491 -1.017  -0.521 -1.082  -0.548 -1.148  -0.536 -1.219  -0.524 -1.290  -0.543 -1.283  -0.514 -1.288  -0.484 -1.351  -0.421 -1.386  -0.358 -1.421
3#apb#apb31#app3198/o  -0.371 1.093  -0.400 0.972  -0.429 0.851  -0.458 0.731  -0.488 0.610  -0.514 0.488  -0.530 0.365  -0.547 0.242  -0.563 0.119  -0.580 -0.005  -0.598 -0.127  -0.619 -0.250  -0.640 -0.373  -0.661 -0.495  -0.682 -0.618  -0.678 -0.740  -0.660 -0.863  -0.641 -0.986  -0.614 -1.107  -0.575 -1.225  -0.504 -1.303  -0.380 -1.315  -0.276 -1.268  -0.185 -1.183  -0.095 -1.098  -0.009 -1.009  0.064 -0.908  0.137 -0.808  0.210 -0.707  0.283 -0.607  0.335 -0.494  0.386 -0.380  0.437 -0.267  0.488 -0.153  0.539 -0.040  0.569 0.080  0.596 0.202  0.623 0.323  0.650 0.444  0.672 0.567  0.686 0.690  0.700 0.814  0.714 0.937  0.721 1.060  0.702 1.183  0.683 1.306  0.666 1.429  0.638 1.396  0.612 1.274  0.586 1.153
3#apb#apb31#app3198/c  0.557 1.796  0.491 1.697  0.422 1.600  0.351 1.505  0.281 1.409  0.210 1.313  0.149 1.212  0.096 1.106  0.042 1.000  -0.011 0.894  -0.064 0.788  -0.116 0.681  -0.167 0.573  -0.217 0.466  -0.268 0.359  -0.318 0.251  -0.369 0.144  -0.419 0.036  -0.460 -0.075  -0.495 -0.189  -0.530 -0.302  -0.566 -0.415  -0.601 -0.529  -0.635 -0.643  -0.666 -0.757  -0.697 -0.872  -0.729 -0.986  -0.744 -1.099  -0.691 -1.206  -0.603 -1.225  -0.492 -1.184  -0.393 -1.122  -0.307 -1.040  -0.221 -0.959  -0.135 -0.877  -0.049 -0.795  0.037 -0.713  0.124 -0.633  0.211 -0.552  0.299 -0.471  0.386 -0.390  0.473 -0.310  0.560 -0.229  0.645 -0.146  0.729 -0.062  0.813 0.022  0.897 0.106  0.981 0.190  1.065 0.274  1.149 0.358
3#apb#apb31#app3198/k  -0.149 1.814  -0.208 1.640  -0.268 1.464  -0.311 1.282  -0.362 1.102  -0.413 0.922  -0.465 0.742  -0.487 0.556  -0.507 0.370  -0.520 0.184  -0.520 -0.003  -0.520 -0.190  -0.520 -0.377  -0.520 -0.565  -0.510 -0.751  -0.494 -0.938  -0.480 -0.974  -0.471 -0.787  -0.461 -0.600  -0.452 -0.413  -0.350 -0.270  -0.210 -0.147  -0.065 -0.028  0.068 0.104  0.198 0.238  0.321 0.379  0.448 0.517  0.584 0.645  0.720 0.774  0.875 0.878  1.019 0.994  1.050 0.930  0.911 0.805  0.785 0.668  0.671 0.519  0.550 0.377  0.427 0.235  0.331 0.075  0.236 -0.086  0.146 -0.250  0.065 -0.419  -0.015 -0.588  -0.082 -0.763  -0.147 -0.938  -0.149 -1.125  -0.149 -1.312  -0.086 -1.488  0.009 -1.646  0.144 -1.763  0.329 -1.791
3#apb#apb31#app3198/C  1.104 0.444  1.109 0.535  1.114 0.625  1.121 0.716  1.099 0.799  1.044 0.867  0.958 0.898  0.871 0.920  0.781 0.935  0.692 0.950  0.602 0.944  0.512 0.929  0.423 0.914  0.335 0.894  0.253 0.854  0.171 0.815  0.090 0.775  0.014 0.725  -0.055 0.667  -0.124 0.608  -0.194 0.549  -0.253 0.482  -0.307 0.409  -0.361 0.336  -0.416 0.263  -0.458 0.183  -0.496 0.101  -0.535 0.018  -0.573 -0.064  -0.601 -0.150  -0.625 -0.237  -0.649 -0.325  -0.673 -0.413  -0.678 -0.503  -0.678 -0.594  -0.678 -0.684  -0.678 -0.775  -0.643 -0.859  -0.607 -0.943  -0.572 -1.026  -0.510 -1.089  -0.439 -1.146  -0.368 -1.203  -0.280 -1.213  -0.190 -1.213  -0.099 -1.210  -0.015 -1.177  0.070 -1.144  0.154 -1.111  0.239 -1.077
3#apb#apb31#app3198/o  -0.122 0.658  -0.222 0.625  -0.290 0.512  -0.349 0.394  -0.414 0.278  -0.478 0.163  -0.543 0.048  -0.583 -0.078  -0.623 -0.205  -0.663 -0.331  -0.706 -0.456  -0.749 -0.580  -0.793 -0.705  -0.823 -0.833  -0.838 -0.965  -0.852 -1.096  -0.827 -1.221  -0.772 -1.341  -0.675 -1.343  -0.564 -1.275  -0.475 -1.178  -0.385 -1.080  -0.307 -0.974  -0.235 -0.863  -0.162 -0.753  -0.090 -0.642  -0.019 -0.531  0.050 -0.418  0.120 -0.305  0.189 -0.193  0.258 -0.080  0.329 0.032  0.401 0.142  0.473 0.253  0.546 0.364  0.618 0.475  0.693 0.584  0.768 0.692  0.843 0.801  0.888 0.923  0.827 0.871  0.723 0.796  0.624 0.799  0.587 0.912  0.664 1.019  0.765 1.102  0.865 1.180  0.888 1.307  0.764 1.290  0.677 1.227
3#apb#apb31#app3198/.  0.408 1.149  0.329 1.149  0.250 1.149  0.171 1.149  0.092 1.149  0.014 1.149  -0.065 1.149  -0.144 1.149  -0.223 1.149  -0.302 1.149  -0.381 1.149  -0.415 1.116  -0.394 1.040  -0.372 0.964  -0.350 0.888  -0.329 0.813  -0.307 0.737  -0.285 0.661  -0.264 0.585  -0.242 0.510  -0.220 0.434  -0.199 0.358  -0.177 0.282  -0.155 0.206  -0.134 0.131  -0.112 0.055  -0.090 -0.021  -0.069 -0.097  -0.047 -0.173  -0.025 -0.248  -0.004 -0.324  0.018 -0.400  0.039 -0.476  0.061 -0.551  0.083 -0.627  0.104 -0.703  0.126 -0.779  0.148 -0.855  0.169 -0.930  0.191 -1.006  0.213 -1.082  0.234 -1.158  0.256 -1.234  0.278 -1.309  0.299 -1.385  0.321 -1.461  0.343 -1.537  0.364 -1.613  0.386 -1.688  0.408 -1.764
3#apb#apb31#app3198/B  -0.491 0.214  -0.504 0.037  -0.519 -0.145  -0.541 -0.326  -0.582 -0.504  -0.610 -0.684  -0.666 -0.845  -0.740 -0.720  -0.720 -0.539  -0.678 -0.361  -0.619 -0.189  -0.559 -0.016  -0.495 0.155  -0.432 0.326  -0.367 0.497  -0.300 0.667  -0.233 0.837  -0.160 1.004  -0.069 1.162  0.021 1.321  0.132 1.466  0.249 1.605  0.396 1.653  0.450 1.490  0.465 1.310  0.426 1.131  0.374 0.957  0.302 0.789  0.222 0.626  0.124 0.472  0.004 0.335  -0.113 0.196  -0.197 0.036  -0.134 -0.114  0.040 -0.170  0.215 -0.222  0.393 -0.261  0.569 -0.310  0.726 -0.388  0.811 -0.549  0.865 -0.723  0.872 -0.902  0.821 -1.073  0.699 -1.204  0.541 -1.292  0.365 -1.344  0.184 -1.357  0.001 -1.367  -0.180 -1.363  -0.357 -1.322
3#apb#apb31#app3198/u  -0.253 1.026  -0.247 0.914  -0.288 0.795  -0.325 0.676  -0.356 0.555  -0.386 0.433  -0.417 0.312  -0.454 0.192  -0.491 0.073  -0.528 -0.047  -0.566 -0.166  -0.601 -0.286  -0.636 -0.406  -0.672 -0.527  -0.707 -0.647  -0.732 -0.769  -0.751 -0.893  -0.771 -1.016  -0.752 -1.137  -0.713 -1.255  -0.611 -1.306  -0.495 -1.315  -0.412 -1.221  -0.329 -1.127  -0.251 -1.029  -0.179 -0.927  -0.107 -0.825  -0.035 -0.722  0.029 -0.615  0.085 -0.503  0.141 -0.391  0.197 -0.279  0.253 -0.168  0.310 -0.056  0.369 0.054  0.428 0.165  0.487 0.275  0.546 0.385  0.605 0.496  0.661 0.608  0.714 0.721  0.767 0.834  0.820 0.948  0.875 1.060  0.934 1.171  0.992 1.282  1.022 1.339  0.999 1.219  0.943 1.108  0.887 0.996
3#apb#apb31#app3198/d  -0.130 -0.202  -0.278 -0.183  -0.422 -0.248  -0.547 -0.347  -0.641 -0.473  -0.728 -0.606  -0.783 -0.755  -0.835 -0.905  -0.868 -1.060  -0.886 -1.217  -0.876 -1.376  -0.741 -1.437  -0.593 -1.378  -0.478 -1.273  -0.373 -1.154  -0.272 -1.032  -0.195 -0.893  -0.118 -0.754  -0.041 -0.614  0.030 -0.472  0.098 -0.329  0.167 -0.185  0.235 -0.042  0.287 0.108  0.338 0.259  0.389 0.409  0.435 0.561  0.467 0.717  0.499 0.873  0.531 1.028  0.562 1.184  0.592 1.340  0.622 1.496  0.648 1.653  0.609 1.584  0.549 1.437  0.490 1.289  0.433 1.141  0.387 0.989  0.341 0.836  0.286 0.687  0.226 0.540  0.167 0.393  0.126 0.239  0.088 0.085  0.049 -0.069  0.032 -0.227  0.015 -0.385  0.034 -0.541  0.073 -0.695
3#apb#apb31#app3198/g  0.394 1.254  0.296 1.132  0.168 1.040  0.072 0.914  -0.023 0.788  -0.103 0.652  -0.184 0.516  -0.265 0.381  -0.346 0.245  -0.421 0.107  -0.482 -0.039  -0.524 -0.189  -0.497 -0.335  -0.385 -0.291  -0.274 -0.178  -0.165 -0.064  -0.057 0.051  0.043 0.173  0.139 0.299  0.235 0.425  0.323 0.555  0.407 0.689  0.492 0.823  0.579 0.954  0.671 1.083  0.737 1.224  0.674 1.150  0.594 1.014  0.542 0.865  0.490 0.716  0.440 0.566  0.390 0.416  0.340 0.266  0.289 0.117  0.237 -0.032  0.185 -0.181  0.133 -0.330  0.075 -0.477  0.010 -0.622  -0.054 -0.766  -0.119 -0.910  -0.192 -1.049  -0.280 -1.181  -0.368 -1.312  -0.455 -1.444  -0.541 -1.576  -0.628 -1.709  -0.736 -1.821  -0.859 -1.919  -0.999 -1.991
3#apb#apb31#app3198/e  -1.649 -0.837  -1.517 -0.912  -1.383 -0.976  -1.232 -0.961  -1.081 -0.946  -0.940 -0.892  -0.801 -0.829  -0.663 -0.767  -0.532 -0.690  -0.401 -0.614  -0.270 -0.537  -0.160 -0.433  -0.057 -0.322  0.047 -0.211  0.150 -0.100  0.242 0.020  0.314 0.153  0.386 0.287  0.458 0.421  0.505 0.565  0.550 0.710  0.594 0.855  0.568 1.000  0.520 1.144  0.421 1.244  0.286 1.312  0.142 1.346  -0.006 1.336  -0.122 1.237  -0.237 1.138  -0.240 0.988  -0.240 0.836  -0.233 0.684  -0.223 0.533  -0.212 0.381  -0.185 0.233  -0.134 0.090  -0.083 -0.053  -0.032 -0.196  0.057 -0.318  0.148 -0.440  0.240 -0.561  0.359 -0.635  0.509 -0.655  0.660 -0.675  0.810 -0.695  0.953 -0.645  1.095 -0.591  1.237 -0.538  1.379 -0.485
3#apb#apb31#app3198/t  0.556 1.917  0.502 1.720  0.431 1.528  0.360 1.336  0.290 1.143  0.228 0.948  0.168 0.752  0.110 0.556  0.054 0.359  -0.001 0.162  -0.050 -0.037  -0.093 -0.237  -0.135 -0.437  -0.163 -0.640  -0.184 -0.844  -0.204 -1.047  -0.205 -1.252  -0.179 -1.450  -0.010 -1.502  0.157 -1.388  0.337 -1.293  0.501 -1.170  0.654 -1.034  0.815 -0.909  0.900 -0.797  0.724 -0.693  0.547 -0.589  0.371 -0.485  0.195 -0.380  0.019 -0.276  -0.158 -0.172  -0.334 -0.068  -0.510 0.037  -0.686 0.141  -0.863 0.245  -1.039 0.349  -1.215 0.454  -1.311 0.445  -1.163 0.347  -0.965 0.298  -0.760 0.303  -0.555 0.308  -0.351 0.317  -0.148 0.346  0.054 0.376  0.257 0.405  0.460 0.434  0.662 0.463  0.865 0.491  1.068 0.519
