1c#apa#apa03#app0358/x  -1.011 0.751  -1.011 0.575  -0.892 0.448  -0.826 0.299  -0.774 0.144  -0.650 0.020  -0.641 -0.152  -0.487 -0.174  -0.353 -0.277  -0.271 -0.419  -0.220 -0.544  -0.056 -0.573  0.068 -0.698  0.231 -0.729  0.407 -0.729  0.583 -0.729  0.673 -0.626  0.704 -0.453  0.736 -0.280  0.767 -0.106  0.799 0.067  0.830 0.240  0.862 0.413  0.893 0.586  0.925 0.759  0.956 0.932  0.988 1.106  1.019 1.279  1.024 1.157  0.884 1.121  0.747 1.028  0.622 0.904  0.498 0.779  0.373 0.655  0.239 0.543  0.082 0.465  -0.075 0.386  -0.086 0.216  -0.155 0.057  -0.234 -0.101  -0.337 -0.241  -0.461 -0.365  -0.586 -0.489  -0.710 -0.614  -0.826 -0.742  -0.828 -0.917  -0.953 -1.041  -1.077 -1.166  -1.195 -1.293  -1.195 -1.469
2#app#app18#app1895/x  -0.612 0.619  -0.739 0.746  -0.870 0.739  -0.744 0.612  -0.617 0.485  -0.588 0.318  -0.461 0.191  -0.337 0.064  -0.317 -0.111  -0.236 -0.271  -0.104 -0.347  0.035 -0.443  0.162 -0.570  0.289 -0.696  0.353 -0.849  0.483 -0.899  0.505 -1.007  0.580 -0.844  0.655 -0.681  0.730 -0.519  0.805 -0.356  0.880 -0.193  0.956 -0.031  1.031 0.132  1.106 0.295  1.181 0.458  1.256 0.620  1.290 0.757  1.131 0.806  0.989 0.895  0.809 0.895  0.630 0.895  0.451 0.895  0.296 0.837  0.150 0.757  0.002 0.681  -0.125 0.554  -0.252 0.428  -0.379 0.301  -0.505 0.174  -0.625 0.042  -0.705 -0.118  -0.750 -0.287  -0.834 -0.431  -0.961 -0.558  -1.026 -0.710  -1.117 -0.852  -1.244 -0.978  -1.302 -1.133  -1.302 -1.313
3#apa#apa10#app1058/x  -0.999 0.611  -1.144 0.756  -1.239 0.880  -1.034 0.880  -0.846 0.804  -0.663 0.712  -0.479 0.621  -0.330 0.481  -0.185 0.336  -0.040 0.191  0.078 0.035  0.078 -0.170  0.078 -0.376  -0.017 -0.530  -0.188 -0.644  -0.358 -0.757  -0.529 -0.871  -0.700 -0.985  -0.899 -1.005  -1.104 -1.005  -1.268 -0.964  -1.268 -0.759  -1.102 -0.660  -0.916 -0.575  -0.729 -0.490  -0.542 -0.406  -0.355 -0.321  -0.168 -0.236  0.018 -0.151  0.205 -0.066  0.392 0.019  0.579 0.104  0.765 0.189  0.952 0.274  1.139 0.359  1.326 0.444  1.513 0.528  1.689 0.611  1.484 0.611  1.279 0.611  1.073 0.611  0.868 0.611  0.663 0.611  0.567 0.460  0.502 0.265  0.437 0.071  0.372 -0.124  0.348 -0.325  0.348 -0.530  0.348 -0.736
3#apb#apb17#app1719/x  1.141 0.989  1.039 1.075  0.889 0.949  0.759 0.804  0.638 0.650  0.524 0.492  0.444 0.314  0.364 0.135  0.280 -0.041  0.169 -0.203  0.058 -0.364  -0.034 -0.534  -0.100 -0.719  -0.165 -0.903  -0.255 -1.077  -0.350 -1.248  -0.450 -1.414  -0.479 -1.506  -0.503 -1.312  -0.507 -1.117  -0.510 -0.921  -0.514 -0.725  -0.518 -0.530  -0.521 -0.334  -0.525 -0.138  -0.529 0.057  -0.532 0.253  -0.536 0.449  -0.540 0.644  -0.543 0.840  -0.547 1.036  -0.550 1.231  -0.554 1.427  -0.502 1.483  -0.436 1.300  -0.377 1.114  -0.307 0.931  -0.229 0.752  -0.132 0.582  -0.035 0.412  0.053 0.237  0.140 0.062  0.237 -0.108  0.343 -0.273  0.453 -0.434  0.583 -0.580  0.710 -0.729  0.834 -0.881  0.978 -1.010  1.141 -1.119
1c#tos#t1#t1006065/x  0.997 1.503  0.901 1.443  0.937 1.274  0.816 1.143  0.756 0.998  0.696 0.818  0.537 0.727  0.514 0.538  0.359 0.419  0.220 0.311  0.093 0.182  0.075 -0.012  -0.044 -0.149  -0.148 -0.323  -0.297 -0.425  -0.389 -0.538  -0.466 -0.666  -0.630 -0.707  -0.694 -0.851  -0.750 -1.032  -0.866 -1.059  -0.832 -0.857  -0.799 -0.655  -0.765 -0.452  -0.731 -0.250  -0.698 -0.048  -0.664 0.155  -0.630 0.357  -0.596 0.559  -0.563 0.762  -0.529 0.964  -0.595 1.082  -0.630 0.911  -0.555 0.780  -0.465 0.631  -0.378 0.458  -0.244 0.316  -0.088 0.208  -0.027 0.028  0.021 -0.148  0.181 -0.272  0.252 -0.425  0.439 -0.469  0.584 -0.614  0.709 -0.776  0.756 -0.967  0.840 -1.088  0.985 -1.148  1.104 -1.309  1.299 -1.329
3#apb#apb16#app1606/x  -1.198 0.703  -1.231 0.801  -1.119 0.675  -1.000 0.549  -0.862 0.440  -0.732 0.320  -0.601 0.203  -0.456 0.103  -0.311 0.003  -0.167 -0.100  -0.024 -0.202  0.106 -0.322  0.230 -0.446  0.355 -0.571  0.480 -0.696  0.604 -0.820  0.763 -0.895  0.842 -1.048  0.848 -0.954  0.846 -0.778  0.844 -0.602  0.842 -0.425  0.841 -0.249  0.839 -0.073  0.837 0.104  0.835 0.280  0.834 0.456  0.832 0.632  0.830 0.809  0.828 0.985  0.826 1.161  0.713 1.166  0.592 1.045  0.490 0.902  0.376 0.768  0.248 0.647  0.120 0.526  -0.008 0.404  -0.132 0.280  -0.257 0.155  -0.382 0.030  -0.491 -0.108  -0.597 -0.249  -0.703 -0.390  -0.812 -0.528  -0.924 -0.664  -1.036 -0.800  -1.151 -0.934  -1.268 -1.066  -1.338 -1.228
3#ced#gyen4328_s_2c/x  -1.171 1.061  -1.195 1.241  -1.066 1.206  -0.980 1.038  -0.895 0.867  -0.823 0.693  -0.730 0.527  -0.619 0.372  -0.516 0.211  -0.392 0.066  -0.264 -0.075  -0.136 -0.216  -0.001 -0.351  0.104 -0.507  0.224 -0.653  0.347 -0.798  0.467 -0.947  0.589 -1.094  0.715 -1.236  0.811 -1.400  0.830 -1.555  0.762 -1.436  0.720 -1.250  0.678 -1.064  0.636 -0.878  0.595 -0.691  0.553 -0.505  0.511 -0.319  0.469 -0.133  0.428 0.053  0.386 0.240  0.344 0.426  0.302 0.612  0.260 0.798  0.219 0.984  0.284 1.151  0.355 1.326  0.324 1.175  0.252 0.998  0.169 0.827  0.098 0.649  0.013 0.479  -0.086 0.316  -0.189 0.155  -0.279 -0.012  -0.389 -0.168  -0.502 -0.321  -0.614 -0.476  -0.733 -0.625  -0.865 -0.763
2#apb#apb12#app1229/x  -0.736 0.667  -0.688 0.835  -0.597 0.905  -0.491 0.773  -0.389 0.632  -0.290 0.488  -0.191 0.345  -0.091 0.201  0.008 0.058  0.108 -0.085  0.207 -0.229  0.307 -0.372  0.406 -0.516  0.506 -0.659  0.609 -0.799  0.747 -0.723  0.603 -0.703  0.428 -0.699  0.254 -0.695  0.079 -0.691  -0.095 -0.687  -0.269 -0.682  -0.444 -0.678  -0.618 -0.674  -0.793 -0.670  -0.967 -0.666  -1.142 -0.662  -1.315 -0.657  -1.329 -0.620  -1.230 -0.477  -1.106 -0.353  -0.965 -0.256  -0.807 -0.180  -0.650 -0.104  -0.493 -0.028  -0.336 0.048  -0.179 0.124  -0.022 0.200  0.135 0.276  0.292 0.352  0.449 0.428  0.607 0.504  0.764 0.580  0.921 0.656  1.078 0.731  1.235 0.807  1.392 0.883  1.549 0.959  1.706 1.035  1.842 1.077
2#apb#apb12#app1229/x  -0.792 1.110  -0.601 1.025  -0.434 0.907  -0.289 0.757  -0.188 0.574  -0.131 0.378  -0.113 0.170  -0.154 -0.034  -0.246 -0.215  -0.380 -0.375  -0.514 -0.535  -0.649 -0.695  -0.783 -0.855  -0.917 -1.015  -0.967 -1.161  -0.866 -0.978  -0.765 -0.795  -0.663 -0.613  -0.562 -0.430  -0.461 -0.248  -0.360 -0.065  -0.259 0.118  -0.157 0.300  -0.056 0.483  0.045 0.665  0.146 0.848  0.247 1.031  0.349 1.213  0.438 1.389  0.300 1.259  0.187 1.083  0.073 0.908  -0.040 0.733  -0.154 0.558  -0.267 0.382  -0.322 0.184  -0.328 -0.024  -0.253 -0.215  -0.151 -0.397  0.003 -0.525  0.193 -0.610  0.391 -0.676  0.589 -0.742  0.792 -0.777  1.001 -0.777  1.205 -0.739  1.406 -0.684  1.614 -0.666  1.820 -0.637  2.024 -0.592
2#apb#apb12#app1229/x  -1.150 0.625  -1.150 0.794  -1.015 0.861  -0.857 0.823  -0.718 0.728  -0.615 0.594  -0.513 0.460  -0.410 0.326  -0.307 0.191  -0.205 0.057  -0.102 -0.077  0.001 -0.211  0.103 -0.345  0.206 -0.479  0.309 -0.613  0.433 -0.726  0.584 -0.778  0.734 -0.704  0.569 -0.718  0.401 -0.734  0.232 -0.749  0.064 -0.765  -0.104 -0.780  -0.272 -0.796  -0.440 -0.811  -0.609 -0.827  -0.777 -0.842  -0.940 -0.876  -0.996 -0.898  -0.867 -0.790  -0.744 -0.675  -0.620 -0.560  -0.496 -0.445  -0.372 -0.330  -0.248 -0.215  -0.125 -0.100  -0.001 0.015  0.123 0.130  0.247 0.245  0.370 0.360  0.494 0.475  0.618 0.590  0.742 0.705  0.866 0.819  0.989 0.934  1.113 1.049  1.237 1.164  1.361 1.279  1.478 1.375  1.378 1.246
1c#apb#apb22#app2237/x  -0.414 1.611  -0.343 1.703  -0.259 1.559  -0.184 1.410  -0.111 1.260  -0.041 1.108  0.033 0.959  0.118 0.815  0.202 0.671  0.275 0.522  0.337 0.367  0.399 0.212  0.459 0.056  0.517 -0.100  0.575 -0.257  0.656 -0.401  0.751 -0.538  0.848 -0.674  0.965 -0.765  0.799 -0.780  0.633 -0.794  0.466 -0.809  0.300 -0.824  0.134 -0.839  -0.032 -0.854  -0.199 -0.868  -0.365 -0.883  -0.531 -0.898  -0.697 -0.913  -0.863 -0.927  -1.030 -0.942  -1.176 -0.911  -1.203 -0.775  -1.119 -0.631  -1.021 -0.497  -0.908 -0.374  -0.794 -0.252  -0.656 -0.160  -0.512 -0.077  -0.367 0.006  -0.222 0.088  -0.077 0.172  0.066 0.257  0.210 0.342  0.353 0.427  0.497 0.512  0.650 0.579  0.805 0.641  0.960 0.703  1.114 0.765
2#app#app35#app3570/x  -1.276 0.743  -1.114 0.704  -0.988 0.578  -0.850 0.468  -0.691 0.388  -0.558 0.271  -0.431 0.145  -0.305 0.019  -0.151 -0.068  -0.001 -0.161  0.125 -0.288  0.251 -0.414  0.377 -0.540  0.503 -0.666  0.629 -0.792  0.703 -0.940  0.794 -1.081  0.827 -0.980  0.827 -0.802  0.827 -0.623  0.827 -0.445  0.827 -0.267  0.827 -0.088  0.827 0.090  0.827 0.269  0.827 0.447  0.827 0.625  0.827 0.804  0.827 0.982  0.827 1.160  0.755 1.166  0.629 1.040  0.471 0.990  0.340 0.875  0.214 0.749  0.114 0.601  0.015 0.453  -0.096 0.314  -0.238 0.210  -0.398 0.130  -0.527 0.008  -0.609 -0.150  -0.707 -0.296  -0.833 -0.422  -0.959 -0.548  -1.029 -0.698  -1.153 -0.753  -1.199 -0.912  -1.276 -1.058  -1.276 -1.237
2#apa#apa09#app0945/x  -1.031 0.556  -1.180 0.706  -1.214 0.904  -1.022 0.923  -0.821 0.897  -0.672 0.748  -0.522 0.598  -0.373 0.448  -0.223 0.299  -0.114 0.133  -0.114 -0.079  -0.194 -0.257  -0.361 -0.377  -0.566 -0.428  -0.771 -0.479  -0.977 -0.530  -1.186 -0.544  -1.398 -0.544  -1.552 -0.544  -1.343 -0.530  -1.137 -0.479  -0.932 -0.428  -0.727 -0.376  -0.522 -0.325  -0.316 -0.274  -0.111 -0.222  0.094 -0.171  0.299 -0.120  0.505 -0.068  0.710 -0.017  0.915 0.034  1.120 0.085  1.326 0.137  1.531 0.188  1.392 0.335  1.242 0.484  1.060 0.556  0.853 0.523  0.647 0.472  0.442 0.420  0.253 0.356  0.253 0.145  0.253 -0.067  0.343 -0.222  0.533 -0.317  0.722 -0.412  0.911 -0.506  1.114 -0.544  1.325 -0.544  1.537 -0.544
2#apb#apb10#app1035/x  -0.889 -0.066  -0.766 0.036  -0.629 0.173  -0.512 0.326  -0.374 0.458  -0.270 0.620  -0.254 0.466  -0.254 0.272  -0.254 0.079  -0.252 -0.114  -0.237 -0.306  -0.244 -0.499  -0.254 -0.691  -0.254 -0.885  -0.189 -0.999  -0.082 -0.838  0.024 -0.677  0.131 -0.516  0.238 -0.355  0.345 -0.194  0.451 -0.033  0.558 0.128  0.665 0.289  0.772 0.450  0.879 0.611  0.985 0.772  1.092 0.933  1.199 1.094  1.303 1.257  1.256 1.247  1.114 1.117  0.968 0.990  0.819 0.867  0.670 0.744  0.531 0.610  0.395 0.473  0.258 0.336  0.119 0.202  -0.021 0.069  -0.161 -0.064  -0.297 -0.201  -0.428 -0.343  -0.558 -0.486  -0.689 -0.628  -0.823 -0.767  -0.960 -0.903  -1.096 -1.040  -1.225 -1.184  -1.342 -1.337  -1.459 -1.491
3#app#app06#app0629/x  -0.374 1.633  -0.197 1.579  -0.055 1.438  -0.002 1.260  0.087 1.082  0.121 0.890  0.121 0.691  0.121 0.491  0.121 0.291  0.121 0.091  0.121 -0.108  0.121 -0.308  0.121 -0.508  0.121 -0.707  0.141 -0.904  0.204 -1.093  0.245 -1.286  0.245 -1.486  0.245 -1.686  0.173 -1.553  0.090 -1.371  0.008 -1.189  -0.075 -1.007  -0.157 -0.825  -0.240 -0.644  -0.323 -0.462  -0.405 -0.280  -0.488 -0.098  -0.571 0.083  -0.653 0.265  -0.736 0.447  -0.818 0.629  -0.901 0.811  -0.984 0.992  -0.870 0.889  -0.793 0.766  -0.609 0.698  -0.422 0.642  -0.226 0.630  -0.047 0.540  0.103 0.412  0.245 0.271  0.423 0.182  0.615 0.147  0.756 0.007  0.898 -0.134  1.039 -0.275  1.112 -0.445  1.112 -0.644  1.112 -0.844
2#apb#apb27#app2737/x  1.215 1.252  1.100 1.175  0.955 1.060  0.812 0.942  0.673 0.821  0.534 0.699  0.395 0.577  0.257 0.454  0.119 0.331  -0.017 0.205  -0.147 0.074  -0.278 -0.057  -0.410 -0.187  -0.544 -0.314  -0.679 -0.440  -0.813 -0.568  -0.943 -0.699  -1.060 -0.842  -1.097 -0.988  -1.014 -0.823  -0.930 -0.659  -0.844 -0.495  -0.758 -0.331  -0.672 -0.167  -0.587 -0.003  -0.501 0.161  -0.415 0.325  -0.329 0.489  -0.244 0.652  -0.158 0.816  -0.072 0.980  0.014 1.144  0.130 1.235  0.167 1.054  0.218 0.877  0.252 0.695  0.269 0.511  0.287 0.327  0.289 0.142  0.289 -0.043  0.289 -0.228  0.304 -0.412  0.328 -0.595  0.352 -0.778  0.396 -0.957  0.449 -1.135  0.504 -1.311  0.570 -1.484  0.637 -1.656  0.706 -1.828
1c#apa#apa02#app0247/x  -0.968 0.859  -0.784 0.859  -0.699 0.760  -0.555 0.715  -0.430 0.583  -0.390 0.415  -0.260 0.285  -0.161 0.143  -0.161 -0.041  -0.061 -0.183  -0.027 -0.353  0.009 -0.522  0.108 -0.665  0.108 -0.849  0.108 -1.033  0.108 -1.217  0.215 -1.294  0.312 -1.154  0.394 -0.990  0.477 -0.825  0.559 -0.661  0.641 -0.496  0.723 -0.332  0.806 -0.168  0.888 -0.003  0.970 0.161  1.052 0.326  1.134 0.490  1.217 0.654  1.299 0.819  1.179 0.859  0.998 0.842  0.824 0.783  0.650 0.725  0.466 0.724  0.282 0.724  0.141 0.622  -0.015 0.528  -0.176 0.440  -0.309 0.314  -0.473 0.232  -0.622 0.129  -0.766 0.018  -0.931 -0.064  -1.068 -0.183  -1.163 -0.339  -1.256 -0.487  -1.402 -0.547  -1.484 -0.712  -1.506 -0.890
1c#kai#kai0#ktum0/x  1.006 1.256  0.948 1.082  0.800 0.977  0.687 0.836  0.569 0.697  0.448 0.561  0.366 0.397  0.264 0.246  0.156 0.098  0.074 -0.066  -0.025 -0.219  -0.134 -0.366  -0.263 -0.496  -0.405 -0.610  -0.549 -0.722  -0.679 -0.852  -0.781 -1.004  -0.743 -1.148  -0.738 -0.965  -0.733 -0.781  -0.729 -0.598  -0.724 -0.415  -0.720 -0.232  -0.715 -0.049  -0.711 0.134  -0.706 0.318  -0.701 0.501  -0.697 0.684  -0.692 0.867  -0.688 1.050  -0.683 1.233  -0.632 1.103  -0.574 0.929  -0.459 0.791  -0.340 0.652  -0.233 0.504  -0.103 0.375  -0.012 0.217  0.094 0.075  0.243 -0.031  0.372 -0.161  0.480 -0.308  0.624 -0.406  0.763 -0.511  0.873 -0.658  1.031 -0.747  1.169 -0.858  1.282 -0.999  1.431 -1.104  1.489 -1.277
1c#kai#kai0#ktum0/x  1.446 1.450  1.326 1.330  1.197 1.220  1.058 1.125  0.956 0.989  0.849 0.858  0.713 0.757  0.593 0.641  0.518 0.490  0.416 0.357  0.296 0.237  0.176 0.117  0.056 -0.003  -0.056 -0.130  -0.150 -0.271  -0.299 -0.350  -0.424 -0.449  -0.486 -0.601  -0.647 -0.655  -0.749 -0.786  -0.868 -0.903  -0.994 -1.008  -1.048 -1.169  -1.023 -1.011  -0.980 -0.847  -0.936 -0.683  -0.892 -0.519  -0.849 -0.355  -0.805 -0.192  -0.761 -0.028  -0.717 0.136  -0.674 0.300  -0.630 0.464  -0.586 0.628  -0.543 0.792  -0.417 0.720  -0.281 0.618  -0.161 0.498  -0.041 0.378  0.040 0.231  0.128 0.089  0.269 -0.005  0.410 -0.099  0.511 -0.224  0.575 -0.380  0.670 -0.521  0.807 -0.619  0.899 -0.750  0.985 -0.887  1.126 -0.981
1c#kai#kai0#ktum0/x  1.455 1.286  1.343 1.151  1.231 1.017  1.101 0.902  0.954 0.807  0.804 0.717  0.675 0.602  0.566 0.465  0.456 0.328  0.347 0.192  0.231 0.061  0.105 -0.060  -0.036 -0.166  -0.152 -0.293  -0.250 -0.439  -0.354 -0.579  -0.478 -0.703  -0.577 -0.846  -0.695 -0.975  -0.828 -1.088  -0.960 -1.199  -1.044 -1.300  -1.011 -1.158  -0.909 -1.063  -0.866 -0.893  -0.824 -0.723  -0.781 -0.553  -0.739 -0.383  -0.697 -0.213  -0.654 -0.043  -0.612 0.126  -0.569 0.296  -0.527 0.466  -0.484 0.636  -0.442 0.806  -0.399 0.976  -0.326 0.996  -0.221 0.856  -0.116 0.715  -0.011 0.575  0.094 0.435  0.203 0.297  0.312 0.161  0.432 0.033  0.555 -0.091  0.655 -0.235  0.798 -0.329  0.943 -0.423  1.067 -0.547  1.233 -0.602
1c#kai#kai0#ktum0/x  1.037 1.206  0.913 1.081  0.803 0.946  0.705 0.800  0.608 0.654  0.485 0.529  0.367 0.399  0.258 0.262  0.145 0.128  0.021 0.004  -0.099 -0.124  -0.204 -0.265  -0.335 -0.375  -0.492 -0.454  -0.505 -0.621  -0.553 -0.789  -0.640 -0.940  -0.717 -1.096  -0.752 -1.137  -0.762 -0.962  -0.772 -0.786  -0.782 -0.611  -0.792 -0.436  -0.802 -0.261  -0.812 -0.085  -0.823 0.090  -0.833 0.265  -0.843 0.440  -0.853 0.616  -0.863 0.791  -0.873 0.966  -0.775 0.953  -0.638 0.844  -0.514 0.720  -0.380 0.608  -0.235 0.509  -0.095 0.404  0.053 0.309  0.210 0.231  0.350 0.126  0.487 0.017  0.626 -0.090  0.766 -0.196  0.878 -0.330  0.986 -0.468  1.132 -0.565  1.278 -0.662  1.424 -0.760  1.557 -0.870  1.655 -1.016
2#app#app13#app1398/x  1.433 1.232  1.246 1.232  1.058 1.232  0.871 1.232  0.732 1.115  0.600 0.983  0.467 0.850  0.335 0.718  0.177 0.648  -0.011 0.648  -0.028 0.477  -0.074 0.309  -0.207 0.177  -0.339 0.044  -0.471 -0.088  -0.604 -0.221  -0.612 -0.405  -0.662 -0.571  -0.795 -0.704  -0.904 -0.846  -0.904 -1.033  -0.873 -0.995  -0.821 -0.815  -0.770 -0.635  -0.718 -0.455  -0.667 -0.275  -0.615 -0.094  -0.564 0.086  -0.513 0.266  -0.461 0.446  -0.410 0.626  -0.358 0.806  -0.320 0.891  -0.320 0.704  -0.189 0.648  -0.016 0.624  0.068 0.457  0.151 0.289  0.235 0.122  0.264 -0.059  0.264 -0.246  0.264 -0.433  0.335 -0.591  0.467 -0.724  0.557 -0.874  0.557 -1.061  0.658 -1.207  0.790 -1.339  0.849 -1.502  0.849 -1.690
2#tos#t3#t3073065/x  -1.149 1.236  -1.253 1.131  -1.360 1.070  -1.249 0.973  -1.129 0.876  -1.030 0.740  -0.935 0.602  -0.801 0.501  -0.685 0.382  -0.579 0.254  -0.448 0.149  -0.316 0.045  -0.181 -0.056  -0.047 -0.157  0.087 -0.258  0.218 -0.363  0.351 -0.466  0.490 -0.561  0.609 -0.680  0.760 -0.741  0.922 -0.787  1.007 -0.894  0.998 -0.780  0.988 -0.613  0.978 -0.445  0.967 -0.277  0.957 -0.109  0.955 0.059  0.955 0.227  0.955 0.395  0.955 0.563  0.935 0.717  0.774 0.762  0.606 0.762  0.467 0.721  0.392 0.577  0.258 0.477  0.147 0.352  0.044 0.220  -0.075 0.101  -0.181 -0.028  -0.264 -0.174  -0.348 -0.320  -0.446 -0.456  -0.548 -0.590  -0.653 -0.721  -0.729 -0.862  -0.731 -1.030  -0.806 -1.180  -0.834 -1.342
3#apa#apa00#app0012/x  -0.974 1.083  -0.923 0.914  -0.789 0.780  -0.654 0.646  -0.520 0.511  -0.386 0.377  -0.268 0.236  -0.225 0.056  -0.150 -0.116  -0.083 -0.279  0.051 -0.413  0.164 -0.565  0.269 -0.723  0.321 -0.898  0.440 -1.038  0.557 -1.180  0.655 -1.272  0.674 -1.337  0.674 -1.147  0.674 -0.957  0.674 -0.767  0.674 -0.577  0.674 -0.387  0.674 -0.197  0.674 -0.007  0.674 0.183  0.674 0.373  0.674 0.563  0.674 0.753  0.674 0.943  0.674 1.133  0.674 1.314  0.598 1.201  0.439 1.170  0.366 1.010  0.231 0.876  0.097 0.741  -0.037 0.607  -0.164 0.467  -0.249 0.297  -0.399 0.193  -0.536 0.075  -0.621 -0.095  -0.791 -0.180  -0.909 -0.317  -1.005 -0.479  -1.092 -0.633  -1.107 -0.816  -1.210 -0.964  -1.210 -1.154
2#kai#kai1#jhkim5/x  -1.219 0.061  -1.192 0.142  -1.165 0.224  -1.137 0.305  -1.099 0.382  -1.051 0.453  -1.004 0.525  -0.956 0.596  -0.908 0.668  -0.861 0.739  -0.813 0.811  -0.765 0.883  -0.696 0.892  -0.615 0.865  -0.533 0.838  -0.460 0.802  -0.433 0.721  -0.406 0.639  -0.379 0.557  -0.351 0.476  -0.324 0.394  -0.297 0.313  -0.265 0.233  -0.217 0.162  -0.170 0.090  -0.122 0.019  -0.071 -0.050  -0.010 -0.111  0.051 -0.172  0.112 -0.233  0.173 -0.293  0.240 -0.346  0.312 -0.394  0.383 -0.442  0.455 -0.489  0.526 -0.537  0.598 -0.585  0.669 -0.632  0.741 -0.680  0.820 -0.713  0.901 -0.740  0.983 -0.768  1.066 -0.788  1.152 -0.788  1.238 -0.788  1.324 -0.788  1.373 -0.720  1.421 -0.648  1.468 -0.577  1.516 -0.505
2#ibm#ibm0#r0309/x  -0.609 1.211  -0.465 1.140  -0.322 1.068  -0.187 0.987  -0.116 0.844  -0.044 0.700  0.032 0.560  0.121 0.426  0.210 0.293  0.299 0.159  0.388 0.026  0.466 -0.114  0.538 -0.257  0.609 -0.400  0.628 -0.556  0.679 -0.695  0.793 -0.809  0.824 -0.751  0.806 -0.591  0.788 -0.432  0.770 -0.272  0.753 -0.113  0.735 0.046  0.717 0.206  0.700 0.365  0.682 0.524  0.664 0.684  0.647 0.843  0.629 1.002  0.517 0.894  0.404 0.780  0.290 0.667  0.177 0.554  0.064 0.440  -0.050 0.327  -0.163 0.213  -0.264 0.090  -0.361 -0.039  -0.457 -0.167  -0.553 -0.295  -0.649 -0.423  -0.745 -0.552  -0.846 -0.676  -0.960 -0.789  -1.073 -0.903  -1.186 -1.016  -1.300 -1.129  -1.413 -1.243  -1.526 -1.356  -1.640 -1.469
2#ibm#ibm0#r0309/x  -1.395 1.388  -1.272 1.265  -1.138 1.157  -0.983 1.079  -0.827 1.001  -0.694 0.893  -0.571 0.770  -0.448 0.648  -0.333 0.518  -0.237 0.373  -0.140 0.228  -0.044 0.084  0.053 -0.060  0.176 -0.183  0.299 -0.306  0.422 -0.429  0.514 -0.574  0.592 -0.729  0.671 -0.884  0.794 -1.007  0.867 -1.024  0.850 -0.851  0.832 -0.678  0.815 -0.505  0.798 -0.332  0.780 -0.159  0.763 0.014  0.746 0.187  0.729 0.360  0.711 0.533  0.694 0.706  0.677 0.879  0.613 0.922  0.490 0.799  0.367 0.676  0.244 0.553  0.121 0.430  0.017 0.294  -0.061 0.138  -0.139 -0.017  -0.216 -0.172  -0.294 -0.328  -0.377 -0.480  -0.500 -0.603  -0.623 -0.726  -0.745 -0.849  -0.817 -1.003  -0.872 -1.168  -0.927 -1.333  -0.982 -1.498
2#ibm#ibm0#r0309/x  -0.812 1.299  -0.812 1.136  -0.696 1.045  -0.550 0.972  -0.408 0.894  -0.292 0.779  -0.177 0.664  -0.062 0.548  0.036 0.419  0.127 0.283  0.217 0.147  0.308 0.012  0.407 -0.117  0.522 -0.232  0.638 -0.347  0.753 -0.463  0.828 -0.607  0.901 -0.753  0.997 -0.861  1.148 -0.854  1.082 -0.705  1.016 -0.556  0.950 -0.407  0.884 -0.258  0.817 -0.109  0.751 0.040  0.685 0.189  0.619 0.338  0.552 0.487  0.486 0.636  0.420 0.785  0.344 0.884  0.229 0.769  0.114 0.654  -0.002 0.538  -0.117 0.423  -0.232 0.308  -0.348 0.192  -0.454 0.069  -0.544 -0.066  -0.634 -0.202  -0.725 -0.338  -0.815 -0.473  -0.906 -0.609  -0.996 -0.745  -1.087 -0.881  -1.177 -1.016  -1.256 -1.159  -1.329 -1.305  -1.401 -1.451
2#ibm#ibm0#r0309/x  -1.395 1.388  -1.272 1.265  -1.138 1.157  -0.983 1.079  -0.827 1.001  -0.694 0.893  -0.571 0.770  -0.448 0.648  -0.333 0.518  -0.237 0.373  -0.140 0.228  -0.044 0.084  0.053 -0.060  0.176 -0.183  0.299 -0.306  0.422 -0.429  0.514 -0.574  0.592 -0.729  0.671 -0.884  0.794 -1.007  0.867 -1.024  0.850 -0.851  0.832 -0.678  0.815 -0.505  0.798 -0.332  0.780 -0.159  0.763 0.014  0.746 0.187  0.729 0.360  0.711 0.533  0.694 0.706  0.677 0.879  0.613 0.922  0.490 0.799  0.367 0.676  0.244 0.553  0.121 0.430  0.017 0.294  -0.061 0.138  -0.139 -0.017  -0.216 -0.172  -0.294 -0.328  -0.377 -0.480  -0.500 -0.603  -0.623 -0.726  -0.745 -0.849  -0.817 -1.003  -0.872 -1.168  -0.927 -1.333  -0.982 -1.498
2#ibm#ibm0#r0309/x  1.230 1.169  1.177 1.124  1.125 1.079  1.072 1.034  1.019 0.988  0.966 0.943  0.914 0.898  0.861 0.853  0.808 0.808  0.756 0.762  0.703 0.717  0.650 0.672  0.598 0.627  0.545 0.582  0.492 0.536  0.439 0.491  0.387 0.446  0.334 0.401  0.281 0.356  0.232 0.306  0.183 0.257  0.134 0.208  0.085 0.159  0.036 0.110  -0.013 0.061  -0.062 0.012  -0.111 -0.038  -0.156 -0.090  -0.201 -0.143  -0.245 -0.197  -0.290 -0.250  -0.334 -0.303  -0.379 -0.357  -0.423 -0.410  -0.468 -0.463  -0.512 -0.517  -0.557 -0.570  -0.601 -0.623  -0.646 -0.676  -0.690 -0.730  -0.734 -0.783  -0.779 -0.836  -0.823 -0.890  -0.868 -0.943  -0.912 -0.996  -0.957 -1.050  -1.001 -1.103  -1.045 -1.157  -1.090 -1.210  -1.134 -1.263
